period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201806,9991,11,15,13,4,7,7,4,7,28,3,6,5,1,NaN
201807,9453,10,15,17,9,11,8,9,21,8,10,9,4,6,NaN
201808,10776,22,31,17,18,14,15,13,6,8,4,8,1,3,NaN
201809,13861,24,27,25,18,21,13,14,10,11,6,8,3,7,NaN
201810,16870,32,31,33,29,19,20,19,3,4,14,6,16,3,NaN
201811,17510,28,40,27,28,23,24,10,10,10,10,12,8,4,NaN
201812,10070,21,37,37,24,17,11,13,10,11,7,9,7,3,NaN
201901,16632,41,51,21,23,17,18,13,13,10,13,9,10,2,NaN
201902,17842,23,44,25,17,19,8,13,13,11,10,13,27,7,NaN
201903,22185,33,43,27,24,10,19,14,19,11,17,14,18,1,NaN
201904,17378,52,35,28,17,18,17,12,16,15,22,19,11,4,NaN
201905,20205,41,55,23,27,15,16,16,20,14,17,8,11,8,NaN
201906,19525,47,46,36,25,32,27,22,20,9,5,12,10,11,NaN
201907,21097,55,41,36,26,25,24,20,20,6,9,14,10,5,NaN
201908,19225,53,60,30,25,25,28,15,8,9,15,11,11,13,NaN
201909,24389,55,58,46,26,20,23,12,12,9,17,18,12,10,15868
201910,30791,43,67,52,38,25,14,10,18,21,14,22,21,12,43764
201911,29026,60,59,46,42,18,28,23,19,17,13,12,22,11,40366
201912,18036,53,70,44,26,22,22,22,26,12,20,23,19,19,27036
202001,23946,73,66,40,27,29,26,24,20,17,25,15,29,8,35243
202002,26555,60,46,35,28,27,26,25,25,24,27,31,25,19,33220
202003,26360,32,28,19,38,32,17,22,19,16,18,29,18,15,40156
202004,13705,30,41,38,25,20,28,17,26,22,23,22,22,7,18846
202005,17144,40,51,27,38,26,29,28,23,19,14,17,16,17,23179
202006,29141,65,53,65,45,45,32,24,35,26,26,23,25,16,32112
202007,35353,61,62,57,52,52,40,35,33,33,26,29,27,13,39529
202008,30526,71,72,61,53,59,53,36,42,31,26,37,26,10,35696
202009,37066,71,99,82,60,47,46,41,27,29,35,24,26,30,47656
202010,40329,67,107,85,66,71,48,51,47,43,29,39,32,17,51144
202011,39076,85,109,92,85,48,41,47,51,35,41,40,52,18,53861
202012,29780,85,125,103,74,48,49,66,32,32,26,32,27,25,42111
202101,35637,66,116,72,58,56,59,30,31,41,25,37,38,19,51271
202102,37144,116,130,97,62,47,30,29,45,42,37,38,49,21,52380
202103,40146,98,138,87,84,58,46,45,32,29,40,36,34,18,53812
202104,36230,85,111,99,57,41,43,46,34,31,37,44,36,16,46048
202105,36089,88,130,56,54,61,56,48,45,46,35,28,46,18,45931
202106,40750,118,97,73,70,60,46,46,42,33,34,26,17,12,49969
202107,36301,86,76,65,46,48,46,42,40,34,22,31,23,13,46467
202108,36463,86,106,96,54,58,54,49,33,27,28,28,26,12,46295
202109,41717,112,109,78,63,70,50,44,41,32,34,21,16,20,49147
202110,44490,116,116,90,77,68,67,34,47,22,29,36,31,22,57774
202111,47804,95,109,102,97,73,63,56,43,45,44,43,40,24,53883
202112,38000,75,110,105,64,58,53,41,29,26,36,41,41,26,40112
202201,41175,60,110,91,76,50,32,43,39,43,50,29,53,21,54855
202202,40329,105,126,93,64,52,49,46,55,51,43,46,55,34,53294
202203,52010,95,125,72,51,62,53,46,59,49,44,47,41,17,54451
202204,32930,96,112,70,61,60,51,64,39,46,38,48,26,18,52659
202205,41140,97,106,75,65,62,54,45,45,60,40,37,50,27,55250
202206,47287,116,123,95,67,62,53,56,44,69,36,36,39,16,47917
202207,41527,109,90,72,75,52,46,63,57,40,38,42,34,12,47434
202208,41683,105,104,111,77,76,77,60,40,55,48,34,42,21,43840
202209,48117,132,153,97,101,83,73,58,41,52,48,45,37,29,50292
202210,44843,124,171,127,129,80,62,47,47,36,44,46,54,0,52749
202211,41133,118,148,105,108,62,55,66,37,44,40,38,0,0,49747
202212,30060,91,128,100,86,93,56,56,39,30,50,0,0,0,33841
202301,34430,101,143,74,67,68,47,50,34,40,0,0,0,0,42467
202302,51472,146,123,99,90,58,53,35,46,0,0,0,0,0,42860
202303,45981,111,123,112,64,43,47,49,0,0,0,0,0,0,49590
202304,39389,96,117,74,62,58,49,0,0,0,0,0,0,0,42307
202305,44113,94,105,83,51,46,0,0,0,0,0,0,0,0,47335
202306,40495,100,116,73,74,0,0,0,0,0,0,0,0,0,45709
202307,37560,85,99,87,0,0,0,0,0,0,0,0,0,0,42341
202308,37260,84,131,0,0,0,0,0,0,0,0,0,0,0,44196
202309,45105,102,0,0,0,0,0,0,0,0,0,0,0,0,49027
202310,48688,0,0,0,0,0,0,0,0,0,0,0,0,0,52457
202311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53200
202312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34978
202401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39653
