period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,5260,35,28,15,14,12,6,7,7,4,10,7,6,2,NaN
201502,4410,32,29,11,10,8,4,7,1,5,4,11,9,0,NaN
201503,4571,22,32,18,7,9,9,5,7,8,7,6,6,3,NaN
201504,4198,30,18,13,6,8,9,6,11,5,8,11,11,2,NaN
201505,2596,18,22,6,11,10,8,8,8,5,12,8,4,3,NaN
201506,2873,40,13,11,6,8,15,7,14,5,6,5,3,1,NaN
201507,1952,18,17,9,12,9,4,5,5,2,3,6,4,4,NaN
201508,2109,23,21,13,5,9,6,10,4,7,4,7,6,2,NaN
201509,2812,29,24,22,10,13,10,8,10,6,4,5,11,8,NaN
201510,3375,30,31,15,12,9,10,4,3,7,2,6,8,7,NaN
201511,2544,25,18,12,15,4,7,4,4,5,6,1,5,9,NaN
201512,1725,21,18,6,5,5,9,8,5,4,2,1,5,3,NaN
201601,1946,21,8,12,1,5,4,3,1,6,5,4,5,4,NaN
201602,1896,18,8,6,2,5,2,4,8,4,5,3,0,2,NaN
201603,2287,14,8,8,5,4,3,4,12,3,5,0,5,2,NaN
201604,2032,7,14,2,2,4,0,5,6,3,0,3,3,0,NaN
201605,1337,18,10,7,4,5,5,1,6,2,2,5,2,1,NaN
201606,1547,16,9,5,6,6,7,3,3,1,0,2,3,0,NaN
201607,1140,12,6,3,3,3,4,4,5,3,5,3,1,1,NaN
201608,1417,7,7,3,4,7,2,6,2,2,5,3,3,0,NaN
201609,1520,14,10,5,3,5,5,2,2,1,4,0,2,1,NaN
201610,1682,14,16,14,3,3,1,3,2,3,0,1,1,2,NaN
201611,1902,17,14,10,7,3,6,1,2,1,4,2,5,0,NaN
201612,1434,13,8,6,3,2,5,4,2,1,3,1,0,0,NaN
201701,1050,7,11,3,3,0,1,0,0,2,2,3,3,2,NaN
201702,899,9,7,1,3,1,3,3,1,1,5,4,1,0,NaN
201703,782,9,8,3,2,2,3,3,1,2,4,2,0,0,NaN
201704,733,7,4,0,2,2,4,0,2,0,2,0,2,2,NaN
201705,648,7,5,5,2,2,5,1,0,2,0,0,1,2,NaN
201706,419,4,5,2,2,2,3,1,2,1,4,0,0,1,NaN
201707,906,2,7,2,1,3,1,3,1,1,2,0,0,0,NaN
201708,840,6,9,3,3,1,1,0,1,0,0,1,1,0,NaN
201709,415,6,5,6,2,2,1,0,0,0,1,0,0,0,NaN
201710,455,7,1,2,3,1,1,0,0,0,1,2,1,2,NaN
201711,606,7,5,2,1,1,2,0,0,1,3,3,1,0,NaN
201712,449,4,3,0,1,1,1,0,1,2,2,1,1,1,NaN
201801,342,4,1,2,1,0,4,0,1,1,1,1,0,0,NaN
201802,539,9,1,5,0,1,2,1,0,0,1,0,1,1,NaN
201803,398,3,1,1,0,2,0,1,1,2,1,0,0,0,NaN
201804,542,3,1,0,1,0,1,0,0,1,0,0,2,0,NaN
201805,402,5,3,3,3,3,1,0,2,1,1,0,2,0,NaN
201806,329,8,3,3,0,2,1,0,1,0,1,0,0,0,NaN
201807,151,2,6,3,0,0,1,1,2,0,0,0,0,2,NaN
201808,191,4,2,1,1,0,1,1,2,0,0,0,0,1,NaN
201809,231,5,3,2,2,0,0,0,0,0,2,0,0,1,NaN
201810,407,3,3,2,0,0,1,1,1,1,0,1,1,0,NaN
201811,389,5,2,2,0,0,1,1,2,1,0,0,0,0,NaN
201812,210,2,0,0,0,2,1,0,0,1,2,0,1,2,NaN
201901,129,2,0,0,0,0,0,1,0,1,2,2,0,0,NaN
201902,125,3,1,3,2,0,1,2,0,0,1,2,3,0,NaN
201903,141,1,2,3,2,0,2,0,0,1,0,2,1,2,NaN
201904,169,3,0,0,1,2,1,0,0,0,1,1,0,2,NaN
201905,-3,2,4,0,0,1,0,1,0,0,0,0,1,0,NaN
201906,39,4,0,4,1,1,1,2,1,3,0,0,0,0,NaN
201907,38,4,3,1,1,0,2,1,1,0,0,0,0,0,NaN
201908,12,5,2,3,1,1,2,0,0,0,0,0,1,0,NaN
201909,82,4,2,1,2,2,2,0,0,2,0,0,0,2,NaN
201910,83,4,1,0,0,1,0,0,0,0,0,0,1,0,779
201911,5,7,5,5,1,0,0,1,0,0,3,0,1,3,879
201912,1,3,3,3,0,0,0,0,0,0,1,0,1,0,939
202001,0,3,1,0,0,0,0,1,1,1,0,1,1,0,493
202002,48,0,0,2,2,2,1,0,2,4,0,1,0,1,538
202003,72,0,0,0,1,1,1,0,0,0,1,0,2,1,665
202004,36,1,0,0,0,2,0,0,0,0,0,0,0,3,207
202005,1,1,0,1,0,0,1,0,1,1,0,1,1,0,201
202006,24,0,0,0,1,0,1,0,0,0,0,1,0,0,383
202007,84,2,4,0,2,4,1,0,0,1,0,0,1,0,659
202008,36,2,0,1,2,0,0,0,0,0,0,2,0,1,998
202009,155,4,1,2,2,1,4,1,1,0,0,0,0,0,1133
202010,156,3,3,1,0,0,1,1,0,0,0,0,0,1,1286
202011,36,3,3,0,1,3,0,3,2,2,1,1,0,1,1361
202012,61,2,1,1,1,2,1,1,1,0,0,1,2,1,312
202101,0,5,0,1,0,2,1,0,0,0,0,1,0,0,317
202102,338,2,1,1,1,0,0,1,0,1,0,0,0,0,483
202103,0,3,2,0,1,0,0,0,0,0,0,1,1,0,744
202104,0,4,2,2,0,2,1,0,0,1,1,0,1,0,793
202105,0,1,2,1,0,1,1,0,0,1,1,1,0,0,600
202106,12,1,2,1,1,0,0,1,0,0,0,1,0,0,995
202107,0,1,1,4,0,0,0,1,0,0,0,0,2,1,631
202108,0,2,1,1,1,0,0,0,0,0,0,0,0,1,454
202109,0,1,0,0,0,0,0,1,0,0,0,0,2,0,656
202110,0,0,0,0,1,1,0,0,0,0,1,0,0,0,885
202111,0,0,2,0,0,4,0,0,0,0,0,0,1,2,588
202112,0,2,2,0,0,0,0,0,0,0,1,0,0,0,698
202201,72,0,0,1,0,1,0,0,0,0,0,0,0,0,506
202202,-72,0,0,0,1,0,2,0,1,0,0,0,0,0,329
202203,0,0,1,0,0,1,2,0,1,0,0,0,0,0,284
202204,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,418
202205,5,1,2,0,0,0,0,0,0,0,1,1,0,0,253
202206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430
202207,0,0,1,0,2,0,2,0,0,0,1,0,1,0,371
202208,0,1,0,0,0,0,0,0,0,0,0,1,0,0,294
202209,0,0,3,0,0,1,0,0,0,0,0,0,0,0,419
202210,0,0,2,1,1,0,0,0,0,0,0,0,0,0,379
202211,0,0,0,0,1,0,0,0,0,0,0,0,0,0,482
202212,0,0,0,3,0,0,0,0,0,0,0,0,0,0,386
202302,0,0,0,1,1,0,0,0,0,0,0,0,0,0,163
202303,0,0,0,0,0,1,0,0,0,0,0,0,0,0,454
202304,18,0,1,1,0,0,0,0,0,0,0,0,0,0,313
202305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296
202306,0,0,1,0,0,0,0,0,0,0,0,0,0,0,308
202307,0,0,1,1,0,0,0,0,0,0,0,0,0,0,300
202308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321
202309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339
202310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399
202301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,570
202311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,251
202312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,337
202401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,337
202402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,327
202403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,305
202404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,349
202405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,353
202406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,355
202407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343
202408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,380
202409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,414
202410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,441
202411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,443
202412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,366
202501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,402
202502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,327
202503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,361
202504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,365
