period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,5663,36,28,16,14,12,6,7,7,4,10,7,6,2,NaN
201502,4725,33,29,11,10,9,4,7,2,5,4,11,9,0,NaN
201503,4882,23,32,18,7,9,9,5,7,8,7,6,6,3,NaN
201504,4534,32,22,15,6,8,9,6,11,5,9,13,11,2,NaN
201505,2902,20,23,7,11,11,8,8,8,5,12,9,4,3,NaN
201506,3219,42,13,11,6,8,15,7,14,7,7,5,3,1,NaN
201507,2211,18,17,9,12,9,5,5,5,3,3,7,4,4,NaN
201508,2435,23,23,13,5,10,6,10,5,7,4,7,6,2,NaN
201509,3135,31,26,22,10,13,10,8,10,6,4,5,11,8,NaN
201510,3791,30,32,15,12,9,11,4,3,7,3,6,8,7,NaN
201511,2920,25,18,13,15,5,9,4,4,5,6,1,6,9,NaN
201512,2019,23,20,7,5,5,9,8,5,4,2,1,6,3,NaN
201601,2264,22,9,13,1,5,4,3,1,6,6,4,5,4,NaN
201602,2266,22,8,7,2,5,2,4,8,4,5,3,0,2,NaN
201603,2684,15,9,9,6,4,3,6,12,3,5,0,6,2,NaN
201604,2341,9,14,2,3,4,0,5,6,4,0,3,3,0,NaN
201605,1742,19,11,7,4,5,5,1,6,2,2,5,2,1,NaN
201606,1930,17,9,5,7,6,7,3,3,2,0,2,3,0,NaN
201607,1395,13,8,3,4,3,4,4,5,3,5,3,1,1,NaN
201608,1833,9,7,4,4,7,2,6,2,2,5,3,3,0,NaN
201609,1828,15,10,5,3,7,6,2,2,2,4,0,2,1,NaN
201610,1977,18,16,14,3,3,1,3,2,3,0,1,1,2,NaN
201611,2251,20,14,11,7,3,6,1,2,1,4,2,6,0,NaN
201612,1710,14,9,6,3,2,5,4,2,1,3,1,0,0,NaN
201701,1399,9,12,4,3,0,1,1,0,2,2,4,3,2,NaN
201702,1174,9,8,1,3,1,3,3,1,1,5,4,1,0,NaN
201703,1085,12,8,5,2,2,3,4,2,2,4,3,0,0,NaN
201704,945,8,5,1,2,3,4,1,2,0,2,1,4,2,NaN
201705,1015,8,7,5,3,2,6,1,0,2,0,0,1,2,NaN
201706,669,6,5,2,3,2,3,1,2,1,4,0,0,1,NaN
201707,1132,3,7,2,1,3,1,4,1,1,2,0,0,0,NaN
201708,1135,6,12,4,3,1,1,0,1,0,0,1,1,0,NaN
201709,723,7,8,6,3,2,1,0,0,0,1,0,0,0,NaN
201710,740,12,1,3,3,1,1,0,0,0,1,2,1,2,NaN
201711,999,9,7,2,1,1,2,0,0,1,3,3,1,0,NaN
201712,700,6,3,0,2,1,2,0,1,2,2,1,1,1,NaN
201801,611,6,1,3,1,0,4,1,1,1,1,1,1,0,NaN
201802,773,9,2,5,0,1,2,1,0,1,1,1,2,1,NaN
201803,735,4,3,1,0,2,0,1,1,2,1,0,0,0,NaN
201804,808,3,2,0,1,0,1,1,0,1,0,0,2,0,NaN
201805,649,7,5,4,3,4,1,0,2,1,1,0,2,0,NaN
201806,571,10,3,3,0,2,1,0,1,1,1,0,0,0,NaN
201807,329,2,7,3,0,0,1,1,2,0,0,0,0,2,NaN
201808,447,4,3,1,1,0,1,2,2,0,0,0,0,1,NaN
201809,483,9,3,2,2,0,0,0,0,0,2,0,0,1,NaN
201810,713,3,3,2,0,0,1,1,1,1,0,1,1,0,NaN
201811,706,8,2,3,0,0,1,1,2,1,0,0,1,0,NaN
201812,469,7,0,0,0,2,1,0,0,1,2,0,1,2,NaN
201901,452,3,0,0,0,1,1,1,0,1,3,2,0,0,NaN
201902,419,6,2,4,2,0,1,2,0,0,1,2,3,0,NaN
201903,414,4,2,3,3,0,2,0,0,1,0,2,2,2,NaN
201904,443,6,1,0,1,2,2,0,0,0,1,1,0,2,NaN
201905,304,3,9,1,0,1,0,2,0,0,0,0,1,0,NaN
201906,265,10,3,4,1,1,1,2,1,3,0,0,0,0,NaN
201907,277,7,3,1,1,0,2,1,2,0,0,0,0,0,NaN
201908,230,7,2,3,2,1,2,0,0,0,0,0,2,0,NaN
201909,352,5,3,1,2,2,2,0,0,2,0,0,0,2,NaN
201910,404,5,2,0,0,1,0,0,0,0,0,0,1,0,1088
201911,333,8,6,5,1,0,0,1,0,0,3,0,2,3,1179
201912,259,4,3,3,0,0,0,0,0,0,4,0,2,0,1160
202001,381,6,2,1,0,0,0,1,1,1,0,1,1,0,801
