period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,314597,1430,1545,889,684,618,522,437,494,537,509,511,525,318,NaN
201502,324739,1643,1412,827,685,570,481,541,537,515,484,476,568,242,NaN
201503,354097,1505,1312,934,646,504,568,608,486,533,488,508,536,239,NaN
201504,339620,1338,1463,912,636,680,592,521,525,475,514,520,492,240,NaN
201505,323189,1408,1478,878,795,713,712,585,528,529,514,528,496,261,NaN
201506,346602,1607,1380,979,886,727,674,545,602,573,478,451,467,221,NaN
201507,328783,1374,1552,1017,811,647,575,569,502,417,423,418,449,237,NaN
201508,311892,1467,1738,1042,802,755,642,598,519,470,415,408,451,282,NaN
201509,368664,1775,1964,1273,917,860,706,684,541,522,442,515,598,296,NaN
201510,424491,1896,2117,1285,1124,932,748,633,585,521,556,577,651,388,NaN
201511,410386,2143,1995,1456,1146,929,707,721,620,564,623,672,744,424,NaN
201512,315425,1582,1809,1181,959,758,741,568,553,548,543,602,652,306,NaN
201601,339908,1626,1664,1030,812,710,558,539,531,507,547,528,569,292,NaN
201602,363876,1660,1558,957,850,646,589,578,523,602,589,523,489,324,NaN
201603,382421,1601,1531,929,692,685,612,600,585,593,496,483,585,205,NaN
201604,344664,1479,1495,887,739,677,556,591,539,481,399,481,422,247,NaN
201605,333922,1456,1355,940,792,682,686,616,526,439,487,379,494,199,NaN
201606,357220,1305,1339,1030,766,761,597,518,486,508,355,473,404,176,NaN
201607,304215,1314,1441,890,722,604,497,422,430,347,397,346,356,213,NaN
201608,324916,1518,1438,966,745,595,547,532,384,409,378,322,414,196,NaN
201609,387720,1497,1735,1001,778,624,637,399,434,410,360,418,471,269,NaN
201610,410658,1717,1877,1045,782,798,502,550,457,447,464,465,565,327,NaN
201611,448054,2022,1856,1086,939,645,607,522,449,461,507,594,710,341,NaN
201612,341333,1578,1355,1046,631,625,506,388,460,447,481,515,489,338,NaN
201701,345102,1426,1470,720,667,514,423,395,405,402,478,414,505,213,NaN
201702,347997,1729,1225,852,631,491,479,482,509,594,432,501,485,269,NaN
201703,398946,1195,1390,816,552,519,451,514,531,440,495,471,471,213,NaN
201704,334053,1362,1185,766,662,535,592,633,505,556,517,454,467,244,NaN
201705,390576,1194,1223,829,668,711,589,485,555,512,424,439,441,216,NaN
201706,371991,1233,1242,840,762,702,533,630,552,489,478,439,449,239,NaN
201707,325947,1158,1204,929,790,578,673,625,543,453,453,426,440,219,NaN
201708,335404,1309,1464,1054,707,738,710,558,528,508,475,483,490,252,NaN
201709,396051,1389,1653,964,908,745,665,629,597,502,471,477,527,358,NaN
201710,439038,1631,1640,1213,901,802,684,618,595,521,550,616,722,369,NaN
201711,502503,1677,1919,1183,963,681,625,584,537,484,546,710,716,303,NaN
201712,348115,1572,1512,1013,771,608,539,463,474,479,570,542,532,342,NaN
201801,403908,1393,1313,837,645,545,448,400,413,504,504,426,581,261,NaN
201802,392162,1473,1384,861,627,551,479,497,539,521,428,523,497,251,NaN
201803,412325,1298,1317,836,653,617,561,636,566,507,576,497,504,240,NaN
201804,382927,1341,1277,849,687,709,754,654,470,535,482,426,425,221,NaN
201805,410592,1158,1315,961,907,851,743,576,630,516,473,449,484,201,NaN
201806,409633,1305,1316,1196,1030,838,646,594,534,518,428,427,410,235,NaN
201807,361157,1398,1579,1223,889,662,656,507,535,421,465,347,409,234,NaN
201808,356047,1514,1889,1155,720,736,561,517,478,469,377,446,446,256,NaN
201809,421999,2054,1868,1107,938,703,598,519,562,451,459,460,524,336,NaN
201810,492335,2051,1876,1475,983,784,656,660,518,517,494,607,699,323,NaN
201811,516518,1855,2028,1167,930,753,685,549,518,495,573,676,648,343,NaN
201812,352642,1709,1450,1089,742,719,520,473,431,491,547,538,503,312,NaN
201901,433265,1477,1389,874,702,528,488,438,438,534,447,451,524,228,75631
201902,416059,1486,1365,925,612,543,460,469,526,473,518,511,472,215,75143
201903,435749,1364,1321,726,639,543,539,546,526,461,486,450,429,161,78783
201904,397627,1479,1150,873,626,628,585,542,465,540,491,381,310,222,73358
201905,417182,1157,1191,783,709,663,541,513,561,458,401,304,425,220,81048
201906,401728,1243,1256,862,743,650,545,569,465,392,281,378,399,220,81259
201907,379431,1368,1235,886,718,556,571,514,396,272,367,401,406,231,75336
201908,365411,1315,1355,898,650,669,549,420,292,374,390,441,472,252,75210
201909,452507,1548,1439,949,841,634,513,356,447,455,386,482,479,279,108392
201910,518541,1541,1500,1154,749,592,415,495,518,488,448,515,587,391,545154
201911,536296,1526,1666,991,753,450,571,573,504,505,506,586,642,389,571735
201912,383098,1469,1389,758,468,531,488,533,540,471,565,665,624,354,395176
202001,441931,1349,1214,575,621,558,515,538,534,506,592,586,569,336,469753
202002,433479,1138,845,731,644,555,560,522,524,567,522,551,592,309,461204
202003,391334,826,959,600,546,576,492,519,502,530,491,510,551,302,500754
202004,208767,902,912,658,497,507,533,570,486,475,496,536,523,237,227603
202005,311152,972,1017,691,639,627,594,556,563,554,502,505,507,238,296390
202006,454257,1070,1245,886,775,764,633,588,573,618,554,497,519,312,405778
202007,481272,1210,1355,941,827,774,664,612,585,573,495,495,607,248,495859
202008,421097,1248,1446,1027,902,739,684,660,594,552,529,537,499,277,498881
202009,516027,1486,1767,1211,866,780,805,685,613,566,664,496,581,329,581127
202010,563216,1641,1923,1234,1061,977,864,676,679,754,521,602,668,422,618779
202011,555237,1781,1814,1331,1132,882,758,726,801,563,603,692,703,330,721704
202012,397948,1481,1643,1153,891,693,661,720,536,499,551,586,546,295,487696
202101,399695,1403,1566,1080,764,640,623,453,478,435,505,495,537,292,515534
202102,470774,1643,1601,975,783,725,469,517,535,598,533,575,594,335,568364
202103,507127,1546,1487,943,887,564,598,575,578,529,516,552,580,304,598379
202104,479618,1358,1325,1076,660,595,628,628,554,490,483,535,457,257,583827
202105,481152,1429,1725,868,760,704,709,560,558,575,521,483,514,245,561160
202106,488353,1643,1311,949,818,748,613,621,520,536,457,474,417,199,563436
202107,446312,1073,1315,951,818,614,594,552,542,439,400,408,367,221,529589
202108,392596,1281,1414,1023,736,703,668,600,479,446,411,362,389,238,486954
202109,485025,1285,1522,1007,863,780,693,559,525,476,391,400,484,243,549496
202110,526891,1407,1613,1160,942,879,664,605,566,474,457,544,498,359,599783
202111,601209,1651,1736,1225,1054,828,772,619,495,536,536,578,702,359,629940
202112,451437,1371,1503,1188,827,725,577,514,420,526,515,642,569,341,464632
202201,441449,1245,1505,908,751,576,486,503,508,484,512,522,565,265,533932
202202,465667,1402,1295,965,683,565,554,578,504,592,501,507,546,326,545327
202203,510675,1256,1358,808,631,607,597,560,641,537,559,479,559,203,537132
202204,401198,1200,1216,795,663,687,606,667,520,498,479,530,386,264,492119
202205,434154,1192,1207,839,762,671,672,525,567,521,502,383,417,188,510034
202206,399534,1077,1164,874,708,678,531,553,489,517,371,369,335,161,462648
202207,355619,1066,1147,806,815,613,573,491,559,339,340,328,337,188,439178
202208,360192,1215,1144,989,691,695,577,549,407,424,353,326,361,215,387917
202209,416842,1309,1441,979,862,720,708,471,435,375,311,348,406,245,436021
202210,449409,1286,1456,1114,897,868,537,553,468,382,379,430,475,0,499903
202211,441732,1273,1517,1039,912,590,626,528,409,409,412,473,0,0,472416
202212,290160,1138,1249,977,629,580,495,385,389,369,407,0,0,0,327231
202301,374110,1011,1241,623,589,495,383,365,349,381,0,0,0,0,409646
202302,406434,1288,978,753,569,464,449,403,423,0,0,0,0,0,415019
202303,402295,927,1087,719,500,465,430,503,0,0,0,0,0,0,439233
202304,329332,929,988,637,523,494,478,0,0,0,0,0,0,0,377375
202305,342843,906,942,677,550,477,0,0,0,0,0,0,0,0,377534
202306,349349,874,959,718,658,0,0,0,0,0,0,0,0,0,372307
202307,297625,887,880,716,0,0,0,0,0,0,0,0,0,0,339778
202308,309352,846,1074,0,0,0,0,0,0,0,0,0,0,0,325097
202309,367527,975,0,0,0,0,0,0,0,0,0,0,0,0,398089
202310,398148,0,0,0,0,0,0,0,0,0,0,0,0,0,434140
202311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,438071
202312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,308127
202401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,354080
202402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,354931
202403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,388143
202404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,364694
202405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,380532
202406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,384136
202407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,366622
202408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,357493
202409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,430351
202410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,467288
202411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,463870
202412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,332827
202501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,310306
202502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,308200
202503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,337981
202504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,319365
202505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16684
