period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,27106,152,150,111,74,94,81,69,71,57,47,44,37,23,NaN
201502,29654,156,176,118,100,100,70,73,75,63,50,64,59,30,NaN
201503,34600,163,162,133,110,90,94,110,60,54,55,59,47,28,NaN
201504,35538,154,182,155,104,103,99,65,70,52,54,49,54,23,NaN
201505,36862,230,232,144,129,119,86,60,55,52,58,55,52,38,NaN
201506,40949,270,240,190,117,93,79,65,63,56,55,49,60,42,NaN
201507,38174,203,210,130,92,67,69,69,43,46,50,60,75,46,NaN
201508,31566,198,215,158,103,67,59,65,43,51,76,79,62,50,NaN
201509,41326,243,241,139,96,88,73,53,50,77,77,77,113,49,NaN
201510,45500,194,193,121,98,72,80,48,87,73,96,95,76,40,NaN
201511,41788,177,183,144,102,89,62,88,94,81,111,66,65,24,NaN
201512,27283,158,177,119,107,75,77,76,78,92,68,50,48,34,NaN
201601,30832,160,159,106,95,73,96,76,80,66,66,63,62,26,NaN
201602,35697,202,213,136,114,99,91,86,71,66,51,59,49,23,NaN
201603,39075,200,198,165,129,114,92,99,87,52,52,56,55,32,NaN
201604,39652,238,233,168,134,122,101,87,64,55,58,72,51,41,NaN
201605,43288,227,261,185,177,134,122,92,71,72,64,59,54,42,NaN
201606,45496,288,292,215,127,132,90,66,76,61,61,77,74,41,NaN
201607,40437,243,273,166,135,76,72,71,65,33,56,92,106,41,NaN
201608,37198,305,276,178,106,89,60,93,51,65,91,104,108,45,NaN
201609,47575,248,289,167,108,96,79,79,87,81,88,99,90,53,NaN
201610,44905,259,298,152,115,113,80,83,101,103,99,90,90,52,NaN
201611,46119,255,242,142,137,93,100,99,94,88,103,92,99,31,NaN
201612,32090,156,200,161,91,79,111,110,70,63,84,84,57,28,NaN
201701,35308,195,252,136,120,109,71,92,69,70,72,49,76,29,NaN
201702,36522,259,199,186,154,125,92,95,92,80,66,62,66,33,NaN
201703,46757,203,290,183,150,127,112,107,91,65,59,55,57,33,NaN
201704,37590,276,361,235,177,165,130,110,85,67,57,60,69,50,NaN
201705,47410,316,359,224,176,155,128,80,86,69,61,83,77,55,NaN
201706,46564,346,337,237,186,131,100,91,85,66,74,83,113,46,NaN
201707,41145,317,271,200,147,106,80,66,50,82,58,82,108,46,NaN
201708,36191,276,310,178,115,109,83,59,70,77,80,111,79,49,NaN
201709,47646,271,273,160,133,86,95,67,74,95,86,83,78,48,NaN
