period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,5272,25,21,9,7,12,9,4,7,3,4,3,5,4,NaN
201502,4881,23,11,17,10,9,5,9,3,5,4,4,2,2,NaN
201503,5771,23,15,10,4,8,5,6,5,6,8,4,3,1,NaN
201504,6274,33,17,11,7,15,11,4,4,1,3,5,3,0,NaN
201505,5600,30,26,14,16,11,4,12,5,4,5,6,5,4,NaN
201506,7231,63,38,25,14,12,10,12,4,7,2,3,4,7,NaN
201507,8488,43,28,18,6,6,7,7,4,2,8,8,8,3,NaN
201508,5517,50,27,20,6,7,6,10,8,3,6,8,4,3,NaN
201509,7803,30,23,14,6,8,6,8,5,5,4,11,9,1,NaN
201510,6216,20,17,6,8,6,3,9,9,9,10,7,4,2,NaN
201511,4991,22,22,6,4,8,9,5,7,3,8,8,4,2,NaN
201512,3993,22,17,18,5,10,3,3,7,5,3,4,1,1,NaN
201601,4355,24,11,6,3,9,10,10,3,6,5,6,4,3,NaN
201602,4894,19,12,9,8,13,11,2,12,3,2,2,2,3,NaN
201603,4848,16,17,14,11,6,4,3,5,2,3,1,7,1,NaN
201604,5419,27,26,15,9,11,13,4,4,3,2,0,1,1,NaN
201605,5119,28,24,14,9,7,7,6,4,1,3,3,4,0,NaN
201606,6672,37,26,17,9,8,10,6,3,6,2,4,6,3,NaN
201607,6640,48,25,10,7,5,4,4,2,2,10,2,5,2,NaN
201608,4470,33,21,13,5,7,12,5,5,2,2,13,5,2,NaN
201609,6466,23,29,14,7,9,5,5,4,4,3,6,7,1,NaN
201610,5869,31,23,4,8,11,7,5,8,5,7,4,3,2,NaN
201611,5087,40,18,7,5,5,6,7,9,4,4,5,7,0,NaN
201612,3690,15,10,11,4,6,9,6,5,2,5,2,0,3,NaN
201701,4323,22,13,3,9,6,4,8,7,5,8,4,2,0,NaN
201702,4458,18,9,9,8,6,7,4,5,6,0,2,0,0,NaN
201703,4871,14,17,8,10,5,11,4,5,1,5,3,0,3,NaN
201704,4203,28,17,6,13,7,10,5,2,3,0,5,5,4,NaN
