period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,2577,18,9,12,5,8,6,5,8,7,5,4,5,1,NaN
201502,3083,12,11,8,8,3,6,5,6,4,2,2,4,5,NaN
201503,2851,23,14,14,7,10,6,4,4,5,1,3,5,0,NaN
201504,3733,19,13,11,8,5,6,2,0,3,2,2,1,2,NaN
201505,3200,13,19,10,14,8,9,4,7,1,3,3,2,2,NaN
201506,4280,20,14,9,7,7,12,2,3,7,4,5,4,2,NaN
201507,3936,26,19,12,3,3,6,3,1,3,2,1,3,0,NaN
201508,3115,26,21,14,7,4,6,2,4,6,1,0,4,2,NaN
201509,4426,20,14,10,6,2,6,4,6,5,0,5,4,2,NaN
201510,4321,18,15,7,2,7,7,1,2,6,3,4,5,1,NaN
201511,4657,20,17,7,7,5,4,4,4,3,7,5,6,2,NaN
201512,3286,10,14,2,5,7,6,4,4,6,6,7,4,0,NaN
201601,2846,14,13,13,6,4,6,3,10,5,5,2,6,4,NaN
201602,3511,13,16,2,10,7,8,13,3,4,5,4,5,0,NaN
201603,3207,16,12,15,12,19,14,10,7,4,3,2,6,4,NaN
201604,3219,23,26,12,17,12,8,15,5,4,4,8,1,2,NaN
201605,2938,17,31,23,11,18,8,9,10,1,8,3,6,4,NaN
201606,3376,20,32,29,17,11,8,10,2,4,2,3,11,3,NaN
201607,5630,22,32,15,11,7,8,3,1,1,6,7,4,4,NaN
201608,3376,31,30,23,10,6,3,7,4,4,4,5,6,4,NaN
201609,4031,25,31,8,5,5,5,4,7,5,8,9,10,3,NaN
201610,4243,22,21,14,6,2,6,12,8,7,7,7,8,3,NaN
201611,4018,15,15,15,14,7,5,10,4,10,12,6,9,5,NaN
201612,2818,13,17,12,5,7,10,10,11,11,11,8,7,0,NaN
201701,2515,14,23,10,12,11,8,7,10,13,12,6,2,0,NaN
201702,2669,16,14,9,7,9,8,7,10,9,6,6,8,0,NaN
201703,4348,13,17,23,15,13,13,9,9,6,7,6,2,2,NaN
201704,3391,14,14,11,16,15,6,13,5,4,6,4,3,1,NaN
201705,3811,23,35,23,15,18,12,9,8,4,1,8,8,3,NaN
201706,3796,24,26,27,17,23,18,8,12,4,3,9,5,4,NaN
201707,3757,15,23,16,22,11,8,13,9,6,6,3,10,3,NaN
201708,3372,31,33,25,21,12,15,8,7,2,6,9,8,5,NaN
201709,5103,30,26,16,10,14,7,9,9,12,11,11,12,9,NaN
201710,4000,22,25,24,18,13,10,15,18,17,15,14,17,4,NaN
201711,4069,18,33,16,12,8,13,10,12,15,16,15,13,4,NaN
201712,3393,16,23,20,16,11,19,26,13,17,16,11,7,4,NaN
201801,3389,14,14,10,18,22,15,18,15,19,14,9,7,4,NaN
201802,3513,19,22,24,15,22,23,20,17,12,12,6,10,5,NaN
201803,3634,9,22,27,28,24,16,21,19,9,6,6,2,3,NaN
201804,3309,15,14,18,27,23,16,16,12,6,2,4,5,3,NaN
201805,4079,14,31,20,25,23,13,14,8,8,4,4,6,2,NaN
201806,4424,11,21,18,26,14,7,7,5,7,8,5,6,4,NaN
201807,4003,19,20,22,13,8,5,7,4,5,3,2,9,7,NaN
201808,3464,16,27,15,11,8,3,8,8,5,4,7,4,5,NaN
201809,3681,26,22,6,9,4,5,8,7,8,5,11,9,4,NaN
201810,4242,25,16,11,13,4,3,7,7,10,5,5,7,5,NaN
201811,4462,19,13,9,10,0,7,2,9,10,9,9,3,6,NaN
201812,2795,19,16,7,9,5,5,0,9,6,8,11,6,2,NaN
201901,3416,11,16,7,8,4,7,7,8,7,7,4,2,5,902
201902,3621,10,11,10,8,11,6,12,8,5,5,0,5,0,926
201903,3361,11,8,13,6,7,14,7,10,2,3,3,1,0,694
201904,3491,13,16,16,6,5,9,7,5,2,5,2,3,1,714
201905,3729,17,21,19,6,18,8,13,4,6,1,2,4,1,721
201906,3677,23,18,13,19,5,4,4,4,1,1,1,4,2,766
201907,3895,18,13,13,12,1,3,4,6,4,3,2,4,4,520
201908,2973,14,12,6,8,5,4,6,1,4,0,1,4,3,456
201909,4025,20,20,8,13,9,4,3,5,7,4,5,7,6,732
201910,4259,13,15,12,3,5,9,3,4,1,2,11,9,3,4633
201911,4279,11,13,9,8,3,3,8,10,11,6,6,3,5,4599
201912,3074,8,13,6,3,5,8,5,14,6,10,6,4,0,3013
202001,3424,11,8,8,7,9,6,8,5,5,8,6,2,1,3531
202002,3794,9,15,9,6,3,9,7,8,7,5,1,6,1,3725
202003,3748,11,12,5,6,10,6,9,10,6,7,1,4,0,3633
202004,1977,10,2,6,3,4,3,4,6,3,4,5,1,2,1585
202005,1875,4,5,11,3,2,2,6,4,4,1,1,3,2,2070
