period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,13795,22,29,7,11,17,9,10,20,6,5,7,5,5,NaN
201502,14156,36,29,16,15,14,13,13,10,5,4,4,9,5,NaN
201503,16929,36,36,20,17,11,16,11,11,5,6,6,5,4,NaN
201504,16062,33,38,22,20,12,6,8,9,6,5,5,5,3,NaN
201505,14504,29,49,9,21,15,12,9,8,12,2,7,7,5,NaN
201506,17945,56,41,26,20,22,6,14,10,11,7,7,15,8,NaN
201507,19290,44,40,30,15,9,13,16,12,8,9,9,9,8,NaN
201508,17055,61,39,21,18,9,15,5,5,7,11,15,7,7,NaN
201509,19038,43,53,23,14,15,22,15,6,7,15,15,11,7,NaN
201510,18578,38,35,27,20,19,15,9,13,14,9,8,7,2,NaN
201511,17277,37,43,32,28,19,15,15,11,17,8,16,8,3,NaN
201512,12211,25,41,31,19,16,17,14,15,9,10,5,8,3,NaN
201601,14842,34,53,28,23,19,20,15,8,5,13,13,15,2,NaN
201602,16021,44,38,22,30,21,22,15,10,10,13,6,9,3,NaN
201603,16751,49,46,20,25,29,21,15,8,9,17,12,10,2,NaN
201604,15964,31,42,25,24,21,17,18,12,9,8,12,12,5,NaN
201605,15914,61,51,31,27,21,11,15,18,18,13,13,11,4,NaN
201606,19190,52,69,41,28,18,19,20,9,18,11,13,15,8,NaN
201607,16931,55,60,31,29,17,15,14,15,7,8,12,22,8,NaN
201608,18007,61,57,30,22,8,18,8,7,14,9,14,14,6,NaN
201609,18797,42,48,26,15,12,12,7,13,19,16,10,13,1,NaN
201610,16910,47,47,22,11,19,15,15,22,16,15,21,13,9,NaN
201611,19148,40,43,27,29,12,13,12,11,14,17,16,11,7,NaN
201612,12804,27,41,31,20,10,21,15,22,7,11,9,9,11,NaN
201701,13880,32,48,23,12,19,15,17,8,12,14,13,12,11,NaN
201702,15521,38,30,22,23,14,10,8,15,21,8,15,12,6,NaN
201703,17003,41,40,31,22,22,25,19,14,5,12,18,16,8,NaN
201704,13509,35,41,21,21,22,24,10,10,16,9,15,13,3,NaN
201705,17180,39,24,21,22,20,9,12,12,9,12,12,17,8,NaN
201706,17672,30,45,29,30,11,17,11,11,6,12,7,16,10,NaN
201707,15430,42,37,18,21,17,14,19,8,16,18,17,18,7,NaN
201708,16417,35,23,38,14,13,16,19,10,12,14,13,19,4,NaN
201709,18791,37,42,13,19,13,12,18,16,14,9,14,10,5,NaN
201710,17246,33,37,26,17,17,18,19,14,21,16,15,19,10,NaN
201711,17996,32,40,22,7,18,15,14,13,15,10,14,17,5,NaN
