period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,1764,16,18,10,8,6,1,3,5,2,1,2,1,5,NaN
201502,1958,15,20,5,10,4,9,3,11,11,9,7,8,3,NaN
201503,2410,16,15,10,7,10,6,8,6,12,3,9,9,2,NaN
201504,2502,30,29,16,7,16,7,9,10,16,9,8,4,1,NaN
201505,1873,27,35,17,8,9,12,9,10,12,14,9,12,6,NaN
201506,3324,23,32,21,11,14,18,12,9,4,6,10,5,4,NaN
201507,2382,22,33,23,17,9,5,12,8,4,3,4,5,7,NaN
201508,1989,26,33,24,13,8,19,7,9,4,6,6,6,2,NaN
201509,2496,30,33,22,13,9,17,4,12,7,9,10,8,5,NaN
201510,3054,25,37,16,9,8,6,10,9,5,11,13,9,5,NaN
201511,3156,34,26,9,12,19,13,8,6,15,12,8,3,2,NaN
201512,2702,16,27,16,17,14,11,6,5,7,9,7,9,4,NaN
201601,2051,16,21,19,13,12,8,6,5,7,4,7,3,0,NaN
201602,2395,25,27,10,11,11,11,12,12,6,3,8,1,2,NaN
201603,2525,31,29,15,16,8,11,7,2,3,6,4,5,1,NaN
201604,2537,27,30,18,13,18,6,10,8,9,5,4,5,3,NaN
201605,2952,24,31,14,21,11,11,8,9,10,6,6,7,2,NaN
201606,2466,31,26,17,18,11,12,8,5,5,4,10,7,4,NaN
201607,2497,34,29,24,18,11,13,7,4,3,4,9,1,2,NaN
201608,2489,29,23,16,16,11,13,3,5,4,4,3,3,1,NaN
201609,3133,35,27,15,9,8,8,3,7,4,4,11,12,5,NaN
201610,3009,27,27,19,17,8,6,5,5,4,6,6,8,2,NaN
201611,2970,27,33,20,16,5,6,13,7,8,8,4,10,5,NaN
201612,2186,23,22,15,9,10,10,8,7,8,8,8,4,5,NaN
201701,2200,17,30,12,11,9,8,11,9,1,9,6,4,4,NaN
201702,2260,33,24,18,17,8,7,8,13,6,3,4,5,4,NaN
201703,3052,19,31,20,10,13,13,7,7,5,6,2,5,1,NaN
201704,2086,27,37,21,12,11,11,6,5,5,3,5,3,3,NaN
201705,2995,27,29,25,14,16,13,9,4,3,6,2,4,4,NaN
201706,3881,38,26,30,17,5,9,11,12,9,7,4,7,6,NaN
201707,2701,38,37,20,17,15,12,16,7,8,6,6,8,4,NaN
201708,1750,24,26,18,13,8,10,9,4,7,8,10,10,5,NaN
201709,3074,36,33,22,19,7,17,7,8,9,6,12,8,1,NaN
201710,2768,25,34,23,18,14,9,10,7,11,8,8,3,0,NaN
201711,2851,30,35,24,27,12,18,8,10,6,7,9,5,5,NaN
201712,1609,35,28,13,6,14,15,7,8,4,5,5,8,2,NaN
201801,1617,23,20,17,5,7,6,10,6,7,4,3,4,3,NaN
201802,1846,17,15,10,8,11,8,3,7,6,0,3,5,1,NaN
201803,1950,22,22,14,10,7,6,10,7,5,2,5,6,1,NaN
201804,1758,17,17,11,9,7,11,11,2,2,6,0,2,4,NaN
201805,2081,22,32,15,11,11,6,9,4,4,5,3,6,3,NaN
201806,1976,25,26,15,12,5,4,7,6,6,3,4,8,4,NaN
201807,1947,27,26,15,7,6,4,6,3,5,3,3,3,1,NaN
201808,1792,14,23,9,7,10,2,6,2,6,9,1,3,1,NaN
201809,1782,19,30,14,11,8,10,6,4,6,10,2,4,4,NaN
201810,2139,15,26,16,13,9,8,4,9,7,9,6,12,3,NaN
201811,2273,16,26,25,20,11,13,10,8,5,9,6,10,2,NaN
201812,1524,16,23,19,8,4,8,7,6,6,6,3,2,5,NaN
201901,1783,16,24,11,11,9,6,3,5,7,6,11,2,0,8
201902,1690,21,19,15,6,10,13,12,12,5,8,8,4,0,4
201903,1964,20,16,21,13,11,12,5,5,5,5,3,2,0,12
201904,2003,18,26,11,9,9,14,7,5,6,3,3,1,1,10
201905,2237,24,26,9,12,10,5,2,9,4,5,4,5,3,7
201906,2030,18,23,19,12,8,4,4,3,4,3,5,3,1,NaN
201907,1917,22,20,27,19,4,5,2,7,3,6,3,6,2,17
201908,1984,24,27,16,11,12,13,5,7,5,9,1,9,2,NaN
201909,1908,26,23,17,13,5,8,2,9,6,4,12,8,0,119
201910,2338,17,24,11,6,11,2,3,7,8,3,9,7,2,2664
201911,2500,16,32,16,12,5,6,8,8,7,7,8,4,3,2972
201912,1554,19,20,12,5,5,4,3,7,4,5,8,6,2,1794
202001,1886,20,20,7,12,6,6,6,3,5,3,4,7,3,2338
202002,2175,15,18,11,10,10,8,6,9,5,2,3,5,3,2738
202003,2199,19,17,15,9,9,6,11,9,3,6,5,3,1,2626
202004,1125,7,16,1,15,6,3,9,1,9,5,6,2,0,1329
202005,1301,14,23,18,11,5,5,2,3,6,5,3,2,1,2223
202006,1867,24,11,14,25,9,7,8,9,7,5,2,3,5,2544
202007,2440,21,23,13,23,8,8,11,9,3,10,2,7,2,2600
202008,2168,30,15,20,9,15,11,16,4,6,5,3,6,6,2655
202009,2269,18,17,14,14,16,12,11,8,8,7,6,10,2,2872
202010,1402,24,22,22,10,10,8,5,8,9,11,3,5,2,3310
202011,2526,18,29,15,24,18,9,14,18,7,7,8,6,1,4126
202012,1968,21,27,30,14,15,9,8,5,10,2,3,3,5,3175
202101,2610,14,28,24,14,15,7,5,7,3,5,3,9,6,3876
202102,3102,26,28,21,16,16,6,15,7,8,6,8,4,4,3411
202103,3738,27,35,21,8,14,14,10,8,7,4,3,5,5,3541
202104,2686,21,30,20,10,11,9,11,2,6,6,4,3,3,3028
202105,3144,17,42,12,14,16,6,10,10,8,7,10,7,4,3570
202106,3488,35,23,26,18,14,9,10,10,6,4,7,3,4,3991
202107,3035,13,26,13,16,15,11,8,5,3,6,2,2,3,3319
202108,2759,21,26,20,19,13,7,9,10,6,4,6,3,3,3328
202109,3313,9,29,13,21,14,14,5,2,9,6,1,4,1,3463
202110,3641,23,24,22,12,16,14,14,4,3,9,10,3,4,3712
202111,3580,22,26,15,18,18,11,8,12,11,8,5,6,5,3811
202112,2430,22,20,23,13,14,8,2,7,9,8,5,4,2,2383
202201,2551,15,26,18,16,9,7,5,7,7,7,5,5,4,3143
202202,2890,19,22,19,16,13,10,12,12,7,6,7,5,5,3261
202203,3197,22,25,21,5,12,8,13,9,8,12,14,11,5,3612
202204,3387,17,26,23,13,11,16,13,8,8,8,7,0,2,3196
202205,3669,19,25,13,20,12,7,11,5,7,9,9,4,3,3865
202206,3180,13,25,17,17,12,4,3,10,5,3,3,8,0,3441
202207,3156,10,17,14,14,10,9,6,3,4,5,5,4,2,3012
202208,3000,15,10,26,7,5,17,11,2,2,2,5,2,0,3291
202209,3193,12,25,15,10,5,14,3,9,7,2,7,4,1,3426
202210,2639,14,24,13,13,8,7,10,8,5,3,6,9,0,3341
202211,2857,13,22,19,8,8,9,5,8,0,5,6,0,0,3194
202212,2025,8,14,16,7,4,4,8,4,7,1,0,0,0,2259
202301,2217,5,15,7,11,7,5,5,3,4,0,0,0,0,3144
202302,2362,13,20,9,9,7,6,5,4,0,0,0,0,0,2856
202303,3121,13,18,10,5,9,7,7,0,0,0,0,0,0,3221
202304,2151,4,18,9,4,7,3,0,0,0,0,0,0,0,3030
