period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,12434,63,80,48,52,36,50,38,44,36,37,32,24,12,NaN
201502,13590,95,97,54,71,51,44,39,34,24,31,32,26,15,NaN
201503,14752,90,91,75,77,51,33,54,28,23,24,26,27,14,NaN
201504,14569,77,83,72,64,54,52,37,27,19,21,35,27,8,NaN
201505,12456,107,124,64,60,62,49,35,31,32,39,29,22,18,NaN
201506,17980,121,105,93,77,64,43,36,37,33,23,18,43,15,NaN
201507,14445,104,131,76,65,48,45,38,33,28,16,27,51,13,NaN
201508,14656,111,139,78,45,42,43,44,19,46,51,48,56,31,NaN
201509,16493,113,124,80,60,74,63,57,49,62,62,70,74,27,NaN
201510,16186,86,136,107,81,70,55,60,64,76,74,72,53,21,NaN
201511,15993,106,121,110,88,66,60,75,67,86,91,47,45,21,NaN
201512,11229,79,89,87,52,57,74,70,96,76,51,68,50,28,NaN
201601,13058,70,92,58,67,84,67,72,73,50,50,39,44,11,NaN
201602,13866,94,94,77,87,80,87,90,58,44,50,46,33,25,NaN
201603,14589,92,110,94,77,83,81,53,63,54,52,51,46,11,NaN
201604,15284,98,124,99,88,84,61,58,36,32,20,25,24,19,NaN
201605,16434,125,122,110,83,66,67,44,29,31,38,31,34,16,NaN
201606,17734,118,118,86,78,55,52,43,34,40,11,26,39,12,NaN
201607,17553,136,149,89,67,63,34,35,31,30,34,40,37,16,NaN
201608,15729,141,148,78,71,47,30,29,22,24,39,33,39,27,NaN
201609,20972,123,124,78,49,43,41,32,27,41,46,41,45,10,NaN
201610,17960,131,97,69,46,62,38,52,45,45,42,42,47,25,NaN
201611,18909,109,104,55,54,39,47,53,45,45,36,39,39,14,NaN
201612,12114,77,86,56,39,47,48,38,38,35,33,30,12,10,NaN
201701,13799,70,81,43,53,47,59,41,38,29,27,16,24,10,NaN
201702,15732,125,91,64,70,58,65,42,48,37,30,29,29,10,NaN
201703,19075,98,117,64,79,61,57,45,50,23,29,28,26,12,NaN
201704,14838,99,127,100,77,93,73,70,40,51,36,33,35,13,NaN
201705,20528,155,170,113,98,86,67,50,53,59,32,40,46,22,NaN
201706,19268,144,152,116,108,83,59,52,45,39,39,47,62,29,NaN
201707,17513,141,172,123,90,56,54,33,35,35,50,65,66,27,NaN
201708,17388,130,135,97,69,53,48,31,36,45,64,66,73,33,NaN
201709,18194,148,146,73,67,55,53,54,61,85,77,85,77,37,NaN
201710,19606,125,104,93,65,72,44,61,96,55,80,80,66,29,NaN
201711,19919,102,125,88,74,68,53,88,56,66,71,61,47,16,NaN
201712,12478,84,80,60,55,34,82,62,63,49,48,40,34,22,NaN
201801,14822,82,103,63,57,81,60,51,56,63,32,42,43,15,NaN
201802,14455,79,89,75,76,81,78,59,60,52,35,34,28,16,NaN
201803,16902,84,115,103,62,56,62,63,46,35,28,35,29,15,NaN
201804,14760,103,109,83,88,61,55,43,30,37,23,26,31,6,NaN
201805,16471,112,117,82,76,64,56,45,37,27,27,21,45,15,NaN
201806,17952,83,139,103,82,57,46,49,35,38,20,23,33,22,NaN
