period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,7232,27,16,4,2,12,9,12,15,9,6,6,9,1,NaN
201502,6310,24,23,10,4,6,12,9,12,3,3,3,6,2,NaN
201503,6541,17,20,10,14,16,8,10,6,11,3,8,7,3,NaN
201504,6982,20,17,15,10,17,7,9,5,0,6,3,5,1,NaN
201505,7019,35,25,21,16,8,4,4,4,5,3,5,4,7,NaN
201506,10810,29,35,19,23,18,13,7,8,6,12,5,6,1,NaN
201507,14583,39,40,30,13,8,13,13,4,9,6,5,7,5,NaN
201508,14591,42,33,25,22,11,15,6,10,10,6,11,18,8,NaN
201509,13777,39,29,19,12,11,6,7,8,10,10,9,11,5,NaN
201510,12576,21,18,16,14,9,8,8,6,11,19,12,9,7,NaN
201511,12170,25,19,11,5,10,3,6,9,14,12,8,11,3,NaN
201512,11449,19,20,11,16,9,9,6,17,7,5,7,11,6,NaN
201601,7966,33,18,6,9,8,8,12,9,12,7,7,7,3,NaN
201602,7281,18,19,11,7,9,15,11,7,4,3,8,3,1,NaN
201603,6992,18,16,9,12,13,7,5,6,6,3,1,3,3,NaN
201604,7708,14,26,15,14,16,9,8,8,5,4,5,1,1,NaN
201605,9430,22,36,24,14,11,7,7,8,2,8,1,4,2,NaN
201606,12766,34,57,35,27,13,4,6,7,4,5,10,9,2,NaN
201607,15746,27,46,40,29,11,16,6,10,9,4,11,7,6,NaN
201608,13773,46,40,31,15,8,13,8,10,9,8,7,9,5,NaN
201609,15074,39,39,14,16,14,6,6,9,6,12,10,17,6,NaN
201610,12652,42,31,12,9,6,9,7,6,14,21,15,16,6,NaN
201611,11159,32,22,8,11,4,13,12,15,8,11,9,12,3,NaN
201612,9278,18,16,11,6,6,5,15,8,11,11,5,5,0,NaN
201701,5883,15,20,8,6,7,6,4,2,1,6,5,1,1,NaN
201702,4835,19,21,2,9,4,7,6,8,3,4,3,6,2,NaN
201703,6035,17,18,10,10,12,10,6,7,1,2,2,3,1,NaN
201704,5704,33,19,8,10,10,6,9,1,6,5,1,1,1,NaN
201705,8157,26,18,13,12,8,10,3,5,2,8,6,5,5,NaN
201706,10549,40,22,26,11,8,5,9,4,2,5,4,6,3,NaN
201707,11833,38,44,30,16,8,7,10,5,7,5,5,5,2,NaN
201708,13820,45,29,15,11,6,11,5,5,7,6,16,8,3,NaN
201709,11534,28,25,6,12,7,4,4,4,6,11,6,8,5,NaN
201710,13130,31,23,17,6,3,4,7,7,4,4,8,12,5,NaN
201711,10019,21,18,10,8,7,8,4,10,5,7,9,3,3,NaN
201712,7788,10,14,11,7,6,12,5,7,6,8,4,5,0,NaN
201801,5652,14,11,10,5,3,3,2,7,4,4,7,2,1,NaN
201802,5904,10,11,7,10,7,6,2,4,3,3,4,4,3,NaN
201803,5554,14,14,8,5,4,5,3,4,5,5,3,3,2,NaN
201804,7086,17,18,12,8,6,8,5,4,5,4,4,2,0,NaN
201805,9652,24,20,19,7,10,9,6,6,4,4,4,2,1,NaN
201806,10640,27,35,21,20,11,6,8,5,7,8,5,6,3,NaN
201807,12013,55,42,24,16,10,5,9,4,6,9,7,7,4,NaN
201808,13551,50,37,29,13,7,9,5,4,4,6,8,13,5,NaN
201809,11217,36,27,20,14,5,7,5,9,7,6,2,12,5,NaN
201810,11499,30,20,17,4,3,5,5,4,6,8,6,8,3,NaN
201811,10204,17,14,9,4,3,7,4,6,6,5,7,6,2,NaN
201812,7571,20,16,10,3,6,4,5,5,3,5,4,4,2,NaN
201901,6744,20,17,4,6,3,7,2,4,7,0,5,3,1,NaN
201902,5055,17,10,7,4,10,13,10,3,5,3,3,2,3,NaN
201903,5099,15,20,9,3,6,10,10,10,3,5,3,5,1,NaN
201904,6005,6,13,11,7,6,7,3,2,8,3,4,2,1,NaN
201905,7192,20,15,13,13,11,13,7,5,10,3,1,8,4,NaN
201906,9152,32,28,22,16,13,12,17,8,5,5,4,12,3,NaN
201907,11197,20,24,13,16,14,11,6,7,3,7,12,3,2,NaN
201908,9625,27,16,15,12,10,7,4,4,1,6,9,13,3,NaN
201909,9931,17,16,11,7,8,3,2,6,5,7,7,5,1,208
201910,9081,22,16,15,10,6,5,3,5,8,5,11,6,6,8241
201911,7513,18,18,12,3,2,3,8,4,11,9,5,4,1,7643
201912,6943,9,14,1,2,1,4,7,6,9,8,10,3,1,6422
202001,5605,13,5,4,1,4,7,9,9,6,5,2,6,0,6011
202002,4418,12,7,3,6,8,7,5,5,6,1,4,6,4,4815
202003,7668,7,9,5,11,5,2,11,7,3,2,3,3,4,5238
202004,5265,14,17,11,10,9,8,12,0,4,3,3,4,3,3238
202005,4726,10,10,13,20,10,9,9,4,3,10,5,4,2,3042
202006,6587,17,19,16,9,7,7,5,4,2,4,7,8,2,2722
202007,3251,24,14,12,7,7,4,3,4,3,3,2,4,2,2096
202008,563,21,15,6,3,2,5,4,1,3,2,1,1,1,591
202009,524,8,3,1,0,0,1,0,1,2,1,1,0,1,259
202010,91,6,1,2,1,3,1,1,0,0,1,0,2,1,130
202011,107,2,0,0,3,0,2,0,0,1,1,1,0,1,93
202012,61,3,1,0,0,0,1,0,1,0,0,0,1,0,75
202101,3,2,2,0,2,0,0,0,0,0,0,0,0,0,NaN
202102,17,3,2,0,2,0,0,1,1,0,0,1,0,1,NaN
202103,11,3,0,1,2,0,1,0,0,1,0,1,0,0,42
202104,0,3,0,2,1,0,0,0,0,0,0,0,0,0,NaN
202105,-6,2,1,1,0,1,0,0,0,0,0,0,0,1,NaN
202106,11,1,1,0,1,0,0,0,0,0,0,0,1,0,NaN
202107,-6,2,0,0,0,0,0,0,1,0,1,0,0,0,NaN
202108,-1,3,0,0,0,0,0,0,0,1,0,0,1,0,NaN
