period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,10225,22,19,6,7,6,15,13,13,9,10,7,4,2,NaN
201502,7721,27,10,5,12,6,12,12,14,6,6,3,3,3,NaN
201503,7275,14,11,10,12,10,10,9,9,4,1,4,2,0,NaN
201504,7347,18,21,20,17,8,6,4,5,3,2,3,3,2,NaN
201505,8246,24,30,21,19,23,10,6,2,5,1,1,2,4,NaN
201506,13766,42,42,43,26,13,10,5,4,6,7,5,6,9,NaN
201507,18335,55,64,28,13,10,8,9,8,10,12,10,9,8,NaN
201508,19119,66,44,18,18,14,8,6,1,9,13,9,16,10,NaN
201509,13634,40,30,12,15,5,5,7,7,8,6,8,9,5,NaN
201510,12210,35,28,15,9,8,4,8,7,6,14,5,8,1,NaN
201511,13059,41,25,9,10,6,8,6,7,13,8,8,13,4,NaN
201512,11624,27,23,8,5,6,12,4,6,8,13,8,7,1,NaN
201601,8779,30,22,6,8,10,6,10,11,8,6,3,2,7,NaN
201602,7194,16,12,8,6,6,3,6,7,3,2,6,5,1,NaN
201603,6539,11,9,12,6,9,8,7,6,2,1,1,0,3,NaN
201604,5961,22,20,6,7,6,9,4,4,4,2,4,4,1,NaN
201605,7380,29,18,15,19,7,9,5,4,4,4,3,3,2,NaN
201606,11529,22,39,28,10,12,9,6,1,5,1,6,4,3,NaN
201607,15728,21,40,18,25,14,6,6,9,4,3,8,5,9,NaN
201608,16292,35,29,19,5,3,10,4,5,3,6,9,10,9,NaN
201609,12227,32,35,8,10,7,7,2,6,6,8,9,7,3,NaN
201610,11205,29,34,12,4,4,2,5,8,9,6,8,5,1,NaN
201611,10834,35,13,9,5,2,5,8,6,5,3,4,5,2,NaN
201612,10581,16,18,5,7,4,3,5,4,5,2,5,7,0,NaN
201701,6130,16,9,6,1,5,8,9,7,2,4,6,2,1,NaN
201702,4434,10,6,9,7,8,4,8,2,4,4,1,5,0,NaN
201703,3997,13,11,7,8,6,3,5,3,1,2,3,4,2,NaN
201704,4090,16,18,10,9,4,5,8,5,1,3,1,5,1,NaN
201705,5909,16,21,9,9,8,7,3,2,2,4,4,4,1,NaN
