period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,17456,49,35,10,9,19,24,25,28,19,17,13,13,3,NaN
201502,14041,51,33,15,16,13,25,22,26,9,9,6,9,5,NaN
201503,13827,31,31,20,26,26,18,19,15,15,4,12,9,3,NaN
201504,14342,38,38,35,27,25,13,13,10,3,8,6,8,3,NaN
201505,15281,59,56,42,35,31,14,10,6,10,4,6,6,11,NaN
201506,24601,71,77,62,50,31,24,12,12,12,20,10,12,10,NaN
201507,32941,96,104,60,26,19,22,22,12,19,18,15,16,13,NaN
201508,33738,109,78,43,40,25,23,12,11,19,19,20,34,18,NaN
201509,27455,81,61,31,27,16,11,14,15,18,16,17,20,10,NaN
201510,24812,57,46,32,23,17,12,16,13,17,33,17,17,8,NaN
201511,25257,66,44,21,15,16,12,12,16,28,22,17,25,7,NaN
201512,23092,47,44,20,21,15,21,10,23,15,18,16,18,7,NaN
201601,16767,63,40,12,17,18,14,22,20,20,14,10,9,10,NaN
201602,14481,34,31,19,13,16,18,17,14,7,5,14,8,2,NaN
201603,13541,29,25,21,18,22,15,12,12,8,5,2,3,6,NaN
201604,13689,36,48,21,21,22,18,12,12,9,6,9,5,2,NaN
201605,16823,51,55,39,34,18,16,12,12,6,12,4,7,4,NaN
201606,24309,57,98,63,37,26,13,12,8,9,6,16,13,5,NaN
201607,31506,50,86,59,54,25,23,12,19,13,7,19,12,15,NaN
201608,30102,81,70,52,20,13,23,12,15,12,14,16,20,14,NaN
201609,27317,71,74,22,26,21,13,8,15,12,20,19,24,9,NaN
201610,23871,71,65,24,13,10,12,12,15,23,27,23,21,7,NaN
201611,22019,67,35,17,16,6,18,20,21,13,14,13,17,5,NaN
201612,19866,34,34,16,13,10,8,20,12,16,13,10,12,0,NaN
201701,12027,31,29,14,7,12,14,13,9,3,10,11,3,2,NaN
201702,9282,29,27,11,16,12,11,14,12,7,8,4,11,2,NaN
201703,10053,30,29,17,18,18,13,11,10,2,4,5,7,3,NaN
201704,9816,49,38,18,19,14,11,17,6,7,8,2,6,2,NaN
201705,14083,42,39,22,21,16,17,6,7,4,12,10,9,6,NaN
201706,17903,64,48,38,18,17,6,12,8,3,7,9,8,5,NaN
201707,21787,75,71,52,24,15,11,13,9,12,10,9,14,9,NaN
201708,23884,85,57,29,19,13,19,7,9,10,10,23,9,6,NaN
201709,22063,54,54,20,15,12,9,7,10,8,21,12,11,11,NaN
201710,23017,63,42,27,9,7,8,9,9,8,9,12,18,8,NaN
201711,19124,39,42,18,12,8,11,11,17,9,15,12,11,3,NaN
201712,15200,29,28,22,9,8,19,9,12,9,12,6,10,0,NaN
201801,10876,30,18,14,11,9,5,6,9,8,7,10,3,3,NaN
201802,10703,19,20,12,13,14,11,4,5,6,5,7,5,4,NaN
201803,9782,23,24,14,9,10,13,5,8,9,6,4,4,2,NaN
201804,13194,33,30,26,13,15,11,6,10,7,6,5,4,3,NaN
201805,16143,40,45,32,11,17,13,13,7,8,5,6,3,3,NaN
201806,19044,50,56,46,31,16,11,10,9,13,11,8,10,6,NaN
201807,20278,95,69,38,29,19,8,14,7,7,12,10,9,6,NaN
201808,24382,89,64,46,21,13,13,7,11,7,10,10,19,6,NaN
201809,20018,72,56,29,19,10,10,10,13,16,8,6,17,8,NaN
201810,20816,56,36,25,10,7,8,6,9,7,11,14,12,4,NaN
201811,18776,37,36,12,9,6,14,8,13,8,15,10,7,3,NaN
201812,12886,45,24,13,7,7,7,9,9,6,6,6,10,2,NaN
201901,12224,39,25,12,14,5,10,3,6,9,4,6,4,2,NaN
201902,9189,30,16,9,10,11,16,12,6,8,6,4,4,3,NaN
201903,8123,26,31,12,4,8,16,16,10,3,6,4,5,1,NaN
201904,9174,15,15,25,10,8,12,6,6,10,5,7,2,2,NaN
201905,11322,34,35,23,19,22,17,9,8,11,6,3,9,5,NaN
201906,14322,47,51,33,24,14,19,20,13,8,7,6,15,4,NaN
201907,18111,41,42,23,28,19,15,7,10,3,9,15,6,2,NaN
201908,15465,50,25,23,14,12,10,5,5,1,8,13,18,3,NaN
201909,16076,32,31,16,11,11,5,2,7,6,10,10,8,4,600
201910,15168,35,20,20,13,10,6,4,6,13,6,14,13,9,14185
201911,13092,29,33,17,4,3,4,10,5,13,11,10,7,3,13450
201912,11090,19,22,2,3,2,6,11,11,10,14,11,4,3,10344
202001,9682,25,11,6,3,7,9,11,11,10,5,3,6,3,10936
202002,7218,20,14,6,11,11,8,9,9,9,1,4,8,5,8387
202003,14532,20,19,13,21,7,8,15,10,5,2,4,3,5,9382
202004,8723,21,31,16,11,13,11,14,1,4,4,3,5,4,5132
202005,6185,23,15,19,22,15,10,10,4,4,10,7,8,3,3906
202006,7500,23,26,22,12,10,9,5,6,4,5,7,10,2,3114
202007,3910,36,17,14,7,9,6,3,5,4,3,2,4,3,2765
202008,859,28,20,7,4,2,5,6,3,3,2,1,1,1,1035
202009,738,13,5,2,0,0,1,0,2,2,2,2,0,1,403
202010,114,8,1,3,2,3,2,1,1,1,2,0,2,1,191
202011,215,3,1,0,4,0,2,0,1,3,1,3,0,1,198
202012,60,5,1,0,1,0,1,0,1,0,0,1,1,0,97
202101,55,2,2,0,2,0,1,0,0,0,0,0,0,0,NaN
202102,13,3,3,0,2,0,0,1,1,0,0,1,0,1,NaN
202103,44,4,0,1,2,0,1,0,0,1,0,2,0,0,42
202104,8,4,1,2,1,0,0,0,0,0,0,0,0,0,1
202105,-10,2,1,1,0,1,0,0,0,0,1,0,0,0,NaN
202106,13,2,3,0,1,0,0,0,0,0,0,0,0,1,NaN
202107,-6,2,0,0,0,0,0,0,1,0,1,0,1,0,NaN
202108,-1,5,0,0,0,0,0,0,0,1,0,0,1,0,NaN
202109,4,2,1,1,0,0,0,0,0,1,0,0,0,0,NaN
202110,-2,4,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202111,-2,1,0,1,0,0,0,0,0,0,0,0,1,0,NaN
