period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,14311,211,169,91,79,84,98,74,71,67,53,53,64,26,NaN
201502,13816,238,126,74,76,75,72,62,59,37,65,53,50,33,NaN
201503,18030,158,137,84,79,75,61,66,59,46,52,56,48,21,NaN
201504,18504,155,161,105,81,76,88,71,53,65,65,56,53,22,NaN
201505,23424,184,224,108,82,83,88,88,85,72,77,67,73,59,NaN
201506,28301,261,269,198,117,122,116,120,107,85,123,101,116,71,NaN
201507,27131,233,214,121,109,98,88,104,79,89,106,103,119,71,NaN
201508,26011,224,189,103,96,75,72,70,72,95,82,100,102,61,NaN
201509,23632,253,159,103,97,75,86,81,80,76,84,101,84,43,NaN
201510,23765,177,157,90,70,65,70,70,82,63,78,95,66,33,NaN
201511,21078,198,113,100,76,70,56,81,64,85,85,82,63,26,NaN
201512,18767,147,137,90,74,55,58,65,55,75,65,52,51,29,NaN
201601,18278,155,118,64,50,51,52,62,52,46,59,45,44,20,NaN
201602,19899,149,104,68,49,57,56,59,47,46,33,38,40,16,NaN
201603,20224,134,99,63,59,71,53,45,50,37,48,27,34,16,NaN
201604,23161,141,133,73,48,56,58,39,46,34,31,31,38,26,NaN
201605,26712,177,152,77,84,54,50,52,41,46,52,41,41,23,NaN
201606,32475,174,177,97,56,59,61,55,45,50,46,39,70,21,NaN
201607,28307,187,190,92,65,64,58,49,46,28,56,52,48,39,NaN
201608,25415,204,154,89,66,66,43,36,31,31,48,43,49,21,NaN
201609,30939,189,144,80,48,39,35,41,37,49,33,40,46,15,NaN
201610,25571,125,107,64,55,39,30,39,45,36,44,39,42,18,NaN
201611,24023,161,113,71,58,42,55,31,34,46,35,42,35,22,NaN
201612,21089,157,104,70,47,48,51,42,49,37,33,29,32,21,NaN
201701,19019,113,128,45,50,55,42,38,44,25,31,24,39,11,NaN
201702,16070,161,72,73,46,49,37,36,38,40,28,35,36,10,NaN
201703,20621,103,87,73,50,40,39,34,33,37,25,26,29,16,NaN
201704,19975,131,117,72,62,42,39,37,38,41,27,39,45,20,NaN
201705,27890,173,111,76,52,53,33,39,49,50,33,41,51,26,NaN
201706,28785,217,168,96,56,56,48,35,34,45,37,60,39,25,NaN
201707,26803,176,168,74,61,27,38,47,42,44,49,32,43,24,NaN
201708,26315,190,143,50,47,38,40,22,30,33,37,41,40,19,NaN
201709,26283,241,138,52,63,31,48,29,36,27,34,52,36,14,NaN
201710,27755,182,123,56,47,39,34,38,26,29,43,42,51,28,NaN
201711,26873,175,113,64,57,39,51,39,42,43,31,47,40,11,NaN
201712,19328,135,118,60,37,39,40,37,41,33,37,30,26,17,NaN
201801,23896,110,112,48,53,42,25,33,38,27,30,26,21,13,NaN
201802,22798,178,97,62,48,46,50,29,43,27,29,29,19,19,NaN
201803,22587,122,112,54,49,38,36,39,28,18,29,36,31,14,NaN
201804,21933,148,104,68,51,47,45,46,39,33,32,29,32,16,NaN
201805,29727,137,135,93,59,61,39,36,34,42,26,37,35,18,NaN
201806,27438,163,164,88,62,61,32,38,41,31,29,42,29,23,NaN
201807,27837,208,143,96,57,52,52,50,43,42,45,42,33,15,NaN
201808,30917,169,145,68,39,44,48,31,27,29,35,28,41,21,NaN
201809,28043,186,126,62,40,30,37,25,39,32,38,37,36,18,NaN
201810,28257,145,101,88,50,39,30,40,33,43,45,44,23,19,NaN
201811,28959,126,106,58,45,38,29,39,32,38,27,33,38,10,NaN
201812,17356,111,85,48,34,54,35,31,36,27,40,15,21,8,NaN
201901,25288,130,89,41,46,23,22,35,29,35,29,16,30,7,4605
201902,22633,98,80,59,42,42,26,33,43,16,25,20,26,4,5250
201903,20769,97,86,39,51,32,28,26,35,25,23,22,27,3,4809
201904,21654,92,82,70,58,54,45,26,26,18,20,18,17,13,5378
201905,25961,117,99,43,59,39,31,26,42,29,25,16,29,13,5500
201906,21647,121,104,56,49,28,29,29,36,29,23,22,28,10,4652
201907,22115,137,100,58,45,29,36,27,25,19,16,26,32,13,4793
201908,22969,136,94,51,38,27,21,19,15,17,30,33,38,18,5719
201909,22736,140,89,34,27,29,18,17,29,27,32,34,27,16,5907
201910,20634,106,74,60,32,30,23,24,16,20,31,31,21,9,21245
201911,19607,88,84,50,32,20,16,20,24,32,34,37,18,12,19774
201912,15163,92,66,30,20,28,40,26,35,37,40,27,23,7,17470
