period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,12378,118,82,37,26,38,40,40,34,32,22,18,17,16,NaN
201502,10827,121,93,44,55,32,42,46,46,39,23,21,17,5,NaN
201503,11306,107,78,68,47,45,45,50,28,35,22,26,23,19,NaN
201504,11725,99,93,53,43,61,46,28,30,18,16,24,18,14,NaN
201505,12723,115,77,54,65,42,26,43,23,24,26,25,28,16,NaN
201506,15875,116,110,99,60,39,33,35,29,18,24,24,43,23,NaN
201507,16290,127,132,97,60,56,41,35,44,29,29,40,49,32,NaN
201508,18051,156,124,70,64,37,55,44,35,31,38,41,60,35,NaN
201509,19285,196,124,58,50,33,39,36,38,42,43,53,59,22,NaN
201510,17089,147,120,72,49,43,41,42,56,45,54,51,52,22,NaN
201511,15696,150,90,82,69,48,53,80,49,54,57,47,44,19,NaN
201512,13678,116,114,80,73,46,115,55,73,59,40,52,34,18,NaN
201601,15672,105,136,77,64,141,33,63,51,50,39,36,26,9,NaN
201602,14026,129,108,64,125,31,36,41,56,27,37,30,28,13,NaN
201603,13642,109,106,88,52,44,56,39,30,31,19,17,20,10,NaN
201604,14431,119,113,41,51,50,48,24,37,21,18,18,17,11,NaN
201605,14356,134,71,82,69,57,36,62,35,26,23,19,27,23,NaN
201606,15492,130,114,90,61,54,77,29,20,29,32,31,39,21,NaN
201607,18684,122,137,80,45,66,29,33,26,32,32,37,45,20,NaN
201608,22398,149,129,82,80,31,29,34,28,38,37,47,66,28,NaN
201609,18841,137,116,82,46,43,28,30,27,41,32,54,50,26,NaN
201610,19385,133,116,69,37,45,30,32,30,30,67,39,53,17,NaN
201611,16420,128,96,52,45,28,30,41,29,36,39,50,40,13,NaN
201612,14625,88,71,56,47,35,32,31,52,36,45,33,24,16,NaN
201701,13530,82,83,39,27,37,39,28,35,33,28,23,26,12,NaN
201702,10724,111,72,50,43,26,45,32,34,34,27,15,18,17,NaN
201703,12990,72,76,43,32,38,39,29,48,17,21,25,20,9,NaN
201704,12191,89,95,44,47,44,49,35,11,21,25,20,24,17,NaN
