period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,12385,118,82,38,26,38,40,40,34,32,22,18,17,16,NaN
201502,10833,123,94,44,56,32,42,46,46,39,23,21,17,5,NaN
201503,11326,108,78,68,47,45,45,51,28,36,22,26,23,19,NaN
201504,11771,100,93,53,43,61,46,28,30,19,16,24,18,14,NaN
201505,12772,115,78,55,65,42,26,43,23,24,26,25,28,16,NaN
201506,15984,119,112,99,60,40,33,35,29,18,24,24,43,23,NaN
201507,16354,127,132,97,60,56,41,35,45,29,29,41,49,32,NaN
201508,18135,158,126,71,64,37,55,44,35,31,38,41,60,36,NaN
201509,19405,197,124,59,50,33,39,36,38,42,43,53,59,22,NaN
201510,17176,150,120,72,49,43,42,42,57,45,55,52,52,22,NaN
201511,15761,151,90,82,69,48,53,80,50,55,57,47,45,19,NaN
201512,13705,117,115,81,74,46,116,55,73,59,40,52,34,19,NaN
201601,15702,105,136,78,64,142,33,64,51,50,39,36,26,9,NaN
201602,14058,131,109,64,125,31,36,41,57,27,37,30,28,13,NaN
201603,13672,109,106,88,52,44,56,39,31,31,19,17,20,10,NaN
201604,14458,120,113,41,51,52,48,24,37,23,18,18,17,11,NaN
201605,14411,135,73,83,71,57,36,62,37,26,23,19,28,23,NaN
201606,15560,132,115,90,63,54,77,30,20,29,32,32,39,21,NaN
201607,18774,124,137,80,45,68,30,33,26,32,32,36,45,20,NaN
201608,22513,154,131,83,80,31,29,34,28,38,37,47,66,29,NaN
201609,18906,138,116,82,46,43,28,30,27,41,32,54,51,26,NaN
201610,19461,133,116,69,37,45,31,32,30,31,67,39,53,17,NaN
201611,16508,129,96,52,45,28,30,41,29,36,39,50,40,13,NaN
201612,14657,88,73,57,47,35,32,31,52,36,45,34,25,16,NaN
201701,13568,82,83,39,28,37,39,28,35,33,28,23,26,12,NaN
201702,10745,111,73,50,44,26,45,33,34,34,27,15,18,17,NaN
201703,13044,73,77,45,32,39,39,29,50,17,21,25,20,10,NaN
201704,12238,90,96,45,47,44,49,35,13,22,25,20,24,17,NaN
201705,15702,103,97,81,57,63,36,39,19,31,28,15,35,21,NaN
201706,16462,126,116,91,59,42,46,29,29,24,25,34,40,38,NaN
201707,14091,151,146,132,90,38,36,32,36,30,37,43,57,42,NaN
201708,17752,185,142,91,50,38,24,27,25,29,47,44,49,21,NaN
201709,16377,199,145,61,65,43,29,21,31,21,36,56,43,22,NaN
201710,16826,163,128,63,41,32,34,29,48,29,57,45,40,17,NaN
201711,15760,144,95,74,40,39,33,37,32,45,41,36,36,10,NaN
201712,14267,117,108,61,51,33,36,49,43,54,39,34,28,15,NaN
201801,15109,128,95,59,43,36,37,37,52,35,26,17,21,5,NaN
201802,12054,113,87,57,37,35,39,32,29,27,22,27,29,8,NaN
201803,12132,99,78,55,53,37,49,33,34,19,18,23,17,11,NaN
201804,11962,101,84,63,49,27,37,26,22,14,24,23,11,15,NaN
201805,13905,94,118,72,53,62,50,26,21,21,23,16,27,21,NaN
201806,15555,119,127,83,50,37,29,25,26,24,14,25,20,20,NaN
201807,16279,153,147,91,52,40,36,29,24,22,29,25,65,16,NaN
201808,17930,160,112,84,33,27,30,25,19,19,29,41,44,16,NaN
201809,15572,163,101,53,40,26,26,19,35,35,36,44,47,23,NaN
201810,16925,141,101,43,87,31,27,44,27,28,47,45,42,12,NaN
201811,18199,112,70,42,29,19,25,26,18,32,34,41,30,19,NaN
201812,12779,106,79,34,19,23,24,29,27,29,29,22,30,14,NaN
201901,13672,84,52,32,31,17,27,28,29,39,16,17,19,8,299
201902,12255,70,66,28,25,26,19,30,35,16,15,20,21,7,1591
201903,12761,74,78,24,26,33,31,34,21,30,10,11,22,5,1990
201904,12723,68,56,42,46,50,34,25,19,16,23,11,22,8,1681
201905,13404,92,69,42,38,37,36,23,19,13,13,21,19,13,1536
201906,12199,73,76,65,39,34,24,24,19,14,19,15,26,18,1129
201907,12218,102,100,51,43,20,13,17,14,16,17,23,32,22,849
201908,13049,101,87,54,26,27,29,21,12,17,27,27,31,28,1508
201909,12413,97,83,41,45,34,36,16,24,28,27,37,35,15,1285
201910,12363,93,72,44,30,22,17,16,16,31,26,23,31,12,13247
201911,11727,74,64,39,35,15,18,25,36,35,36,36,29,10,11897
201912,9136,74,59,31,28,24,18,27,28,39,28,28,18,6,9279
202001,11531,72,56,30,16,31,21,17,25,32,20,26,18,9,10959
202002,9434,62,31,32,22,20,25,29,21,17,23,15,20,11,9633
202003,13072,77,52,32,31,25,21,22,18,15,16,13,13,6,11055
202004,10180,49,68,28,33,36,30,24,24,16,17,17,20,8,8052
202005,10342,49,76,28,50,24,21,23,11,18,19,19,18,16,11885
202006,13815,66,68,62,28,24,10,15,23,10,14,11,29,19,12591
202007,12958,89,80,46,29,28,23,23,16,9,14,18,28,12,14372
202008,14424,110,85,47,28,26,21,22,18,15,20,20,30,10,13730
202009,15717,101,93,43,25,35,25,18,15,16,10,21,16,8,14074
202010,13006,97,66,46,36,29,22,15,15,14,21,24,19,9,12171
202011,14190,95,53,31,25,28,24,27,16,19,15,9,15,3,15494
202012,10610,64,51,31,26,24,19,20,17,28,16,14,9,3,9814
202101,9491,48,54,31,11,21,9,14,18,9,7,8,5,0,9048
202102,9165,65,46,26,16,15,9,17,13,15,9,5,9,7,7693
202103,10382,41,44,27,14,17,25,17,16,10,6,9,8,3,9854
202104,8492,62,42,21,17,11,12,7,4,2,3,5,5,4,7875
202105,9784,50,28,19,20,21,16,19,10,10,14,3,7,5,8853
202106,11804,46,31,23,14,14,8,10,5,9,13,8,4,3,10207
202107,11199,49,54,24,18,11,10,9,8,5,6,9,3,4,8123
202108,9893,78,45,32,17,7,8,9,9,8,13,14,13,7,7587
202109,12279,81,50,21,14,10,18,7,8,7,10,10,12,5,9282
202110,12727,54,31,16,16,9,4,7,6,5,6,11,5,4,8989
202111,13619,58,33,19,19,11,17,15,8,9,10,10,19,3,9815
