period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,12969,121,86,30,33,26,33,27,31,35,22,22,22,13,NaN
201502,13594,163,107,45,40,51,39,41,32,30,27,21,20,15,NaN
201503,14970,132,90,42,52,30,44,33,24,33,20,24,24,15,NaN
201504,14319,129,90,63,42,47,40,21,32,20,21,17,30,14,NaN
201505,16795,133,86,65,39,53,39,29,34,32,25,28,34,15,NaN
201506,22148,134,124,87,83,54,41,37,36,40,35,24,32,25,NaN
201507,23855,175,157,81,50,41,28,45,51,36,31,56,50,27,NaN
201508,21565,199,176,94,65,55,71,45,38,50,51,43,59,36,NaN
201509,20540,225,174,110,92,63,69,53,51,65,50,54,79,31,NaN
201510,18832,184,146,98,98,74,80,57,71,63,71,66,70,24,NaN
201511,16557,230,151,125,119,90,78,97,72,78,96,78,65,32,NaN
201512,15150,158,167,125,96,94,105,87,89,90,82,54,48,22,NaN
201601,18576,187,162,109,104,117,83,109,77,67,55,57,41,17,NaN
201602,16611,195,131,88,90,76,76,88,57,48,37,39,40,19,NaN
201603,16453,201,162,91,62,65,94,66,35,45,45,48,42,14,NaN
201604,18977,160,147,78,77,72,51,50,45,42,36,39,39,19,NaN
201605,18846,182,137,114,106,80,43,60,52,26,32,21,42,17,NaN
201606,21511,186,165,114,70,55,55,47,26,39,38,37,51,17,NaN
201607,25311,212,174,81,71,65,44,41,50,32,31,47,32,26,NaN
201608,26822,217,151,81,85,61,41,33,28,30,42,44,49,30,NaN
201609,25713,177,123,73,45,45,50,38,42,42,42,48,52,25,NaN
201610,21458,173,105,64,47,47,31,38,42,35,41,44,48,16,NaN
201611,20171,201,101,50,46,25,41,24,34,60,47,43,46,19,NaN
201612,19126,145,86,69,47,40,51,29,46,37,44,33,28,12,NaN
201701,18316,137,109,38,37,32,21,36,32,34,29,29,27,10,NaN
201702,13551,148,68,55,51,26,43,34,33,26,27,22,21,20,NaN
201703,18117,102,104,57,34,43,46,30,37,26,30,24,27,10,NaN
201704,16094,123,102,69,49,44,39,31,28,31,42,21,30,16,NaN
201705,21870,164,128,86,65,58,40,31,45,31,28,22,34,23,NaN
201706,26031,157,134,83,63,56,42,36,31,34,23,35,30,34,NaN
201707,23729,234,146,111,53,48,53,42,31,46,34,36,57,28,NaN
201708,25981,204,132,70,56,63,48,35,40,32,28,44,40,23,NaN
201709,20530,181,139,63,47,56,32,38,29,36,48,53,42,23,NaN
201710,20879,156,122,70,64,47,39,47,43,40,36,38,51,17,NaN
201711,20653,146,122,62,39,42,48,33,51,55,29,40,39,9,NaN
201712,18397,107,105,54,46,36,41,37,53,40,46,27,25,16,NaN
201801,17832,142,90,60,31,41,38,36,50,36,29,28,25,9,NaN
201802,15323,113,88,62,50,46,40,42,42,25,26,17,20,9,NaN
201803,16650,97,87,47,50,69,41,39,39,31,26,28,22,17,NaN
201804,18989,136,92,53,66,48,56,30,22,26,20,24,12,15,NaN
201805,23677,127,121,91,64,52,44,30,36,27,25,18,28,18,NaN
201806,25173,185,160,81,58,59,23,23,21,36,21,29,34,19,NaN
201807,26484,223,130,90,52,29,29,28,30,32,34,29,33,20,NaN
201808,27886,214,128,61,43,35,23,25,22,22,28,31,41,20,NaN
201809,22984,176,100,63,42,24,23,24,17,24,24,42,35,14,NaN
201810,24367,132,94,53,83,23,14,40,23,24,30,28,25,15,NaN
201811,22148,106,102,47,41,20,30,23,23,42,36,36,38,16,NaN
201812,17384,132,68,44,30,27,36,38,23,38,30,24,14,14,NaN
201901,19826,106,76,39,35,19,24,31,26,26,22,22,25,10,NaN
201902,15599,89,62,34,28,36,41,23,25,30,16,15,24,4,NaN
201903,17373,83,72,26,29,40,31,23,28,17,13,15,20,4,NaN
201904,17698,93,82,58,33,42,36,24,16,20,23,18,9,8,NaN
201905,21296,114,95,79,50,47,28,23,28,16,17,20,14,14,NaN
201906,21159,145,137,88,44,31,26,19,22,16,13,12,23,19,NaN
201907,24503,189,142,78,47,27,35,23,24,35,19,14,29,20,NaN
201908,21657,185,130,70,32,39,37,33,35,25,24,38,33,19,NaN
201909,20311,148,117,43,44,34,26,22,27,20,23,28,36,13,2
201910,16865,124,97,53,39,29,15,24,26,41,39,36,32,20,19534
201911,15897,85,90,58,41,27,32,29,35,37,47,31,28,9,16966
201912,12537,103,63,47,29,30,27,27,34,39,35,24,23,7,13313
202001,15417,99,80,31,26,24,32,38,37,35,22,24,13,7,14647
202002,12428,94,51,29,30,26,36,32,19,29,23,15,14,5,15542
202003,14078,71,51,30,29,35,35,29,12,17,13,14,26,6,13867
202004,12930,75,71,32,29,38,24,30,10,9,20,27,24,14,10591
202005,12029,95,95,43,44,36,24,24,18,23,15,24,15,11,15351
202006,18685,121,70,64,40,18,30,13,13,15,20,20,17,10,18135
202007,18045,117,85,48,32,20,22,14,16,10,12,20,31,10,19548
202008,20669,98,75,49,31,18,20,16,13,19,14,23,30,6,20385
202009,21157,104,53,34,22,23,20,16,11,18,17,16,15,7,19366
202010,16525,80,68,23,18,25,14,21,25,15,23,16,18,5,16606
202011,15145,91,50,32,26,13,9,12,13,6,23,17,19,1,15140
202012,13596,58,47,43,23,17,16,25,11,19,14,10,9,4,12440
202101,14541,53,43,28,24,20,14,13,9,11,10,4,6,5,13521
202102,13184,70,34,26,16,31,12,21,5,8,6,9,10,5,10916
202103,15010,61,32,20,23,15,19,19,6,10,6,4,7,2,12593
202104,12708,59,47,27,14,19,15,4,16,4,6,7,6,7,11142
202105,14178,53,33,17,17,12,16,10,7,10,3,9,6,5,12276
202106,18116,61,42,34,16,9,11,9,7,10,5,7,14,3,14014
202107,17064,72,51,22,23,5,17,8,7,12,7,7,9,6,11651
202108,16513,68,41,27,14,8,8,11,10,5,13,12,8,5,12224
202109,17591,73,37,19,10,14,16,6,14,9,12,7,10,5,13713
202110,16713,58,37,20,21,20,18,12,15,10,8,14,15,5,12302
202111,16484,44,33,16,21,18,13,11,8,11,20,12,14,2,13765
202112,11781,50,22,19,8,19,6,10,15,10,16,7,3,4,9189
202201,14115,40,47,9,11,11,9,13,12,8,8,8,3,2,11225
202202,12092,47,35,11,12,11,8,12,10,9,7,6,2,4,10859
202203,14586,58,25,15,10,19,9,10,16,7,6,7,4,3,12045
202204,9240,41,34,11,12,9,11,6,8,11,7,7,5,6,8207
202205,10779,38,28,15,18,11,16,12,9,4,4,3,6,5,9355
202206,12826,33,30,11,14,11,9,5,6,7,10,4,9,6,8787
202207,13143,51,39,16,18,6,14,8,10,7,18,15,6,0,9890
202208,12926,44,29,15,10,12,9,11,5,7,23,9,7,4,8631
202209,11583,48,30,18,8,9,6,3,10,6,6,10,10,4,8204
202210,11992,41,29,21,12,10,4,7,7,7,10,10,6,0,11287
202211,10030,41,22,15,12,8,3,4,7,9,7,10,0,0,8956
202212,8601,30,15,16,9,6,16,7,14,8,9,0,0,0,6563
202301,8915,20,24,13,5,11,5,4,14,0,0,0,0,0,7448
202302,7905,26,9,8,10,6,5,7,8,0,0,0,0,0,6722
202303,6491,4,18,6,10,6,7,9,0,0,0,0,0,0,4845
202304,6519,19,12,7,10,11,8,0,0,0,0,0,0,0,5408
202305,7667,35,16,10,6,11,0,0,0,0,0,0,0,0,7049
202306,7053,23,15,16,9,0,0,0,0,0,0,0,0,0,5333
202307,5812,19,36,14,0,0,0,0,0,0,0,0,0,0,5076
202308,8352,27,26,0,0,0,0,0,0,0,0,0,0,0,6650
202309,7841,24,0,0,0,0,0,0,0,0,0,0,0,0,6817
202310,5235,0,0,0,0,0,0,0,0,0,0,0,0,0,5840
202311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4636
202312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3942
202401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3622
202402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3406
202403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3537
202404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1501
202405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1548
202406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1571
202407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1426
202408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1607
202409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,632
202410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,620
202411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,553
202412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,498
202501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,492
202502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,503
202503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,420
202504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,503
