period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,618,5,7,4,2,2,7,4,5,2,3,2,0,0,NaN
201502,1136,9,7,5,4,4,7,9,4,1,3,0,4,3,NaN
201503,816,5,7,1,1,10,4,2,2,2,1,3,2,3,NaN
201504,1219,8,7,9,8,3,1,2,3,3,0,0,2,0,NaN
201505,1992,6,18,15,8,4,2,3,6,1,0,1,2,4,NaN
201506,3155,20,26,16,12,5,6,0,2,1,5,2,3,3,NaN
201507,2736,14,25,8,5,4,1,6,1,3,3,2,1,3,NaN
201508,1765,11,12,8,6,0,3,1,5,0,1,1,5,4,NaN
201509,1384,7,9,6,1,6,4,7,4,4,6,4,6,0,NaN
201510,1388,6,9,2,3,1,4,1,2,5,6,3,2,2,NaN
201511,1391,1,2,8,6,5,3,1,5,7,5,3,5,1,NaN
201512,885,2,4,0,3,2,5,2,7,5,1,2,1,2,NaN
201601,847,4,5,3,2,1,5,4,3,5,4,3,1,1,NaN
201602,1074,11,2,4,3,2,5,3,2,3,2,0,1,1,NaN
201603,1309,3,3,4,2,4,4,7,1,2,0,2,2,0,NaN
201604,1227,8,7,2,9,10,3,1,1,1,0,3,1,0,NaN
201605,2409,11,11,18,7,5,3,4,3,2,2,3,1,2,NaN
201606,2450,8,19,14,4,2,3,1,1,0,1,2,3,1,NaN
201607,2633,21,24,9,6,5,1,3,3,2,4,4,3,4,NaN
201608,1865,17,12,2,3,0,1,1,2,2,1,4,5,2,NaN
201609,1101,12,7,2,3,4,3,4,4,2,8,3,2,1,NaN
201610,1111,6,5,6,2,3,4,3,1,3,0,3,1,2,NaN
201611,1278,6,3,5,2,1,3,3,1,2,4,0,1,0,NaN
201612,647,3,6,2,0,2,0,3,1,3,3,5,2,0,NaN
201701,586,4,3,2,2,1,1,1,0,0,2,1,3,0,NaN
201702,834,5,3,2,1,3,0,3,1,1,2,1,0,0,NaN
201703,879,4,2,3,3,2,2,3,2,1,2,0,0,0,NaN
201704,1227,8,4,4,6,4,2,3,1,0,2,2,4,1,NaN
201705,1538,3,12,7,3,1,0,1,2,4,4,2,1,0,NaN
201706,2330,11,15,7,3,7,1,4,2,1,2,4,1,2,NaN
201707,1829,11,13,6,3,3,7,4,4,1,2,1,2,3,NaN
201708,2495,5,6,1,3,2,3,2,2,7,3,1,1,1,NaN
201709,1450,2,2,7,5,2,1,1,3,4,1,4,3,1,NaN
201710,1320,4,2,1,0,1,0,5,0,2,1,1,3,0,NaN
201711,979,2,2,1,0,3,1,0,2,3,2,0,3,1,NaN
201712,680,4,2,1,1,1,2,2,1,3,0,0,4,0,NaN
201801,760,1,3,2,2,0,0,5,2,0,1,2,1,0,NaN
201802,637,6,3,1,2,4,1,2,0,3,0,1,1,0,NaN
201803,806,1,3,0,2,3,3,2,2,0,1,0,2,2,NaN
201804,1354,3,2,6,6,2,2,2,1,3,0,3,1,2,NaN
201805,1429,3,5,5,5,2,2,1,1,2,4,0,1,3,NaN
201806,2194,3,7,4,0,1,1,1,3,1,1,3,1,0,NaN
201807,1905,9,9,1,2,1,2,1,1,1,1,1,4,1,NaN
201808,1804,7,5,5,0,1,0,3,3,1,2,2,2,1,NaN
201809,1322,7,6,2,0,1,2,1,0,2,0,2,0,2,NaN
201810,1100,2,2,2,2,1,1,0,0,3,1,0,3,1,NaN
201811,805,4,2,0,2,0,0,0,1,4,1,1,1,0,NaN
201812,647,3,2,5,0,3,1,3,4,2,0,2,1,1,NaN
201901,811,2,2,0,2,1,1,2,3,3,0,2,3,0,NaN
201902,606,0,3,2,3,4,3,3,0,1,0,0,3,0,NaN
201903,847,2,2,5,4,4,2,1,2,0,1,1,3,0,NaN
201904,781,0,4,8,1,1,2,2,0,1,1,0,0,0,NaN
201905,1155,1,2,3,3,3,4,0,2,1,0,0,0,0,NaN
201906,1386,1,10,4,4,2,2,0,0,1,1,0,0,0,NaN
201907,1530,5,2,3,1,1,2,0,0,0,0,7,2,1,NaN
201908,1320,4,5,1,2,1,0,1,4,0,0,2,0,0,NaN
201909,969,8,1,1,2,1,0,0,1,1,1,0,2,0,NaN
201910,769,1,0,1,2,1,0,1,0,6,2,0,0,0,1001
201911,574,1,0,0,3,0,0,1,1,3,1,1,0,3,943
201912,527,1,1,0,0,0,1,6,0,2,0,0,0,0,494
202001,622,3,3,0,0,2,0,1,1,0,0,1,0,0,654
202002,586,1,0,0,2,3,2,1,0,1,1,1,1,0,676
202003,565,2,2,2,2,1,1,1,1,2,0,2,1,1,743
202004,642,1,3,2,3,3,0,1,1,0,0,1,1,0,609
202005,816,1,5,4,4,0,2,1,0,0,2,2,0,0,672
202006,1372,5,5,5,3,0,0,0,1,1,1,0,2,0,845
202007,1405,4,7,4,0,0,0,1,0,0,1,0,0,0,1186
202008,554,2,5,2,0,0,1,1,1,0,0,0,1,0,698
202009,99,2,0,0,0,0,0,1,0,1,0,1,0,0,38
202010,27,3,0,0,0,0,0,2,0,0,1,0,0,0,84
202011,73,1,0,0,0,0,0,0,1,0,0,0,0,0,1
202012,2,3,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202101,-4,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202102,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202103,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN
202104,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202105,-2,0,0,0,1,0,1,0,1,0,0,0,0,0,NaN
202106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
202107,-2,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN
202108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202109,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202212,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202306,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
