period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,7104,27,37,12,13,10,15,12,16,5,8,8,6,5,NaN
201502,7286,43,22,11,13,12,13,16,7,7,7,4,8,6,NaN
201503,8359,24,26,16,7,11,21,13,5,5,3,7,7,3,NaN
201504,9636,42,29,13,12,17,12,12,7,10,7,5,8,0,NaN
201505,11747,34,45,18,13,12,11,10,8,5,11,4,3,5,NaN
201506,16635,63,40,48,29,14,8,5,13,3,12,8,12,7,NaN
201507,15822,50,55,20,25,15,16,12,11,9,10,11,19,7,NaN
201508,15143,56,44,18,17,15,6,12,13,8,14,16,12,5,NaN
201509,10855,50,28,16,16,14,9,13,4,13,10,12,22,5,NaN
201510,9648,32,22,12,11,1,13,6,10,14,14,17,14,4,NaN
201511,9873,32,26,6,8,9,10,15,9,12,9,11,9,3,NaN
201512,8827,21,23,9,8,11,14,17,9,13,6,7,7,4,NaN
201601,8638,19,19,13,9,10,17,19,14,8,7,8,6,2,NaN
201602,8182,26,18,13,12,14,11,11,6,8,9,8,4,4,NaN
201603,11220,19,18,17,14,25,17,9,11,7,8,2,7,2,NaN
201604,11870,34,30,27,29,27,6,8,8,3,5,8,9,7,NaN
201605,13692,41,47,41,28,21,18,6,12,10,12,6,7,3,NaN
201606,16815,54,71,49,29,25,18,7,14,10,3,13,17,14,NaN
201607,20002,70,69,46,25,23,13,17,17,7,17,21,16,9,NaN
201608,15143,67,58,35,24,17,6,9,7,7,12,17,15,12,NaN
201609,12580,43,35,12,13,14,6,13,13,13,17,6,18,7,NaN
201610,10131,28,27,19,6,3,8,9,10,12,14,14,9,6,NaN
201611,8915,33,27,12,9,6,12,14,15,12,11,7,12,7,NaN
201612,9216,30,26,19,6,10,11,14,12,5,4,11,4,2,NaN
201701,8670,31,23,11,17,8,16,13,9,9,15,6,6,1,NaN
201702,7568,21,22,11,12,21,17,7,13,8,7,5,6,1,NaN
201703,10874,47,32,19,11,13,14,13,6,9,8,3,10,4,NaN
201704,10729,36,37,23,19,15,8,5,5,11,4,7,9,6,NaN
201705,14776,40,56,20,25,11,11,9,13,7,9,7,16,9,NaN
201706,16382,64,60,34,27,13,7,18,10,10,12,15,16,6,NaN
201707,20653,73,63,28,12,19,20,10,12,8,15,16,18,9,NaN
201708,14263,71,43,21,11,10,16,11,10,8,13,17,15,6,NaN
201709,12311,51,40,16,17,8,11,13,13,8,13,15,16,6,NaN
201710,10132,43,32,27,10,7,10,9,11,15,20,6,12,3,NaN
201711,11414,25,34,20,11,7,12,12,15,15,15,12,10,6,NaN
201712,7892,28,35,12,9,19,15,16,17,18,13,12,10,6,NaN
