period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,7722,32,46,17,16,13,22,18,21,7,11,10,6,5,NaN
201502,8423,54,30,17,17,17,20,25,11,8,10,4,12,9,NaN
201503,9176,31,33,18,8,22,26,15,7,7,4,10,9,6,NaN
201504,10862,50,41,24,22,20,15,14,10,13,7,5,10,0,NaN
201505,13742,43,63,34,21,16,13,13,15,7,11,5,5,9,NaN
201506,19792,86,67,64,42,19,15,5,15,6,17,11,15,10,NaN
201507,18559,66,81,29,30,19,18,18,12,12,13,13,20,10,NaN
201508,16910,70,58,26,23,15,10,13,18,8,15,17,18,9,NaN
201509,12238,57,38,23,17,22,13,20,8,17,17,17,28,5,NaN
201510,11036,39,31,15,15,2,17,7,12,19,20,21,16,6,NaN
201511,11264,34,28,14,14,14,13,17,14,19,14,14,14,4,NaN
201512,9712,23,28,9,11,13,19,19,16,18,7,9,8,6,NaN
201601,9485,23,24,16,11,11,23,24,17,13,11,11,7,3,NaN
201602,9255,39,20,17,15,17,16,14,8,11,11,8,5,5,NaN
201603,12529,23,22,22,16,29,22,16,12,10,8,4,10,2,NaN
201604,13097,44,38,29,38,37,9,9,9,4,5,11,10,7,NaN
201605,16101,54,58,59,35,26,21,10,15,12,14,9,8,5,NaN
201606,19267,63,91,63,33,27,21,8,15,10,4,15,20,15,NaN
201607,22635,91,94,55,31,28,14,20,21,9,21,25,19,14,NaN
201608,17008,84,71,37,27,17,7,10,9,9,13,21,20,14,NaN
201609,13681,55,42,14,17,18,9,17,17,15,25,9,20,8,NaN
201610,11242,34,32,25,8,6,12,12,11,15,14,17,10,8,NaN
201611,10193,39,30,17,11,7,15,17,16,14,15,7,13,7,NaN
201612,9864,33,32,21,6,12,11,17,13,8,7,16,6,2,NaN
201701,9258,35,26,13,19,9,17,14,9,9,17,7,9,1,NaN
201702,8402,26,25,14,13,24,17,10,14,9,9,6,6,1,NaN
201703,11753,51,34,22,14,16,16,16,8,10,10,3,10,4,NaN
201704,11956,44,41,27,25,19,10,9,6,11,6,9,13,7,NaN
201705,16315,44,68,28,28,12,12,10,15,11,13,9,17,9,NaN
201706,18712,76,75,41,30,20,8,22,12,11,14,19,18,8,NaN
201707,22482,84,76,34,15,22,27,14,16,9,17,17,20,12,NaN
201708,16758,76,49,22,14,12,19,13,13,15,16,18,16,7,NaN
201709,13761,55,43,23,22,10,12,16,17,12,14,19,19,7,NaN
201710,11452,47,35,28,10,9,10,14,11,17,21,8,15,3,NaN
201711,12393,27,36,21,11,10,13,12,17,18,17,12,13,7,NaN
201712,8572,32,37,13,10,20,17,18,18,21,13,12,14,6,NaN
201801,10957,35,30,12,12,18,21,21,13,9,10,7,11,2,NaN
201802,8184,38,35,18,16,23,17,16,9,20,11,10,12,4,NaN
201803,10557,46,40,30,21,22,14,19,19,6,11,13,13,4,NaN
201804,13737,46,63,31,36,28,19,11,10,14,14,10,10,6,NaN
201805,15347,54,54,29,29,17,16,13,16,16,13,14,16,6,NaN
201806,20296,70,68,39,23,18,15,15,22,9,10,14,15,11,NaN
201807,20103,93,61,28,23,11,18,17,17,12,12,11,20,7,NaN
201808,18304,74,54,25,12,16,12,10,13,11,22,16,17,5,NaN
201809,12431,48,39,16,9,13,12,11,9,13,13,13,15,12,NaN
