period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,160428,1053,897,500,399,446,447,372,416,339,286,259,263,154,NaN
201502,161124,1197,917,507,494,446,413,442,370,293,294,274,269,156,NaN
201503,178061,1008,868,584,519,458,459,451,320,301,255,291,271,139,NaN
201504,185462,1038,967,687,522,548,459,358,338,284,270,267,278,125,NaN
201505,197407,1203,1207,700,616,554,452,403,364,347,333,311,329,227,NaN
201506,253553,1500,1389,1082,753,601,490,457,417,385,404,351,456,290,NaN
201507,258467,1448,1425,836,601,485,436,466,388,374,367,450,522,285,NaN
201508,235805,1504,1330,785,589,431,465,409,344,389,454,490,513,315,NaN
201509,235123,1522,1228,711,560,480,477,416,397,478,471,541,585,244,NaN
201510,226952,1183,1087,688,554,449,464,393,502,464,539,549,461,205,NaN
201511,214529,1280,989,751,598,519,438,567,485,540,588,440,419,162,NaN
201512,170608,963,1025,687,562,472,591,488,538,517,418,381,334,185,NaN
201601,177271,1000,955,579,500,606,491,529,481,379,362,323,299,122,NaN
201602,181903,1111,905,583,614,480,500,504,412,315,284,285,251,135,NaN
201603,188997,1076,922,684,541,554,530,431,352,291,288,262,274,120,NaN
201604,198779,1123,1103,663,600,577,445,374,325,264,220,264,234,165,NaN
201605,212434,1252,1133,841,747,558,453,425,341,288,297,235,295,165,NaN
201606,245171,1362,1369,951,623,523,467,362,285,317,253,319,403,178,NaN
201607,254731,1405,1442,794,607,483,364,334,322,225,302,392,386,210,NaN
201608,241755,1532,1305,756,553,400,309,316,233,265,348,402,431,216,NaN
201609,252612,1269,1173,639,418,374,331,302,328,350,360,385,410,182,NaN
201610,224232,1190,1038,585,409,401,293,347,374,362,409,378,393,179,NaN
201611,218094,1206,913,534,477,319,375,375,347,375,371,350,356,140,NaN
201612,175724,859,819,597,379,350,399,363,366,296,329,289,218,126,NaN
201701,169107,861,921,417,405,380,337,360,307,269,283,207,248,104,NaN
201702,156332,1082,707,561,483,393,381,325,352,302,245,222,236,114,NaN
201703,194572,851,930,600,484,435,420,349,351,215,232,220,225,115,NaN
201704,171094,1059,1083,691,561,527,441,378,258,283,242,235,270,148,NaN
201705,223191,1250,1182,772,600,538,415,321,335,289,258,274,343,201,NaN
201706,239887,1393,1251,852,658,495,383,349,313,270,273,337,381,237,NaN
201707,228594,1452,1303,850,588,397,365,323,289,320,319,356,448,222,NaN
201708,219271,1384,1169,697,469,410,359,247,272,309,346,407,377,183,NaN
201709,223009,1379,1151,554,500,366,335,294,323,341,380,433,382,195,NaN
201710,221593,1212,995,617,447,368,331,364,404,373,415,412,398,177,NaN
201711,218133,1020,972,601,397,354,390,386,370,381,325,374,329,109,NaN
201712,158218,905,816,507,388,316,404,375,379,335,350,277,235,134,NaN
201801,172558,893,773,459,363,419,337,345,358,321,243,212,230,87,NaN
201802,162798,950,786,552,440,430,410,326,364,281,213,219,193,113,NaN
201803,179055,839,791,562,456,407,378,372,330,194,196,222,208,90,NaN
201804,179193,909,863,607,517,424,387,309,231,228,198,212,180,118,NaN
201805,216338,959,1025,693,540,506,364,272,272,254,206,211,266,147,NaN
201806,240976,1151,1167,752,543,400,283,283,273,277,221,245,264,195,NaN
201807,227943,1370,1104,704,473,320,316,303,253,208,256,257,366,166,NaN
201808,237674,1315,1063,611,329,303,266,240,202,221,267,309,331,154,NaN
201809,209602,1272,920,485,369,285,279,209,280,256,275,332,327,175,NaN
