period,qty_sold,pred_qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,173665,0,905,796,412,362,395,400,343,368,308,265,237,244,148
201502,175455,0,1063,787,438,430,377,394,416,301,261,257,249,240,153
201503,195184,0,849,743,506,481,411,399,394,282,248,224,245,240,139
201504,202593,0,944,829,619,493,463,389,320,277,238,239,233,245,126
201505,215064,0,1084,1134,648,546,471,391,364,320,290,275,269,264,205
201506,281905,0,1447,1278,985,684,561,446,419,379,342,381,329,443,279
201507,282028,0,1383,1311,748,557,449,402,436,312,330,330,412,460,272
201508,258059,0,1351,1174,714,514,379,368,338,302,313,390,421,452,268
201509,254125,0,1309,1014,590,443,405,380,339,320,380,400,451,477,202
201510,245474,0,1017,898,572,453,358,349,288,381,357,419,430,336,163
201511,232956,0,981,771,575,423,385,351,449,378,414,448,345,332,131
201512,184519,0,774,806,523,509,399,432,451,467,589,405,300,316,204
201601,192703,0,821,679,413,341,373,379,381,325,292,292,222,245,101
201602,196586,0,805,689,422,375,389,385,371,305,250,182,213,191,101
201603,200669,0,823,656,507,404,418,363,327,270,200,222,192,216,101
201604,210157,0,889,823,543,487,439,361,292,233,205,159,196,170,125
201605,230129,0,1063,972,672,591,425,338,304,259,208,221,178,237,144
201606,260723,0,1262,1116,758,538,426,329,256,229,255,207,265,323,167
201607,273082,0,1207,1112,653,472,378,273,257,218,179,226,292,322,165
201608,259030,0,1334,1024,580,405,293,261,258,188,208,277,352,342,188
201609,266167,0,1055,903,483,303,309,255,223,256,269,274,286,328,146
201610,237367,0,960,766,419,287,306,240,286,294,265,289,276,306,139
201611,230406,0,899,669,407,359,252,289,273,259,280,276,264,269,125
201612,186203,0,686,645,459,297,304,313,324,301,235,261,262,163,126
201701,178734,0,689,672,273,291,271,280,298,218,206,200,161,193,102
201702,164407,0,842,484,347,353,308,293,238,258,206,166,157,165,86
201703,204495,0,619,676,406,362,324,300,271,250,151,165,164,170,86
201704,182236,0,790,825,491,404,353,320,279,184,199,168,175,191,125
201705,236679,0,972,883,574,428,419,325,245,255,213,173,214,266,163
201706,257325,0,1170,945,622,540,403,267,273,249,205,204,277,327,199
201707,242241,0,1245,1030,637,405,289,256,244,229,238,240,296,343,193
201708,233215,0,1147,908,517,333,319,283,186,171,242,286,332,350,145
201709,233905,0,1029,813,391,348,266,255,210,217,274,312,342,327,169
201710,233130,0,939,631,435,344,273,241,263,309,267,298,347,337,130
201711,227878,0,718,716,418,283,247,290,312,275,255,249,268,251,90
201712,164248,0,696,551,350,304,239,312,291,318,290,280,242,198,132
201801,180209,0,605,529,303,235,300,243,236,250,215,186,150,173,60
201802,168873,0,675,542,361,318,313,295,248,270,201,143,143,134,69
201803,185423,0,660,566,403,345,303,284,264,210,137,130,137,142,63
201804,186479,0,713,703,458,363,338,283,277,171,168,142,154,150,78
201805,228029,0,775,831,507,411,350,258,212,182,178,139,166,218,113
201806,250709,0,943,879,610,428,299,231,211,205,199,162,193,220,138
201807,236288,0,1045,845,500,349,265,232,209,189,145,193,207,265,115
201808,246239,0,973,763,430,276,236,193,205,150,187,206,229,240,112
201809,218583,0,930,664,351,309,210,215,135,218,205,217,234,220,121
201810,230886,0,748,530,396,263,235,172,218,230,213,245,232,200,107
201811,220937,0,613,553,357,246,193,191,224,246,216,213,217,159,83
201812,149937,0,565,468,305,189,235,229,225,214,211,173,159,125,86
