period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,103434,879,1224,1075,1016,1288,1349,1256,1656,1807,1848,1993,2127,1117
201502,111820,1020,1169,939,1161,1216,1148,1468,1678,1672,1832,1913,1944,1066
201503,115627,952,1084,979,1048,1015,1231,1500,1441,1543,1770,1768,1760,865
201504,104821,851,1131,931,877,1012,1213,1230,1276,1411,1388,1562,1537,685
201505,109739,951,1077,856,969,970,1149,1157,1219,1161,1296,1269,1231,640
201506,123148,925,989,1049,985,1000,1038,1116,1092,1176,1077,1019,1098,502
201507,117969,792,1054,924,863,980,977,975,983,981,842,902,930,530
201508,104531,889,1125,896,887,959,1012,1016,1004,895,881,841,895,475
201509,129362,1051,1208,1076,1028,1085,1129,1006,976,933,837,920,1005,502
201510,137473,929,1211,1141,1084,1065,1023,959,929,874,859,994,970,537
201511,131029,1052,1256,1129,1151,1066,979,957,916,903,987,1019,1041,531
201512,107378,851,1192,992,935,892,831,773,799,901,856,856,920,480
201601,111920,821,1074,859,779,749,702,739,737,771,728,807,846,353
201602,133784,970,1034,897,756,675,723,779,716,790,721,802,804,407
201603,132199,873,963,800,687,637,766,767,747,751,804,753,801,286
201604,127341,824,983,676,691,710,699,732,724,695,673,752,614,370
201605,120266,773,902,731,733,755,788,723,806,732,791,594,739,317
201606,132413,753,871,792,729,726,743,754,691,714,596,676,645,269
201607,111023,734,912,678,667,643,724,588,665,562,552,596,540,270
201608,111960,820,948,738,662,679,631,643,508,560,611,535,572,229
201609,132345,886,1028,791,738,655,705,599,601,554,554,537,578,347
201610,138258,838,906,831,750,776,587,619,583,527,528,584,655,353
201611,142455,950,1023,796,800,639,707,582,560,564,601,658,700,320
201612,115293,833,887,789,584,568,580,501,498,536,620,625,528,340
201701,114666,748,951,541,555,523,473,484,505,541,549,477,595,258
201702,121038,913,772,665,593,487,501,529,533,650,492,659,495,298
201703,141645,694,827,616,508,543,560,598,609,468,615,564,575,288
201704,117323,766,845,565,577,578,588,627,536,618,508,525,525,269
201705,140090,728,831,678,619,598,690,533,650,547,522,502,560,289
201706,141948,798,858,659,649,608,541,660,521,537,526,571,532,264
201707,116757,708,821,665,599,487,588,494,467,523,463,484,453,222
201708,113929,737,928,673,538,544,519,535,472,482,474,470,473,235
201709,133586,852,1020,675,678,571,545,504,529,535,505,445,506,320
201710,143929,939,946,822,631,620,551,560,569,516,534,541,673,269
201711,144174,848,1185,781,722,609,686,597,592,566,561,670,671,300
201712,114224,866,986,718,669,606,577,545,514,565,640,615,536,362
201801,132112,824,951,760,619,539,508,516,540,573,545,513,643,277
201802,127126,900,1017,707,651,616,551,519,607,570,519,668,563,297
201803,139635,846,987,707,602,590,631,655,559,533,654,568,595,289
201804,131713,919,924,738,667,638,713,617,546,677,607,602,549,341
201805,136703,810,999,760,719,758,680,642,724,621,624,573,628,289
201806,140726,935,1030,814,857,726,610,687,656,626,620,645,630,327
201807,129845,885,917,918,719,615,754,633,600,595,611,531,627,340
201808,121968,810,1003,792,592,733,596,609,537,613,497,583,581,320
201809,144875,1013,1035,736,836,706,620,516,641,531,599,564,621,356
201810,157218,1023,984,901,706,661,629,629,535,577,575,612,708,318
201811,167475,944,1097,733,674,591,580,536,566,494,549,635,656,305
201812,118887,903,937,698,555,551,477,483,477,482,482,496,494,293
201901,144609,785,866,606,589,459,432,461,437,443,469,413,503,240
201902,133124,777,840,675,549,502,440,455,505,515,511,534,458,215
201903,142622,837,907,580,558,541,516,504,439,452,547,476,447,190
201904,137846,928,790,685,598,540,535,496,410,557,508,445,388,264
201905,148374,762,856,630,549,609,510,471,560,486,438,342,477,280
201906,138814,853,876,686,687,535,465,513,518,409,334,508,537,312
201907,134661,877,868,694,521,483,527,446,404,324,410,502,495,262
201908,121703,845,907,657,505,511,484,420,296,410,431,463,524,287
201909,145778,869,898,640,647,509,426,331,453,466,478,506,500,278
201910,170493,951,925,807,582,494,343,488,498,496,490,473,538,310
201911,159984,840,1007,683,528,375,469,463,477,500,486,567,518,310
201912,119055,856,790,555,397,455,484,441,514,443,493,516,486,247
202001,150397,794,703,378,442,483,427,461,411,438,452,444,447,234
202002,146089,693,566,498,468,461,478,422,400,432,433,392,417,252
202003,128781,463,539,427,415,399,352,358,427,355,332,354,364,154
202004,70653,490,524,414,399,368,376,343,322,289,328,350,312,181
202005,108237,570,679,485,450,474,370,387,378,364,377,357,368,173
202006,146457,701,773,558,520,472,418,422,402,438,359,361,383,278
202007,160342,732,753,606,511,422,421,413,408,386,362,358,460,209
202008,143598,686,796,597,444,409,430,470,399,323,339,396,305,193
202009,153218,752,847,607,545,486,479,461,385,386,425,335,348,230
202010,157662,803,935,643,572,518,450,432,405,507,345,404,410,212
202011,166308,779,850,667,579,539,453,434,509,339,457,459,420,211
202012,137168,701,800,614,506,472,451,496,407,342,370,339,364,186
202101,139377,643,817,582,470,424,449,317,353,344,333,293,369,176
202102,152572,769,815,601,469,548,394,433,409,356,349,415,355,212
202103,168183,720,763,583,627,399,478,387,367,354,361,368,374,197
202104,154517,656,846,690,429,486,397,398,317,377,353,363,307,199
202105,157550,747,886,525,483,446,408,421,410,414,387,283,385,176
