period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,41398,261,412,387,383,490,547,536,642,734,746,789,851,407
201502,50033,320,407,372,482,534,490,620,735,695,748,815,787,430
201503,52176,363,430,423,498,443,549,663,605,670,776,761,775,370
201504,53275,320,481,405,454,435,535,545,550,598,584,625,630,278
201505,52847,386,461,409,455,435,507,524,582,554,598,558,531,297
201506,62039,380,448,496,479,472,473,531,536,510,467,445,448,200
201507,64671,344,479,428,413,468,423,446,418,461,376,421,419,232
201508,54178,351,523,422,414,417,455,453,474,402,422,366,396,211
201509,64053,439,536,480,494,484,533,450,448,433,387,425,493,225
201510,69173,384,567,552,536,529,492,487,436,427,435,465,438,268
201511,69412,459,598,552,581,522,447,457,457,421,467,445,453,227
201512,53844,354,593,480,444,424,407,378,411,448,381,415,453,216
201601,59553,318,507,460,397,359,381,404,386,389,385,401,433,191
201602,76279,424,538,470,391,373,421,428,413,419,392,462,436,221
201603,77555,408,525,431,361,339,420,398,404,394,445,396,459,155
201604,74978,432,541,400,378,391,391,402,416,403,370,429,343,220
201605,69995,397,509,413,426,433,436,403,494,419,469,348,422,176
201606,79596,384,472,466,388,432,431,434,423,426,339,394,371,141
201607,63845,380,505,419,387,362,425,337,367,314,308,334,295,153
201608,65261,414,515,418,374,388,364,374,289,326,333,307,311,126
201609,79507,450,586,447,427,385,411,340,360,312,328,315,339,199
201610,81654,425,526,499,449,448,360,365,331,278,302,363,366,199
201611,84692,495,605,503,462,388,430,344,319,307,338,410,392,174
201612,66015,419,485,464,339,326,343,273,294,294,351,337,304,212
201701,67927,392,566,334,336,329,301,306,293,307,325,275,339,146
201702,76167,481,473,433,369,317,325,340,345,426,313,413,292,185
201703,91158,400,542,420,345,380,387,411,433,337,407,375,369,184
201704,75117,455,564,389,406,411,394,444,351,417,341,329,350,190
201705,91187,469,556,478,423,414,491,382,452,352,377,331,385,202
201706,97576,518,600,482,447,432,378,464,378,367,365,391,390,177
201707,79122,452,575,450,426,347,405,320,336,361,310,339,309,149
201708,76417,439,659,468,367,389,355,382,333,330,334,329,321,171
201709,90331,524,717,482,491,399,391,360,376,379,358,308,375,236
201710,97461,621,646,579,442,440,396,409,412,352,367,389,469,189
201711,97513,528,808,531,515,424,482,422,442,391,392,476,466,197
201712,77089,538,680,506,477,432,431,385,361,399,451,438,373,260
201801,87006,545,668,557,453,397,362,381,391,401,402,411,458,186
201802,89395,581,727,532,521,449,432,386,446,434,406,509,397,233
201803,98478,550,723,526,447,428,480,502,423,395,516,423,456,210
201804,92743,622,669,545,516,490,541,468,420,511,466,450,410,252
201805,96255,560,725,608,557,588,534,511,585,479,479,434,477,238
201806,102209,636,780,630,648,581,494,566,514,490,472,521,505,265
201807,90101,608,680,699,558,496,600,496,469,449,481,412,491,265
201808,80501,548,714,610,454,568,474,492,424,488,385,429,449,261
201809,102944,707,755,576,652,538,480,395,487,427,453,438,489,271
201810,108864,709,719,659,531,516,473,459,394,447,445,468,539,232
201811,112228,649,777,525,477,439,421,410,411,356,401,463,479,215
201812,77177,610,652,489,390,388,346,351,337,342,329,353,369,214
201901,97879,528,619,449,430,326,312,337,323,329,348,314,393,187
201902,92046,526,624,505,419,385,329,342,378,386,401,376,325,159
201903,101477,588,673,434,426,395,385,399,326,345,396,353,331,142
201904,95677,632,585,520,459,412,395,365,324,425,359,339,295,190
201905,103597,541,641,465,417,462,377,362,429,378,312,251,366,221
201906,96254,595,616,528,534,392,348,395,391,297,240,393,408,240
201907,94674,607,610,500,375,362,398,322,301,240,314,384,368,198
201908,82207,562,626,485,365,363,359,312,221,295,317,350,394,208
201909,101889,596,624,474,478,366,315,240,353,341,365,389,368,216
201910,119289,619,649,581,423,349,250,357,370,383,367,338,411,240
201911,111916,548,692,483,374,258,346,341,339,373,348,423,379,233
201912,82132,542,553,388,308,339,355,323,374,324,350,378,350,189
202001,101168,496,451,269,327,346,280,333,288,311,344,328,329,166
202002,102782,439,393,366,348,336,333,299,301,307,309,293,300,174
202003,89683,324,373,305,294,299,249,269,333,261,236,269,266,117
202004,46613,307,366,298,291,256,272,239,238,208,244,255,215,122
202005,73391,364,441,351,303,336,267,277,261,268,235,241,258,118
202006,102729,426,525,400,376,345,295,306,308,316,256,260,272,207
202007,117614,459,507,421,375,304,300,306,289,293,271,243,313,144
202008,96836,422,542,421,335,285,325,336,297,249,256,300,213,136
202009,110894,475,561,417,399,357,354,342,290,275,314,232,253,165
202010,111225,506,642,440,398,356,334,317,293,386,245,305,300,153
202011,111939,477,575,459,418,375,306,325,378,264,341,336,309,144
202012,98802,413,527,436,371,342,324,366,293,251,261,245,265,137
202101,95434,392,560,393,343,295,331,227,259,252,229,213,271,125
202102,107693,498,570,438,333,408,283,316,286,248,245,297,252,151
202103,116248,472,542,436,455,293,349,294,279,267,277,269,258,146
202104,108733,444,613,533,321,361,286,297,228,288,277,264,230,147
202105,108152,500,669,386,345,336,317,338,313,311,296,199,283,129
202106,104449,602,466,467,374,306,297,325,274,274,237,241,239,129
