period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,1333,7,11,10,7,12,19,15,8,17,25,28,27,21
201502,5300,4,17,8,17,14,15,23,23,21,23,23,33,20
201503,6557,15,19,14,20,14,26,22,32,20,26,40,47,18
201504,6458,16,35,21,25,25,27,30,28,30,29,43,38,29
201505,7206,21,26,28,28,26,40,26,27,29,48,38,39,11
201506,8007,17,32,37,24,24,21,27,36,44,30,34,35,21
201507,7714,23,39,28,25,29,27,29,31,36,17,29,36,26
201508,7682,18,33,29,32,20,21,31,29,26,19,29,38,14
201509,8763,22,38,45,45,32,44,22,34,19,24,43,27,17
201510,10359,20,46,46,31,26,35,26,26,26,32,38,34,22
201511,10796,21,41,34,34,35,34,29,31,43,42,38,38,18
201512,10126,17,52,36,35,34,38,27,42,35,38,43,30,22
201601,10380,23,40,29,40,28,22,34,22,41,34,38,39,19
201602,12037,26,38,42,32,32,33,25,42,31,35,43,49,22
201603,12590,20,38,36,33,32,41,32,35,34,42,46,46,20
201604,12121,26,41,35,44,26,33,32,41,24,31,44,35,13
201605,11250,19,31,43,35,35,58,37,32,39,27,26,48,16
201606,11924,26,42,37,44,36,39,36,31,28,34,35,25,14
201607,9450,32,38,27,22,29,25,28,31,36,29,37,37,11
201608,12222,35,44,33,26,24,29,29,23,30,41,34,32,10
201609,11497,21,35,47,29,29,40,29,34,21,31,31,27,15
201610,13199,28,35,33,32,43,35,29,33,29,25,22,38,12
201611,10966,37,40,29,41,41,32,25,32,39,36,29,42,26
201612,11422,23,35,34,35,25,36,29,27,27,38,35,34,20
201701,8552,23,38,29,29,23,21,23,29,32,21,33,35,14
201702,10605,36,38,35,37,28,26,35,37,43,37,41,36,25
201703,14183,37,48,32,31,31,24,33,30,20,24,26,42,17
201704,13574,28,47,35,39,41,36,33,30,36,32,25,27,15
201705,16585,25,47,38,26,28,43,24,41,24,35,32,33,10
201706,14237,26,41,32,25,34,30,26,22,27,42,38,36,17
201707,15072,32,53,55,35,27,42,43,27,35,37,44,31,14
201708,13439,36,47,40,36,31,37,25,29,30,34,26,31,13
201709,18019,36,60,36,44,32,30,30,38,36,37,26,32,20
201710,17666,49,61,50,30,46,43,25,34,30,48,39,37,14
201711,15824,51,81,44,40,29,45,26,31,32,42,36,37,16
201712,14869,54,67,52,48,39,40,41,35,38,42,43,42,20
201801,15303,43,57,54,40,39,46,36,43,44,32,33,45,30
201802,13159,48,54,44,36,43,27,31,45,29,33,35,40,21
201803,18958,41,56,46,32,52,39,35,39,40,41,46,40,17
201804,16608,40,56,54,37,22,42,38,29,42,35,44,46,25
201805,18046,40,57,45,40,37,30,32,46,32,36,39,39,11
201806,16165,44,61,39,46,37,35,37,52,34,49,38,33,17
201807,17797,46,51,65,20,28,45,43,43,50,45,44,43,23
201808,18377,35,69,42,34,46,30,27,42,36,29,49,35,18
201809,18311,46,74,37,44,50,32,33,43,26,37,44,38,32
201810,19009,45,66,52,44,38,45,51,33,45,43,54,54,24
201811,21389,37,71,49,53,38,40,33,42,46,41,49,53,31
201812,15990,34,64,48,47,43,30,42,45,37,50,49,45,19
201901,16061,41,60,49,46,38,31,35,34,29,36,35,31,15
201902,18300,53,53,59,40,33,36,33,38,39,37,44,48,25
201903,18034,35,65,40,39,54,32,40,31,39,55,37,45,11
201904,18220,50,47,55,45,39,46,49,28,40,57,41,31,26
201905,19324,39,63,50,48,46,53,43,43,31,46,31,32,17
201906,18537,52,70,44,56,50,48,41,48,40,34,40,35,25
201907,18505,67,62,45,44,50,38,45,35,30,35,40,45,13
201908,18408,58,77,56,49,45,36,45,23,31,41,34,41,29
201909,19234,55,51,49,56,47,30,33,43,39,43,36,39,17
201910,23850,76,84,61,47,46,38,39,44,45,42,37,41,33
201911,20097,48,83,66,48,41,46,46,52,47,47,41,42,26
201912,14699,61,61,55,30,35,32,44,46,37,47,48,41,18
202001,18446,47,86,32,37,40,49,41,48,50,36,38,37,24
202002,19955,62,57,39,39,41,44,48,40,40,58,29,37,35
202003,18582,38,44,43,36,29,38,33,35,28,29,37,35,14
202004,9725,37,32,31,35,26,28,22,30,27,29,27,27,24
202005,12981,36,54,29,35,39,26,40,28,26,42,34,35,19
