period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,10945,75,109,117,99,128,113,95,155,165,154,169,186,114
201502,10336,90,122,83,106,99,103,124,142,149,148,167,167,105
201503,11123,102,107,89,85,87,104,138,130,140,137,162,160,98
201504,8305,97,115,81,72,101,118,114,129,148,135,152,164,67
201505,12431,97,112,89,83,85,118,118,119,97,136,130,128,72
201506,14375,114,108,118,91,104,117,103,111,135,99,111,117,65
201507,14273,107,116,98,101,113,122,105,139,122,106,99,103,58
201508,12997,119,130,110,99,114,135,115,110,108,90,87,116,46
201509,15560,156,174,124,131,147,131,140,128,105,103,103,125,67
201510,18074,154,164,135,114,121,111,121,101,89,99,113,130,70
201511,15003,157,165,131,133,130,118,113,111,106,125,136,133,79
201512,14131,149,156,171,141,143,109,132,110,106,129,117,120,84
201601,16514,140,159,99,113,108,80,93,107,103,82,105,119,46
201602,16623,197,140,125,105,74,68,91,77,106,81,77,95,49
201603,16563,165,108,129,105,77,105,107,97,100,83,89,81,30
201604,17365,126,153,79,90,93,96,95,87,95,90,93,73,43
201605,16602,132,135,87,82,99,99,97,88,91,81,69,92,45
201606,16572,141,137,105,108,93,89,88,74,85,76,65,88,30
201607,16047,133,131,86,104,88,101,85,117,74,78,76,73,45
201608,15857,142,146,115,86,110,81,89,60,78,89,70,80,34
201609,17174,174,166,105,119,92,93,89,75,72,73,59,89,54
201610,20020,175,155,131,117,118,68,89,77,86,77,76,87,47
201611,22739,192,173,114,119,72,90,83,100,80,72,79,98,47
201612,19076,194,182,138,92,99,95,80,68,89,94,97,80,42
201701,20425,165,178,77,87,70,62,70,88,94,92,68,96,38
201702,17960,197,130,92,90,62,53,64,67,69,62,99,68,47
201703,20717,126,134,74,55,61,72,71,60,50,86,65,66,32
201704,15399,153,107,53,62,57,89,69,70,69,54,77,64,32
201705,18199,133,125,76,85,80,81,66,79,83,50,60,73,35
201706,19433,142,110,74,92,66,63,97,64,71,50,69,51,42
201707,16163,140,130,93,72,60,81,73,49,76,55,59,65,26
201708,18716,167,130,97,81,72,84,70,57,79,60,65,70,32
201709,18352,177,138,99,85,84,68,59,62,70,68,55,60,26
201710,21607,178,177,122,91,85,67,83,67,78,70,69,110,45
201711,24492,202,215,143,96,96,99,85,73,95,87,102,108,56
201712,17326,188,164,104,104,93,69,79,82,83,94,78,75,61
201801,25370,179,168,102,85,70,67,77,65,93,72,52,95,45
201802,20686,209,171,95,66,84,62,73,74,74,53,84,94,29
201803,18061,183,155,87,86,80,85,76,60,71,75,80,66,44
201804,18636,194,141,101,88,79,91,77,75,96,79,82,64,49
201805,18130,161,157,87,104,93,88,74,77,86,85,74,87,30
201806,17906,189,146,105,127,83,63,62,72,74,76,59,73,29
201807,18024,182,151,118,106,70,89,78,72,72,68,55,72,36
201808,18438,185,158,114,80,92,71,74,60,62,63,79,74,28
201809,19174,212,168,95,115,98,87,60,85,59,80,65,73,43
201810,24353,219,168,143,106,80,87,95,89,71,66,66,93,48
201811,28404,226,213,131,125,95,100,74,87,73,81,97,97,48
201812,21300,214,183,135,107,99,82,71,71,79,85,78,65,51
201901,25676,176,160,86,94,78,74,75,65,65,69,48,64,28
201902,18597,158,134,89,68,64,64,66,75,66,62,90,67,23
201903,18533,177,145,86,76,70,76,55,66,47,76,69,55,33
201904,19870,203,127,89,71,76,81,62,43,73,67,51,53,39
201905,20351,140,123,98,74,83,68,49,70,65,66,47,61,34
201906,19741,165,155,100,78,78,61,61,69,60,49,64,83,40
201907,17540,157,168,122,82,56,75,63,55,49,46,65,66,41
201908,16870,189,168,104,75,84,70,49,42,66,57,59,71,44
201909,20274,183,183,98,89,77,66,46,49,69,60,66,81,37
201910,22281,199,160,140,89,81,47,73,72,58,68,84,69,33
201911,23538,207,197,114,84,57,63,66,71,69,68,84,80,39
201912,18843,219,156,96,42,63,78,61,80,66,79,74,78,34
202001,25554,213,145,65,72,88,84,75,59,65,60,68,60,38
202002,19482,160,99,74,67,73,87,60,47,67,60,63,70,36
202003,17115,84,100,67,66,56,55,45,47,58,58,38,55,17
202004,11646,125,102,63,61,68,65,69,45,45,45,49,59,26
202005,18240,149,155,91,96,84,59,56,76,64,82,72,65,33
202006,24677,209,167,95,87,80,61,71,65,69,62,57,66,35
202007,22615,204,160,123,84,66,81,61,75,54,47,72,77,42
202008,23388,177,163,96,75,72,62,70,53,48,46,50,49,40
202009,20951,195,181,109,80,69,62,73,45,62,56,48,54,36
202010,22725,219,182,135,93,88,61,51,60,72,44,52,57,33
202011,30652,183,172,133,77,93,81,67,77,37,73,66,60,34
202012,20932,178,160,99,70,70,75,67,66,47,60,58,41,24
202101,18459,157,145,81,65,64,69,50,41,51,44,47,45,27
202102,23078,151,130,79,74,63,64,51,59,51,50,55,46,30
202103,31646,148,119,69,76,63,61,50,44,44,36,48,50,24
202104,24977,129,127,80,50,57,52,52,43,37,28,55,37,26
202105,20104,144,121,59,80,50,45,38,51,61,42,43,46,18
202106,17331,164,120,105,60,39,43,45,44,37,40,42,45,15
202107,15656,114,127,68,68,52,34,48,42,35,36,31,25,20
202108,15601,134,92,71,58,50,47,44,21,32,40,21,26,25
202109,16880,122,111,68,55,37,45,38,36,40,30,30,43,19
202110,17180,115,115,83,52,70,34,55,29,37,28,33,45,26
202111,18866,121,110,63,60,41,52,32,38,34,36,37,57,17
202112,17678,100,119,57,52,45,36,24,26,37,35,34,32,24
202201,18530,107,91,51,46,35,26,25,27,27,33,35,36,13
202202,15873,96,78,56,49,34,28,34,31,33,35,46,25,16
202203,22357,104,86,55,50,27,27,34,32,31,49,29,32,15
202204,18041,85,80,37,44,49,33,42,30,35,29,29,19,20
202205,20686,72,94,57,37,35,32,37,42,21,25,21,23,15
202206,20485,80,93,63,42,48,21,36,33,23,28,39,33,13
202207,14041,97,99,51,40,36,48,37,32,21,28,23,29,12
