period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,45667,366,348,206,163,167,161,133,129,136,128,148,159,114
201502,37332,354,324,202,174,138,130,145,145,129,132,156,179,90
201503,43851,296,249,199,150,141,150,133,128,134,143,164,174,68
201504,40932,259,259,197,153,144,162,138,143,142,141,144,146,69
201505,48034,273,292,177,180,180,143,155,150,158,137,147,159,72
201506,58605,290,328,237,223,188,184,184,152,168,172,157,174,111
201507,62939,332,431,220,234,190,196,203,182,172,156,191,173,90
201508,68452,412,426,276,254,227,261,196,215,177,192,157,182,112
201509,77647,432,467,250,246,240,228,195,198,209,180,206,222,95
201510,81614,409,408,274,256,243,184,203,160,164,157,180,170,102
201511,77191,413,476,340,298,248,228,221,191,201,204,201,238,123
201512,65535,413,472,336,278,253,220,184,172,194,185,206,211,146
201601,70905,443,478,348,298,284,208,214,217,197,204,193,225,131
201602,73026,469,465,261,258,203,199,220,162,195,179,215,219,115
201603,81174,414,389,258,237,193,220,180,201,183,199,181,193,88
201604,72340,361,366,252,196,208,168,197,178,171,182,199,165,97
201605,57451,365,335,249,227,165,211,196,185,188,189,146,164,97
201606,61309,320,363,305,233,247,217,206,201,211,153,185,163,112
201607,80567,376,446,316,264,236,217,227,197,168,195,200,202,90
201608,78554,437,445,321,270,261,223,220,178,201,186,212,191,109
201609,95332,459,434,316,268,243,260,196,219,195,167,191,222,141
201610,87396,491,461,346,266,269,190,233,201,165,201,180,230,129
201611,95694,446,509,345,326,211,243,207,211,184,218,198,236,108
201612,84076,538,491,372,229,251,206,206,211,198,193,206,199,152
201701,80174,596,511,253,249,240,194,191,224,204,195,169,264,100
201702,92295,648,418,321,251,217,214,210,185,229,170,237,229,120
201703,96448,493,447,284,229,199,232,214,207,163,220,208,203,115
201704,85514,583,422,284,258,238,221,212,185,221,205,183,236,97
201705,103384,511,419,289,269,241,249,170,232,192,204,209,222,86
201706,97793,452,507,326,283,235,218,281,238,201,217,229,243,125
201707,92526,521,503,308,351,225,276,253,259,201,225,238,230,105
201708,101237,586,545,360,240,277,238,254,234,259,209,182,207,115
201709,127825,609,557,321,343,275,320,248,256,220,223,212,233,150
201710,130982,645,551,450,357,337,279,295,281,250,261,261,332,147
201711,139330,531,652,405,375,298,294,274,259,236,236,287,243,137
201712,103643,700,580,412,322,281,270,239,251,259,255,288,230,168
201801,122164,712,543,384,288,284,226,251,235,237,235,217,276,122
201802,107063,661,559,366,309,283,244,226,265,264,226,264,253,136
201803,111136,588,533,318,284,250,264,254,267,212,261,228,244,135
201804,106557,563,433,324,272,233,286,247,201,257,257,248,209,128
201805,107223,540,517,350,299,283,244,219,251,264,216,249,244,131
201806,105453,532,509,304,283,264,214,228,211,216,195,246,235,125
201807,107381,503,444,336,319,236,296,267,265,234,231,232,243,101
201808,123212,499,495,349,258,287,255,237,223,209,195,230,230,121
201809,118359,579,534,306,384,278,267,283,259,215,258,254,240,145
201810,135890,601,492,461,338,347,276,294,219,265,230,262,311,161
201811,134049,486,597,378,317,343,267,264,272,241,248,269,269,134
201812,95247,623,580,387,333,320,273,295,250,263,261,252,211,146
201901,111024,588,506,346,286,232,258,231,233,207,204,228,234,118
201902,101337,595,508,330,261,257,216,228,239,205,205,229,210,115
201903,97149,599,480,290,253,237,196,235,211,209,195,191,172,81
201904,97714,570,431,325,259,226,228,215,201,234,219,179,124,93
201905,101100,543,461,317,290,283,216,194,262,220,189,132,175,104
201906,101909,554,454,308,323,275,220,258,234,204,129,173,188,102
201907,103345,562,456,350,260,258,292,258,259,178,193,222,235,141
201908,98537,578,522,324,262,282,265,255,168,189,222,203,247,141
