period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,11424,58,60,34,22,29,17,9,20,32,33,25,29,22
201502,8722,26,52,24,18,10,24,23,19,21,19,28,30,17
201503,7813,35,29,21,11,13,15,17,19,14,18,27,15,9
201504,5264,18,34,16,15,19,11,18,15,11,20,21,18,17
201505,4564,28,22,19,18,10,21,21,11,16,24,11,24,9
201506,4657,15,17,21,19,11,14,18,21,13,16,15,20,6
201507,4991,23,23,24,14,17,17,18,11,6,18,11,14,8
201508,6415,32,33,19,16,28,22,26,26,13,36,26,15,14
201509,12895,40,53,33,46,37,33,36,35,22,16,17,29,23
201510,18432,52,52,49,40,45,30,28,17,21,17,28,25,27
201511,15400,55,65,52,50,51,40,21,29,28,21,37,46,25
201512,15682,48,64,62,48,35,31,18,21,25,35,29,46,26
201601,12540,44,58,38,42,26,21,25,23,18,26,24,29,14
201602,14199,60,40,17,23,16,15,12,25,26,22,31,24,17
201603,11761,51,31,11,13,18,27,27,20,34,22,20,23,13
201604,8660,31,23,19,20,19,21,19,22,19,16,21,13,13
201605,6088,24,24,11,16,13,19,21,15,21,23,21,22,10
201606,7745,32,35,28,31,19,24,24,25,17,11,14,23,10
201607,8390,34,30,20,27,15,28,18,23,14,14,13,13,10
201608,11940,27,32,34,18,28,23,31,11,21,23,29,25,15
201609,12668,49,49,34,32,32,29,21,21,28,17,23,37,15
201610,19091,64,63,50,42,44,24,32,26,23,27,32,45,19
201611,20714,65,66,54,35,28,23,35,25,28,26,37,49,15
201612,13832,44,47,46,33,34,16,11,28,28,39,38,36,29
201701,14776,46,53,34,33,29,28,28,22,30,22,26,42,15
201702,11622,49,31,32,25,23,24,31,21,21,23,24,32,27
201703,14148,36,32,21,20,12,21,21,12,17,14,28,25,16
201704,7881,42,27,17,25,19,19,16,28,28,23,24,22,7
201705,8710,32,34,31,27,26,29,14,28,26,20,16,16,9
201706,11137,33,49,35,33,32,26,25,22,26,21,34,22,10
201707,9451,43,45,38,44,21,46,38,21,22,19,13,29,10
201708,13519,42,50,59,24,49,46,37,26,24,27,20,29,16
201709,19068,58,102,48,71,57,63,45,38,37,23,37,47,29
201710,22179,80,94,88,81,82,65,49,42,40,37,45,55,54
201711,23661,65,89,76,74,73,61,41,45,31,45,57,60,31
201712,15544,91,78,82,57,56,53,45,28,55,63,42,57,30
201801,19963,65,73,57,47,35,36,26,39,40,47,38,50,38
201802,14836,70,80,40,38,23,31,39,47,39,41,43,48,20
201803,12530,47,60,32,23,20,34,37,32,29,37,41,24,23
201804,11831,49,42,31,16,31,29,27,27,29,25,29,17,16
201805,10195,34,47,26,29,23,31,28,29,24,14,26,32,15
201806,10747,33,39,36,37,15,30,24,31,20,32,15,14,16
201807,10508,34,33,36,30,26,28,24,21,29,24,25,32,15
201808,14522,52,56,37,32,31,41,36,22,21,28,27,30,16
201809,14909,67,65,40,35,29,39,41,40,39,26,36,35,27
201810,22021,65,66,52,56,29,39,40,31,29,28,36,53,23
201811,20561,58,70,51,56,52,48,32,34,33,32,45,47,35
201812,15234,67,55,39,43,38,36,29,36,30,19,44,43,23
201901,14827,66,59,46,26,28,29,31,32,29,39,27,36,19
201902,11370,56,34,25,22,27,17,25,24,18,27,24,27,13
201903,9356,61,52,23,20,19,21,20,27,23,35,24,18,6
201904,8091,33,33,16,22,19,30,24,8,21,24,19,15,16
201905,8737,35,38,26,16,34,35,26,25,16,20,11,14,8
201906,6622,28,46,29,28,22,15,19,19,28,17,19,10,11
201907,7196,49,54,35,36,22,24,34,25,16,7,11,22,12
201908,8449,41,56,41,28,20,26,36,16,17,9,13,20,16
201909,10579,58,58,34,35,33,38,26,25,18,19,13,33,19
201910,15059,63,61,41,39,40,27,13,18,30,25,23,40,17
201911,14228,47,71,48,51,24,19,20,19,23,23,36,35,22
201912,13201,47,54,41,37,19,19,22,25,30,26,28,36,10
202001,12554,62,65,48,20,22,32,23,17,26,31,30,25,13
202002,10833,46,31,27,21,18,18,26,26,23,17,26,24,13
202003,10193,34,31,19,13,19,26,17,18,22,19,16,23,10
202004,6779,18,29,27,26,17,17,26,18,15,17,16,19,9
202005,7472,24,27,17,15,20,23,23,19,15,20,28,19,8
202006,9003,34,34,27,21,26,26,16,19,29,22,19,26,11
202007,10824,21,40,24,30,37,20,16,23,14,27,22,25,13
202008,12941,45,54,38,33,15,19,22,23,21,28,26,28,7
202009,15128,39,62,41,40,23,33,27,24,30,34,16,32,20
202010,18258,60,64,53,48,50,47,32,38,42,37,43,28,26
202011,10802,60,49,51,41,32,26,27,39,28,30,30,40,17
202012,11583,36,67,48,40,32,23,27,28,32,31,44,41,22
202101,13838,42,66,50,37,31,35,15,30,22,32,16,44,9
202102,13025,48,56,52,39,40,23,23,20,27,26,24,32,19
202103,17113,41,42,43,43,27,29,25,34,26,34,35,35,18
202104,14419,45,55,36,20,33,34,40,30,28,30,32,27,17
202105,9036,46,44,34,36,43,29,22,18,34,22,29,27,12
202106,10644,54,41,34,48,40,28,20,31,26,23,24,32,19
202107,9266,33,43,31,38,31,23,29,32,20,39,32,31,17
202108,13069,43,58,65,35,39,39,37,28,31,30,36,20,19
202109,15260,39,67,49,49,35,42,33,33,22,26,31,33,30
202110,18121,40,57,52,36,50,44,38,31,30,25,38,49,28
202111,21635,45,64,65,55,33,37,33,25,23,37,35,51,29
202112,17435,51,49,54,41,43,26,26,24,24,38,40,36,21
202201,14636,47,59,40,37,28,27,20,23,34,33,29,25,15
202202,12085,39,47,33,27,25,20,24,26,16,17,25,24,14
202203,11475,29,46,29,22,14,24,17,23,12,24,16,18,7
202204,6302,28,27,18,21,24,17,21,18,12,9,18,17,10
202205,5091,18,19,13,19,15,13,11,14,20,15,8,12,5
202206,4254,17,16,19,13,27,14,16,9,18,7,5,8,7
202207,4243,24,15,20,14,11,9,15,9,8,10,6,6,3
202208,5680,27,22,19,16,17,13,13,10,14,9,8,8,4
