period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,26167,114,144,65,39,54,45,29,48,62,70,50,67,39
201502,21571,73,90,46,42,31,42,42,42,42,44,58,60,29
201503,17234,71,56,42,23,33,27,44,45,36,40,49,36,15
201504,11766,48,59,39,34,44,25,38,26,31,32,46,39,29
201505,10964,73,47,34,45,29,39,47,28,48,53,28,48,18
201506,12351,38,46,40,50,33,44,37,49,33,44,39,39,14
201507,14235,45,67,71,41,43,31,40,43,30,32,36,44,21
201508,18100,71,107,77,67,69,62,64,54,40,73,52,56,40
201509,42883,118,186,122,127,103,94,114,84,76,71,59,88,77
201510,61109,215,250,172,145,143,102,84,80,76,84,111,116,77
201511,55163,207,268,213,179,138,112,89,111,99,115,128,161,84
201512,50606,205,251,207,146,111,110,93,107,152,145,162,169,121
201601,44998,226,264,157,135,115,126,163,128,143,164,152,171,70
201602,40031,214,174,104,95,78,115,81,116,128,125,107,133,64
201603,29286,166,137,76,84,83,98,120,79,105,100,94,97,40
201604,23803,116,127,88,118,98,94,102,77,93,69,104,77,46
201605,18254,114,123,94,97,109,92,119,97,81,97,76,82,48
201606,23421,116,131,114,123,119,114,96,96,64,63,70,94,51
201607,24140,101,155,120,117,77,108,75,106,77,81,93,91,65
201608,36104,120,192,161,119,121,115,135,86,110,103,110,152,69
201609,57605,246,340,228,197,158,205,142,186,188,176,212,262,157
201610,79353,361,438,355,279,276,213,253,247,246,240,323,368,204
201611,96489,398,530,344,379,258,247,222,207,227,265,369,353,139
201612,72801,399,462,418,263,287,190,210,217,248,274,311,272,169
201701,66139,379,397,236,223,200,171,183,196,253,225,211,273,109
201702,48680,328,252,194,151,136,183,176,186,194,183,191,178,99
201703,48503,176,225,152,145,132,142,160,167,150,166,148,152,76
201704,31681,203,214,145,140,137,164,155,134,172,129,144,129,36
201705,31891,184,168,159,137,147,149,121,136,137,124,117,90,50
201706,36231,160,238,216,187,179,146,172,151,148,121,137,147,53
201707,35891,201,264,226,191,149,203,168,124,129,113,145,143,66
201708,50681,252,411,307,209,277,216,198,170,187,204,159,141,95
201709,90998,369,560,327,356,314,304,233,199,236,159,177,237,181
201710,110522,469,603,506,414,364,295,295,305,252,214,273,353,221
201711,127824,539,762,454,390,325,317,269,211,192,264,319,390,145
201712,90375,587,588,440,331,277,280,210,190,250,322,290,298,167
201801,85759,501,444,291,213,186,181,146,188,217,262,228,246,135
201802,64124,409,375,253,202,147,134,175,201,263,217,240,229,106
201803,57681,317,316,172,143,114,151,155,166,159,194,181,148,95
201804,42487,244,200,149,114,140,143,145,136,152,130,122,123,65
201805,36003,211,229,120,138,125,146,129,126,128,113,100,122,48
201806,38389,212,210,153,170,125,109,130,130,115,92,85,81,55
201807,38608,182,224,219,160,122,150,116,88,85,99,94,121,57
201808,52492,238,354,247,171,170,162,132,122,110,117,126,120,74
201809,96103,439,454,275,265,225,196,176,193,159,167,153,204,140
201810,124848,536,595,474,350,279,276,279,191,163,177,256,360,184
201811,147361,527,608,379,313,239,253,194,197,146,181,260,295,148
201812,92548,511,454,295,213,203,169,159,150,169,195,229,218,106
201901,96335,426,379,223,164,144,138,125,154,146,161,174,162,71
201902,62050,351,298,164,121,124,85,106,121,129,109,134,136,59
201903,47379,299,239,145,85,85,90,96,115,97,120,110,94,31
201904,37581,230,175,111,80,93,109,96,99,118,94,93,53,44
201905,33475,187,172,100,82,121,108,90,101,79,79,58,55,27
201906,33183,165,200,117,132,108,77,103,87,82,61,54,58,30
201907,36617,209,200,150,138,110,112,115,84,53,50,61,70,39
201908,49425,236,279,176,152,130,121,99,64,83,61,66,67,46
201909,93162,401,413,249,209,175,140,86,99,78,98,90,111,76
201910,117445,493,500,361,281,152,103,100,112,126,133,125,180,113
201911,133681,434,531,336,203,120,133,140,106,143,143,200,202,132
201912,104124,449,426,189,136,139,128,116,151,140,160,183,202,68
202001,83297,409,267,172,123,121,129,126,113,124,148,180,151,89
202002,58934,258,179,111,98,91,94,87,81,115,106,137,113,69
202003,46386,164,152,90,59,83,74,88,84,94,87,86,85,43
202004,28945,139,146,86,84,65,76,76,63,61,62,63,62,39
202005,30974,118,135,76,70,79,76,78,84,62,90,89,70,37
202006,39644,181,163,102,94,98,110,70,83,90,64,66,70,44
202007,49601,177,181,116,123,101,88,93,100,68,71,73,80,43
202008,66827,228,259,182,129,111,102,104,91,92,87,91,91,48
202009,107110,297,345,244,207,150,168,126,123,128,134,96,151,89
202010,134566,356,468,289,258,244,221,174,141,173,140,183,192,134
202011,121285,401,490,332,262,221,171,170,168,127,172,180,189,117
202012,97060,364,478,309,244,202,136,155,114,143,172,186,188,99
202101,83951,359,426,240,189,128,148,86,102,115,130,127,146,62
202102,78132,333,305,203,168,130,84,112,122,114,116,131,138,65
202103,79291,262,227,178,124,104,101,104,125,99,113,140,124,67
202104,55054,247,205,150,103,109,118,120,99,96,102,100,91,59
202105,42380,223,208,101,130,119,106,84,91,100,86,81,76,39
202106,45445,224,190,133,145,143,91,103,102,84,91,88,79,39
202107,46985,199,203,155,131,105,88,107,105,94,91,83,80,51
202108,73868,234,302,221,155,159,146,164,114,125,100,96,74,63
202109,120486,303,367,239,182,185,179,152,155,103,105,97,140,103
202110,143668,328,463,346,250,276,208,200,152,126,103,168,261,154
202111,156855,365,435,326,239,193,191,163,132,107,184,192,267,146
202112,111511,333,351,286,202,168,130,121,104,129,166,200,202,117
202201,88427,292,343,184,143,100,109,74,103,143,158,139,132,78
202202,68882,232,223,141,99,93,72,94,103,103,105,115,88,59
202203,51137,185,169,107,83,74,90,79,106,92,95,82,94,28
202204,42968,166,134,90,64,83,73,80,79,77,64,94,68,41
202205,30402,121,100,50,94,77,64,70,58,69,67,56,59,35
202206,25673,97,108,68,76,90,67,80,58,63,40,49,47,26
202207,26150,110,121,107,102,71,84,71,50,36,63,40,44,20

