period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,2150,7,20,7,6,8,5,4,6,7,3,10,6,10
201502,2199,17,27,11,15,12,11,10,4,8,8,9,15,13
201503,3041,15,19,13,12,7,10,12,5,10,17,11,12,5
201504,2923,21,18,14,9,6,6,3,10,8,9,16,10,7
201505,4386,11,22,8,5,9,7,10,7,10,10,6,14,6
201506,4587,15,25,6,6,12,11,8,9,4,10,12,11,3
201507,5495,11,18,12,7,10,4,7,7,9,6,9,11,6
201508,3469,13,16,9,10,9,10,14,12,13,9,7,13,6
201509,6077,18,21,9,15,14,10,11,17,15,6,19,10,8
201510,7332,16,20,10,7,17,15,8,7,9,7,10,21,13
201511,5346,26,23,12,19,18,10,9,12,11,15,9,15,13
201512,4594,21,19,20,17,7,10,7,10,14,9,13,13,9
201601,4094,11,25,10,10,11,9,7,17,12,7,10,5,7
201602,5288,22,20,11,7,17,15,11,7,17,11,10,19,4
201603,5628,25,30,24,11,17,16,12,12,16,19,12,25,5
201604,5613,28,24,16,16,10,17,17,7,9,10,12,12,8
201605,5518,28,35,19,12,16,15,16,13,14,10,16,15,8
201606,6427,26,24,18,11,12,17,10,11,19,14,14,18,9
201607,5193,23,23,12,15,10,8,11,15,12,9,8,20,5
201608,5884,19,22,17,12,8,7,23,11,19,8,9,14,12
201609,5396,19,26,17,25,15,8,9,14,12,15,11,11,9
201610,5880,27,27,15,16,14,16,12,9,14,4,10,17,11
201611,5842,25,28,17,21,12,8,15,11,14,9,11,16,6
201612,4866,17,18,21,13,12,12,17,10,11,7,17,14,10
201701,5606,18,19,9,10,8,12,9,6,6,10,9,10,9
201702,5191,27,25,12,9,10,6,12,12,12,6,18,10,11
201703,7387,19,19,19,10,7,11,10,10,8,13,12,11,8
201704,5184,18,18,12,9,12,15,3,7,8,9,10,10,10
201705,6398,25,27,18,11,9,21,8,12,13,19,8,22,7
201706,5892,26,18,9,17,17,12,14,15,16,11,9,17,7
201707,5436,20,15,13,13,5,8,6,11,9,12,10,15,5
201708,5498,25,16,11,13,12,12,11,16,7,11,10,10,5
201709,6620,20,29,11,11,8,9,9,12,9,9,10,9,11
201710,6804,24,24,14,12,10,15,8,12,13,7,10,13,8
201711,6676,18,25,22,24,15,8,9,4,9,7,8,12,6
201712,4668,13,15,6,14,12,7,6,10,11,13,9,7,3
201801,5071,17,12,19,10,13,7,5,7,13,9,6,4,4
201802,4993,16,19,10,10,12,7,12,9,8,9,8,12,11
201803,6534,20,23,12,10,11,3,10,11,11,12,18,14,4
201804,5578,11,25,15,6,11,14,12,10,12,13,7,9,7
201805,6006,22,17,12,10,11,11,10,12,7,9,10,21,6
201806,6284,18,19,18,13,13,9,15,10,14,9,10,16,2
201807,4962,15,22,9,10,6,18,8,12,13,10,13,8,7
201808,5587,9,24,15,12,10,11,13,7,19,6,7,14,9
201809,7735,18,21,20,18,10,15,12,7,10,7,11,21,13
201810,7106,30,19,13,8,10,8,18,16,9,11,10,14,8
201811,7812,18,25,17,18,16,16,11,15,7,8,12,13,4
201812,4585,15,14,13,20,25,8,15,16,13,18,12,6,12
201901,5914,19,24,14,10,9,10,14,9,19,11,15,13,9
201902,5568,16,20,31,12,12,11,18,7,9,2,16,13,7
201903,9485,28,51,22,14,18,16,13,14,12,9,12,15,9
201904,7504,38,35,21,30,15,16,8,9,8,13,13,5,7
201905,8949,37,21,35,8,20,13,18,20,15,8,13,11,5
201906,7383,42,35,17,19,9,16,20,19,13,6,10,4,5
201907,6843,46,24,17,7,13,13,9,13,8,12,7,8,13
201908,5928,18,30,21,15,19,10,8,9,12,5,4,11,4
201909,7350,32,28,17,13,9,8,10,8,8,11,22,14,8
201910,8082,36,28,20,12,4,12,11,12,8,14,17,8,12
201911,8276,19,50,20,13,10,12,8,12,8,14,10,13,7
201912,5840,24,21,14,11,18,13,11,12,18,14,18,12,8
202001,7356,35,18,13,15,5,10,19,19,14,13,17,15,7
202002,7082,24,30,18,14,13,23,13,12,21,16,21,12,8
202003,6901,27,23,17,16,14,12,13,13,15,9,16,13,18
202004,1734,29,10,8,13,14,5,19,5,6,14,12,16,6
202005,3369,16,18,12,8,8,6,8,13,12,8,10,7,9
202006,5281,15,36,18,15,15,14,10,8,15,17,11,14,7
202007,8893,27,36,15,14,15,10,8,11,15,24,11,18,4
202008,6708,24,25,27,13,13,16,18,11,13,14,19,3,8
202009,10627,33,42,28,14,22,9,12,8,18,25,11,13,10
202010,11293,39,41,27,24,22,27,15,19,24,20,13,18,7
202011,8968,39,25,36,19,30,15,26,42,16,16,17,13,7
202012,8470,33,39,31,24,14,29,21,18,9,16,14,5,5
202101,5450,46,35,24,17,15,18,8,11,13,10,7,9,11
202102,9443,28,31,21,19,22,12,12,10,8,8,9,13,11
202103,8348,37,38,26,27,12,10,10,13,10,12,16,13,8
202104,8631,30,35,36,8,16,21,19,10,11,13,7,9,7
202105,6474,44,68,13,22,22,14,14,15,12,3,9,14,7
202106,4818,43,35,20,13,7,21,9,16,18,10,11,10,4
202107,5231,29,20,16,16,14,12,14,11,13,8,10,12,4
202108,6139,25,37,30,16,9,14,12,6,6,15,10,11,10
202109,6886,30,29,17,11,15,14,7,12,12,10,9,12,8
202110,5914,28,24,16,14,7,11,12,11,7,2,7,10,14
202111,5241,17,23,19,16,10,8,12,3,7,11,7,11,4
202112,4913,16,24,18,21,13,15,12,8,5,13,16,5,6
202201,5585,26,29,13,14,9,15,2,8,3,13,10,7,5
202202,5901,25,26,22,23,16,11,6,9,13,7,7,14,6
202203,5597,29,27,16,21,17,11,11,7,10,16,9,12,3
202204,5214,24,39,29,24,14,7,7,5,8,12,16,5,4
202205,5840,30,46,23,13,10,12,12,16,12,11,8,5,8
202206,4789,27,26,22,15,16,7,6,7,8,8,9,4,4
202207,4566,29,26,16,18,9,8,8,7,5,3,5,8,4
202208,3982,25,20,30,13,11,10,8,2,5,6,8,10,2
