period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,3063,15,27,10,10,11,8,6,8,13,8,16,9,12
201502,2947,29,33,16,20,19,11,16,9,12,15,12,19,14
201503,3930,25,22,17,17,11,15,14,9,13,18,16,16,5
201504,3829,32,26,17,16,8,9,5,16,9,13,20,16,11
201505,5517,17,29,10,13,13,12,13,9,13,13,15,18,10
201506,5533,20,34,12,13,15,12,13,14,5,17,17,19,4
201507,6711,16,23,18,12,16,10,14,9,12,14,11,11,7
201508,4388,21,27,14,17,13,14,20,19,15,13,7,19,10
201509,7706,21,31,16,22,20,15,17,29,20,8,23,12,14
201510,8674,26,31,12,14,22,22,15,12,15,14,16,30,13
201511,6423,34,29,16,24,21,16,10,14,16,21,14,19,19
201512,5567,24,28,25,19,13,11,10,12,15,12,22,17,13
201601,5010,21,31,17,21,13,11,12,17,13,12,20,12,12
201602,6245,37,26,23,10,22,20,13,9,19,13,19,26,11
201603,6841,29,36,30,14,21,20,16,16,20,23,18,31,6
201604,6786,35,34,23,22,18,23,21,11,12,11,21,18,9
201605,6823,37,44,26,18,21,17,19,23,18,15,22,26,12
201606,8152,31,28,24,16,16,23,15,19,26,17,20,23,14
201607,6405,33,31,16,20,16,16,14,20,19,14,13,23,8
201608,6795,25,31,22,16,10,10,25,19,22,14,16,20,13
201609,6740,23,34,23,29,21,17,12,16,15,25,18,14,12
201610,7393,38,31,18,22,19,22,15,14,22,10,11,26,16
201611,7373,34,36,24,25,24,14,18,16,20,15,14,19,10
201612,6142,25,27,29,18,17,14,21,13,15,11,28,18,15
201701,7027,24,25,17,16,10,14,12,10,10,17,12,14,10
201702,6620,37,30,15,13,16,10,15,16,20,9,23,19,19
201703,8925,21,26,27,17,12,18,13,13,10,17,17,15,15
201704,6798,23,25,19,16,18,22,7,9,13,14,14,13,14
201705,8054,32,42,23,14,14,28,9,15,25,24,15,28,10
201706,7629,38,32,16,25,21,16,18,19,24,19,20,23,12
201707,7028,27,20,16,16,9,13,15,15,17,17,13,24,7
201708,6825,32,24,13,16,17,14,14,23,12,16,12,16,8
201709,8382,25,39,17,16,12,11,14,16,12,13,13,12,12
201710,8207,36,34,24,14,15,19,15,17,20,15,16,15,12
201711,8510,21,37,29,28,23,15,16,6,14,13,12,17,9
201712,5669,25,22,15,18,15,10,12,14,17,19,19,13,5
201801,6302,21,21,23,17,17,14,9,14,18,13,8,12,8
201802,6448,20,27,20,18,19,12,14,13,14,17,14,16,13
201803,8071,32,29,14,16,14,4,13,15,13,13,24,21,7
201804,6934,16,42,23,11,14,23,16,14,15,22,17,15,9
201805,7544,27,23,14,17,13,15,12,21,8,16,18,30,9
201806,7597,23,31,26,19,18,11,22,15,18,14,17,22,3
201807,6336,22,26,19,13,8,28,17,18,20,15,15,15,8
