period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,2000,13,15,9,3,4,9,3,13,12,9,3,10,8
201502,2417,11,16,13,10,8,7,10,9,6,9,8,11,5
201503,3030,12,17,9,5,9,11,11,13,11,9,14,13,5
201504,2921,9,24,16,13,9,6,6,10,16,11,8,21,10
201505,3201,18,20,5,12,12,11,11,15,13,15,23,18,12
201506,3470,15,23,13,15,11,19,13,10,17,20,14,19,13
201507,3841,15,16,16,7,7,14,13,6,16,9,17,26,19
201508,2540,12,18,13,9,7,15,15,16,8,14,15,19,11
201509,4753,20,29,10,5,20,15,12,13,19,27,19,19,20
201510,3757,6,17,12,8,20,12,15,4,18,21,26,23,19
201511,3879,12,29,19,14,11,17,21,22,13,24,33,46,24
201512,2022,18,27,14,17,16,12,13,9,15,22,22,28,17
201601,2366,12,15,26,15,12,15,17,21,16,25,16,26,15
201602,2995,14,26,15,12,8,13,12,16,26,13,24,27,19
201603,3436,20,26,24,22,11,9,12,17,21,15,19,25,12
201604,3266,18,20,12,17,15,16,17,30,19,15,27,16,19
201605,3481,18,22,15,7,18,17,21,27,22,12,18,19,16
201606,3845,21,19,10,10,15,21,12,15,14,14,20,32,18
201607,3281,23,27,16,20,20,17,19,26,27,12,22,30,24
201608,3448,19,14,8,13,10,16,25,16,13,21,26,24,17
201609,3442,18,28,16,22,14,28,14,19,15,21,27,20,20
201610,3273,25,21,20,20,21,19,12,18,16,18,16,32,25
201611,3465,18,25,28,21,14,17,13,20,25,24,33,47,21
201612,2233,16,21,20,11,10,15,20,15,11,25,19,27,21
201701,3072,13,16,10,11,9,10,18,8,13,21,12,12,14
201702,3043,20,15,14,8,16,13,10,25,18,15,23,17,12
201703,3506,10,19,13,8,7,8,16,19,16,24,13,19,12
201704,2918,14,17,8,5,7,7,18,14,13,11,15,21,10
201705,4339,13,18,16,10,20,21,15,16,17,18,16,28,9
201706,4201,12,21,14,18,19,8,14,23,20,12,19,18,14
201707,3052,11,16,13,6,9,21,11,18,11,6,23,17,11
201708,3299,15,22,19,12,15,18,16,19,16,18,17,24,10
201709,3612,25,27,17,15,8,17,23,14,11,15,17,15,21
201710,3919,20,20,30,11,23,16,15,21,13,19,21,27,18
201711,3880,11,17,27,18,18,28,17,15,16,20,20,24,15
201712,1822,18,16,16,9,10,20,15,10,11,23,30,20,25
201801,2499,16,22,13,14,14,15,8,10,8,9,20,17,14
201802,2821,25,25,13,12,9,10,17,9,14,10,21,20,8
201803,4079,20,15,14,9,11,7,14,15,19,14,10,22,10
201804,3010,8,15,12,15,8,11,18,19,15,19,11,16,11
201805,3204,11,17,8,12,13,20,14,19,14,22,17,23,9
201806,3155,11,21,11,16,10,11,19,11,20,18,24,25,18
201807,2792,6,18,16,13,11,16,12,18,13,27,20,18,20
201808,2882,11,20,14,18,22,11,19,16,21,14,18,32,24
201809,3011,15,22,14,19,18,19,15,18,13,18,42,33,23
201810,3571,22,21,21,23,18,11,19,13,21,38,29,40,25
201811,4696,24,28,16,20,13,17,17,12,31,28,27,28,38
201812,2752,21,17,19,17,12,7,19,22,13,19,18,37,36
201901,4171,19,27,11,17,7,15,22,14,27,12,27,26,9
201902,4267,23,22,18,10,14,22,13,18,14,15,23,14,11
201903,3509,19,29,12,13,17,12,14,11,15,24,24,7,5
201904,4933,26,17,10,22,16,9,12,12,12,11,16,17,21
201905,4371,10,26,24,8,11,14,15,16,11,12,14,24,8
201906,4673,19,24,23,20,16,15,22,13,22,18,20,21,5
201907,4412,46,18,20,10,13,14,11,15,7,11,17,10,10
201908,3725,28,34,20,18,27,10,18,7,14,12,20,14,23
201909,4790,36,28,22,18,7,13,9,21,9,18,20,30,15
201910,5649,21,34,18,20,14,6,26,15,21,15,31,27,25
201911,5228,24,31,18,15,15,17,14,9,18,24,17,28,25
201912,3375,30,40,25,8,21,4,14,22,22,20,22,22,17
202001,4570,24,37,14,22,11,12,21,28,19,28,23,22,19
202002,5383,24,21,23,6,9,17,23,17,14,21,15,20,16
202003,5189,15,21,12,11,19,21,15,19,17,16,13,17,20
202004,1209,28,14,9,13,15,6,10,16,20,24,24,25,10
202005,1984,10,15,14,16,12,11,7,8,10,12,17,10,12
202006,4309,19,26,20,10,13,9,15,13,18,28,14,22,17
202007,5161,29,20,14,20,16,15,21,20,20,20,17,36,9
202008,5198,22,23,22,21,17,16,18,16,9,24,43,19,17
202009,7651,35,36,32,14,21,17,21,7,21,37,14,17,14
202010,5316,40,41,16,31,18,13,20,23,48,18,26,27,16
202011,6728,42,38,34,25,24,18,22,55,24,19,28,25,17
202012,4637,36,46,30,24,18,22,32,25,10,15,24,14,17
202101,5586,38,49,32,24,32,24,8,10,11,12,11,20,13
202102,7552,32,48,19,24,25,13,21,15,15,25,17,21,15
202103,6230,41,56,27,29,12,19,20,13,10,11,22,29,14
202104,5957,25,44,34,11,20,16,23,15,18,25,22,17,12
202105,7015,31,64,19,19,20,23,18,24,23,24,31,19,15
202106,4958,61,35,19,18,23,14,25,25,19,18,11,16,11
202107,5506,28,28,14,20,17,23,16,28,20,26,27,16,15
202108,5626,20,37,29,20,23,21,22,27,20,19,15,19,15
202109,6961,26,33,29,41,23,22,33,15,21,21,19,29,22
202110,5435,29,29,29,23,35,32,6,30,18,16,30,35,25
