period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,2145,16,18,11,4,6,9,4,14,13,10,5,12,8
201502,2621,12,21,15,10,9,9,12,9,7,9,8,15,7
201503,3247,13,20,11,7,9,12,12,13,11,12,16,15,6
201504,3139,12,29,16,14,10,6,8,10,18,14,10,23,12
201505,3526,21,20,8,13,12,11,14,17,13,20,25,22,13
201506,3796,17,26,15,19,13,19,15,12,17,22,18,23,14
201507,4030,17,18,18,10,8,18,15,6,21,11,19,30,19
201508,2795,13,19,14,12,7,18,17,17,11,16,16,21,11
201509,5049,21,32,15,6,21,17,14,15,21,29,23,22,22
201510,4176,6,21,13,9,23,14,17,5,20,27,29,28,23
201511,4328,15,33,20,16,12,21,22,27,19,27,36,50,24
201512,2305,19,30,18,19,20,15,14,12,16,25,26,28,21
201601,2648,15,20,29,21,13,16,18,26,24,29,17,28,15
201602,3303,17,26,17,14,11,18,16,19,29,15,32,29,23
201603,3843,22,32,27,27,12,13,15,22,25,19,22,26,12
201604,3650,21,25,13,17,19,19,18,31,23,18,30,17,20
201605,3961,19,27,17,8,20,19,23,28,25,15,24,22,20
201606,4299,26,25,13,10,15,23,14,17,19,16,21,38,21
201607,3648,27,31,19,22,26,21,24,30,29,15,28,36,25
201608,4031,22,18,13,17,11,20,28,18,18,28,30,30,21
201609,3994,19,31,17,25,17,29,17,22,19,24,32,22,21
201610,3718,31,22,20,26,25,25,17,20,19,22,22,36,30
201611,4024,21,27,31,24,16,19,17,26,29,27,44,54,26
201612,2669,21,23,27,14,13,19,24,19,16,29,25,36,23
201701,3370,16,21,14,17,11,12,22,12,16,23,15,14,16
201702,3650,21,16,17,9,17,16,12,28,20,17,29,25,13
201703,3995,10,25,15,8,7,8,19,20,19,26,18,21,17
201704,3215,16,19,10,7,8,10,21,15,14,14,17,24,13
201705,4757,18,24,20,11,21,25,17,18,18,21,19,33,11
201706,4665,14,24,17,19,21,10,18,27,24,15,21,19,16
201707,3414,12,16,16,7,11,25,13,23,16,11,25,18,12
201708,3741,16,23,22,16,18,21,19,20,17,20,20,26,12
201709,3838,28,30,19,18,9,22,26,16,11,19,22,17,22
201710,4148,20,20,36,15,23,20,22,24,17,19,22,29,21
201711,4442,12,24,30,27,22,32,24,17,20,24,23,29,17
201712,2149,21,19,21,10,12,23,18,11,12,27,35,26,27
201801,2707,17,27,14,14,17,17,9,13,10,12,23,21,16
201802,3355,26,30,16,13,10,10,17,13,17,12,26,25,9
201803,4427,22,17,20,10,11,9,15,16,23,20,11,24,13
201804,3376,9,15,13,16,8,12,19,23,18,20,13,18,14
201805,3585,11,19,10,13,16,22,19,24,20,24,20,32,11
201806,3514,13,22,12,22,15,12,23,14,23,23,28,29,20
201807,3105,6,20,18,16,14,21,14,21,17,28,21,21,22
201808,3319,14,24,15,20,28,11,21,19,24,15,25,34,27
201809,3317,18,25,17,23,19,23,17,22,18,19,44,33,25
201810,3807,23,25,23,24,19,13,21,14,23,41,31,44,29
201811,4886,26,30,18,24,20,18,18,14,34,28,33,30,40
201812,2825,21,20,20,19,14,9,22,23,16,25,20,38,37
201901,4194,21,30,11,17,8,16,24,15,32,15,28,26,11
201902,4281,24,22,18,10,15,25,13,20,15,15,24,14,11
201903,3512,19,29,13,13,22,13,14,13,16,27,28,9,5
201904,4935,27,18,10,22,17,10,14,13,13,11,16,18,22
201905,4373,10,27,26,8,11,14,16,17,11,14,14,24,8
201906,4674,20,26,27,20,18,16,24,14,24,18,21,22,5
201907,4415,50,18,21,10,18,15,14,15,7,11,17,11,10
201908,3732,29,35,21,18,28,13,18,7,15,12,21,14,23
201909,4790,37,32,23,19,7,13,9,21,9,19,20,30,15
201910,5650,24,35,18,21,14,6,27,16,23,15,32,28,26
201911,5231,27,31,20,15,15,17,14,10,18,24,19,28,25
201912,3374,30,41,26,8,22,4,14,22,24,20,22,24,17
202001,4572,26,38,15,23,11,13,21,28,19,28,24,22,19
202002,5388,27,23,23,6,9,17,23,17,14,21,15,20,16
202003,5189,17,21,12,12,19,21,16,19,17,16,14,17,22
202004,1209,29,14,9,13,15,6,10,16,20,24,24,25,10
202005,1984,11,15,14,16,12,11,7,8,11,12,17,10,12
202006,4309,19,26,20,10,14,9,15,13,18,28,14,22,17
202007,5162,29,20,14,20,16,15,21,20,20,20,17,36,9
202008,5198,22,23,23,21,18,17,18,16,9,25,44,20,17
202009,7651,35,37,32,14,22,17,21,8,22,37,14,17,14
202010,5316,40,41,17,32,18,13,20,23,49,18,26,29,16
202011,6728,45,39,34,25,25,18,22,56,25,19,29,25,17
202012,4637,36,46,30,24,18,23,32,26,10,16,26,14,17
202101,5585,39,50,33,24,32,24,8,11,12,12,11,20,13
202102,7552,32,48,19,25,27,13,21,15,16,26,18,21,15
202103,6230,42,58,28,29,12,19,20,14,10,11,23,29,14
202104,5957,25,44,35,11,22,17,23,15,18,25,22,18,13
202105,7015,32,65,19,20,20,23,18,24,23,24,32,19,15
202106,4958,62,35,20,18,23,14,25,25,19,19,11,16,12
202107,5506,28,32,14,20,17,23,18,29,20,26,27,16,15
202108,5627,21,38,30,20,23,21,22,27,20,21,16,19,15
202109,6961,26,33,30,42,26,22,33,16,21,22,19,30,22
202110,5435,31,31,29,23,36,34,6,30,21,16,30,36,25
202111,5931,29,35,41,37,36,29,33,18,23,26,30,52,25
202112,4224,30,46,35,27,22,22,19,16,15,34,48,28,14
202201,4482,27,26,27,30,25,19,24,32,28,40,27,29,17
202202,4917,23,44,35,18,19,14,18,26,41,30,36,32,22
202203,5397,25,28,27,20,17,24,36,39,26,33,32,20,17
202204,4567,17,38,16,16,30,25,37,33,18,31,28,14,20
202205,5630,32,28,20,18,30,36,21,23,17,26,14,22,12
202206,4916,24,18,23,19,35,28,28,35,27,17,12,18,11
202207,4269,25,29,20,27,17,26,30,14,22,13,18,12,12
