period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,51416,255,261,146,125,115,103,87,109,120,141,157,173,75
201502,45964,244,206,105,103,70,81,113,115,133,121,128,144,75
201503,33075,156,152,108,87,83,98,91,112,102,95,125,123,56
201504,19190,125,132,82,83,93,96,118,101,104,94,105,92,40
201505,17510,106,95,67,119,111,90,103,112,115,109,101,95,58
201506,20575,115,95,108,111,94,111,93,105,101,92,82,86,38
201507,25448,111,139,118,111,90,101,118,113,103,93,93,102,60
201508,26485,177,255,148,158,132,146,129,120,106,113,132,155,67
201509,62880,291,340,241,195,213,196,174,135,131,145,130,185,91
201510,70998,289,345,235,190,196,181,146,168,169,168,175,194,110
201511,68756,280,291,234,187,159,124,154,150,144,157,177,191,70
201512,43408,266,283,222,178,139,164,170,229,202,205,190,176,106
201601,37510,211,240,163,121,140,190,243,190,162,164,168,139,81
201602,35151,179,179,122,126,171,180,176,131,153,115,152,124,67
201603,27990,168,149,120,146,147,163,115,150,117,117,114,141,48
201604,19890,113,149,123,129,141,102,90,97,92,94,111,95,49
201605,14685,134,121,138,124,118,121,104,99,87,84,72,104,59
201606,19496,129,169,157,133,99,131,109,87,100,70,94,151,88
201607,24934,101,166,126,140,107,96,115,90,78,85,141,154,93
201608,29755,115,188,187,141,117,89,123,83,93,149,164,177,93
201609,33442,183,216,173,144,123,144,99,123,190,193,264,249,116
201610,37906,182,261,167,136,131,112,125,153,214,262,228,177,95
201611,39819,176,202,112,135,100,100,123,151,159,159,172,148,69
201612,22447,138,137,133,79,119,130,137,144,104,116,121,107,44
201701,17241,133,127,76,75,82,87,104,82,95,94,96,73,45
201702,9731,79,82,70,64,82,67,79,64,88,60,67,73,32
201703,9635,48,71,57,56,56,48,53,64,59,40,47,46,27
201704,4707,57,65,58,53,39,45,47,38,39,39,30,36,16
201705,4098,35,33,41,42,33,45,39,36,22,25,26,19,17
201706,3386,44,46,34,45,51,37,32,32,33,21,24,39,13
201707,3321,54,66,42,52,28,33,30,30,26,25,42,34,15
201708,3157,59,67,64,24,34,40,38,31,30,45,42,16,13
201709,4079,48,72,30,29,26,38,20,37,29,24,28,35,12
201710,3447,58,39,49,30,25,24,25,35,26,18,24,34,15
201711,3020,32,49,30,23,19,28,28,16,15,21,22,18,11
201712,1467,25,33,23,11,15,17,16,18,14,16,23,11,6
201801,1803,25,22,12,10,12,14,8,23,20,11,8,10,4
201802,1831,18,18,9,16,8,7,5,9,6,9,8,3,2
201803,857,19,14,12,9,3,10,13,11,13,3,5,5,3
201804,1070,15,10,14,11,8,8,6,9,6,1,2,8,2
201805,574,17,12,5,6,6,5,4,10,6,7,4,6,5
201806,788,18,10,6,6,5,6,7,2,6,4,3,5,2
201807,558,14,13,4,11,3,6,5,7,3,2,6,4,4
201808,492,16,11,9,4,4,4,9,5,4,3,2,9,6
201809,654,26,10,6,10,5,5,2,5,1,5,10,9,4
201810,439,22,16,10,12,6,1,7,4,8,5,6,10,4
201811,552,19,11,8,5,10,7,7,9,6,5,8,14,2
201812,738,16,9,11,5,4,5,9,3,2,2,7,7,5
201901,791,13,7,2,2,7,3,2,5,2,3,1,4,3
201902,371,11,6,4,1,1,1,5,3,3,2,2,4,2

