period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,70493,522,481,334,244,248,229,188,222,225,239,236,291,125
201502,72679,550,479,261,283,270,221,262,285,271,228,251,283,165
201503,77398,499,417,288,244,177,231,237,225,211,233,220,272,125
201504,56395,404,383,264,215,222,240,202,203,210,220,225,214,115
201505,54766,422,370,219,207,230,231,177,182,173,195,191,169,76
201506,58983,419,332,277,251,211,195,198,213,172,147,174,200,85
201507,56161,339,408,264,227,193,198,184,181,170,162,195,158,106
201508,49462,398,365,266,218,194,194,198,157,174,172,152,164,71
201509,63857,378,353,240,217,197,217,207,168,169,152,163,161,92
201510,66159,376,350,262,223,210,167,167,151,157,155,163,132,86
201511,59740,336,341,244,206,172,176,162,127,136,130,134,155,79
201512,53170,295,354,251,252,194,163,129,141,153,120,174,157,89
201601,51881,373,307,202,171,174,175,113,129,122,142,128,150,73
201602,44215,321,290,190,160,140,143,125,123,131,136,132,156,57
201603,45099,308,263,175,137,116,143,135,150,132,127,130,160,54
201604,42381,251,259,153,142,142,123,137,127,126,108,138,108,50
201605,39154,295,232,172,167,167,161,146,135,122,129,108,131,66
201606,47263,235,242,200,193,177,151,158,139,154,127,123,113,63
201607,44877,270,263,223,208,179,165,143,169,121,128,124,109,78
201608,40064,282,244,221,162,174,151,160,101,127,134,122,115,66
201609,50687,259,328,199,176,144,166,116,142,133,121,117,147,55
201610,44988,217,219,215,192,153,129,121,128,95,121,96,125,79
201611,50810,246,234,177,171,93,119,91,107,109,124,101,101,47
201612,25628,214,212,152,99,106,111,86,98,100,93,97,100,52
201701,21244,205,182,108,83,78,84,83,88,64,66,69,100,33
201702,17744,178,120,87,70,75,69,73,63,48,46,62,65,26
201703,17836,111,103,52,70,54,44,50,46,56,47,54,39,34
201704,11181,114,75,55,54,43,58,48,49,49,42,42,39,18
201705,8857,99,59,57,45,36,43,23,31,33,36,32,37,19
201706,6215,87,57,38,31,49,30,51,33,34,39,36,26,23
201707,6297,69,54,44,32,33,38,34,28,28,34,22,26,8
201708,4599,65,54,37,18,31,31,33,19,23,22,30,22,8
201709,6627,51,45,35,32,19,31,16,13,19,20,28,20,14
201710,4837,54,29,23,30,21,22,15,21,23,14,9,12,7
201711,5862,36,37,30,24,18,19,15,18,12,13,17,15,6
201712,2789,43,33,25,24,20,15,11,13,14,23,17,16,11
201801,4015,35,26,20,20,19,13,12,12,14,11,13,11,7
201802,3702,36,26,27,18,15,15,13,11,15,13,18,14,5
201803,5358,33,38,25,16,23,9,14,18,15,18,12,12,6
201804,4476,37,29,21,23,25,14,17,10,9,13,17,12,9
201805,5235,35,25,19,13,6,12,7,7,11,19,9,14,1
201806,2701,31,23,13,16,13,10,10,8,17,5,10,12,3
201807,2541,28,17,18,12,11,13,7,10,7,5,7,4,4
201808,2265,25,17,11,10,10,16,6,6,5,8,10,11,8
201809,2962,26,17,5,7,10,10,8,9,7,5,6,7,8
201810,2443,28,22,19,12,19,13,14,10,7,11,12,10,3
201811,6852,20,19,12,18,5,10,7,8,7,16,17,10,4
201812,1774,13,22,13,9,7,6,8,9,4,12,6,4,1
201901,1150,17,8,6,11,5,3,3,4,7,7,3,2,1
201902,361,16,13,6,1,10,5,3,9,10,4,4,6,1
201903,573,8,7,5,6,5,4,4,2,3,3,1,5,1
201904,569,9,10,4,2,6,2,2,4,3,3,1,3,1

