period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,71166,535,492,337,252,251,236,194,228,230,245,244,296,127
201502,73251,561,497,267,290,277,222,268,298,274,233,255,289,170
201503,77782,514,431,298,251,179,239,241,233,213,238,224,281,129
201504,56610,414,395,271,221,225,244,208,211,214,224,232,220,120
201505,54858,435,375,225,213,235,236,177,186,176,201,194,176,77
201506,59071,427,340,281,256,214,201,199,216,174,152,176,204,87
201507,56270,350,416,273,231,197,202,185,188,174,168,201,158,110
201508,49499,405,374,270,220,199,195,200,165,178,172,155,167,74
201509,63909,386,358,247,225,201,220,208,171,172,158,164,163,94
201510,66156,392,359,268,230,214,171,170,155,160,161,165,136,87
201511,59747,347,341,249,212,174,179,163,129,139,132,137,159,81
201512,53177,304,360,253,253,200,165,133,144,158,123,177,161,90
201601,51890,377,312,202,173,177,176,117,130,123,146,130,154,76
201602,44232,328,290,191,161,144,144,127,126,133,137,133,159,57
201603,45118,314,269,179,141,116,147,137,151,138,130,134,166,54
201604,42389,254,261,153,142,144,126,140,128,126,109,141,108,53
201605,39170,298,239,174,170,169,165,148,135,125,130,118,132,67
201606,47271,237,245,203,197,179,155,161,140,157,130,129,114,66
201607,44891,273,263,227,210,180,166,145,171,123,131,128,110,78
201608,40082,282,247,222,162,175,152,163,102,133,136,122,117,67
201609,50690,260,329,199,176,150,167,118,143,134,122,120,148,56
201610,44990,219,220,216,192,156,129,122,130,96,122,102,127,79
201611,50822,247,235,177,174,93,122,92,108,111,125,103,105,49
201612,25631,220,214,152,102,107,113,90,99,101,94,98,100,52
201701,21255,208,183,110,85,78,85,83,89,67,67,71,101,33
201702,17749,186,120,90,71,77,70,75,63,49,47,62,65,26
201703,17842,113,106,52,70,54,46,51,46,58,48,56,40,34
201704,11185,118,76,56,55,43,58,50,50,53,42,42,42,19
201705,8860,100,61,59,46,37,43,25,34,33,36,34,38,20
201706,6224,90,57,38,31,50,32,53,34,35,40,37,27,24
201707,6300,71,54,44,35,33,39,36,29,29,37,22,26,10
201708,4601,66,55,39,18,32,32,35,19,24,22,31,23,8
201709,6633,52,47,37,34,20,31,17,16,21,22,30,20,15
201710,4839,56,31,23,31,21,23,16,22,23,16,10,14,8
201711,5869,37,38,30,28,18,21,17,20,12,14,17,17,6
201712,2788,45,35,27,28,20,16,11,14,18,24,18,17,12
201801,4020,35,27,23,21,19,14,13,12,14,11,14,11,7
201802,3706,36,27,28,20,16,16,15,13,16,13,18,15,6
201803,5359,36,38,26,18,23,9,14,19,15,19,12,12,7
201804,4479,42,32,22,24,25,15,17,10,9,13,17,12,9
201805,5237,35,27,20,15,7,15,8,9,11,19,11,14,1
201806,2703,36,26,14,17,14,10,10,10,17,5,10,12,3
201807,2543,31,18,18,13,11,14,8,10,7,5,7,4,4
201808,2266,28,19,12,11,10,17,6,6,6,9,10,12,8
201809,2964,28,18,5,8,10,12,9,9,8,6,7,9,8
201810,2443,29,23,20,12,20,14,14,11,8,11,12,10,5
201811,6852,22,19,12,18,6,10,8,9,9,17,18,11,4
201812,1774,13,23,14,9,8,6,8,9,6,12,6,4,1
201901,1150,18,9,6,12,5,4,4,4,7,8,3,2,2
