period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,9963,50,63,46,43,53,36,43,45,44,47,62,52,30
201502,11137,81,73,43,44,39,47,46,48,55,48,51,68,39
201503,9947,61,63,39,43,37,38,42,45,44,46,46,44,17
201504,8088,44,66,54,43,50,59,54,52,48,58,54,58,21
201505,10689,66,87,64,52,59,63,41,67,61,59,46,51,34
201506,10190,69,63,49,68,40,40,52,45,42,51,42,51,33
201507,8372,59,75,73,67,38,51,55,50,55,44,44,44,15
201508,8211,77,71,71,74,55,59,63,52,38,51,38,51,33
201509,11061,87,96,48,61,55,53,68,43,59,35,63,51,19
201510,9289,67,83,56,76,57,57,49,49,39,48,46,66,29
201511,8142,67,59,54,48,58,46,62,51,36,44,34,54,19
201512,4339,45,65,40,41,40,35,33,29,22,39,59,38,26
201601,2945,38,43,23,33,31,25,26,25,34,30,33,37,17
201602,3644,58,53,36,30,27,27,29,16,38,29,35,20,25
201603,3905,34,48,24,20,18,21,22,23,18,20,30,34,10
201604,2803,32,25,17,17,15,15,25,18,25,19,25,25,8
201605,1796,23,16,9,12,16,19,16,18,19,21,21,12,12
201606,1915,23,15,19,13,20,20,16,29,24,13,18,15,8
201607,2157,24,25,16,16,16,17,16,16,13,15,18,17,6
201608,1359,26,29,20,13,26,20,20,12,19,19,19,13,11
201609,1744,19,29,20,19,20,14,17,22,21,13,12,14,11
201610,1551,18,23,11,11,13,9,9,16,12,13,8,15,9
201611,1525,23,17,18,16,9,9,11,10,4,9,20,29,7
201612,1164,13,16,9,5,11,9,9,8,5,6,11,13,7
201701,530,13,12,6,4,7,6,8,6,6,4,6,7,7
201702,609,14,8,8,4,4,5,9,6,7,2,9,5,3
201703,535,8,5,6,8,5,3,5,8,7,7,6,12,2
201704,382,14,5,3,4,2,2,7,8,4,5,9,4,5
201705,517,9,5,5,5,3,3,3,7,2,4,3,9,4
201706,439,8,6,3,6,7,1,9,4,5,10,4,3,2
201707,356,7,3,9,5,5,4,5,7,4,6,1,8,1
201708,230,11,9,9,4,4,4,5,3,5,7,2,2,1
201709,624,6,8,5,6,2,5,3,3,5,1,4,2,2
201710,622,6,11,2,4,9,6,4,2,3,3,5,5,3
201711,291,7,12,6,6,3,1,3,2,5,4,2,6,2
201712,366,7,7,3,4,2,3,2,3,3,2,4,6,1
201801,174,4,3,2,3,1,1,1,2,2,2,3,3,2
201802,438,3,2,2,1,3,1,1,2,1,2,1,5,1
