period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,10801,67,97,58,63,65,50,54,64,59,72,86,75,50
201502,12468,99,91,53,56,46,56,60,66,85,69,72,92,50
201503,10885,80,83,53,52,40,46,55,70,66,54,79,65,24
201504,8943,59,86,64,50,59,88,69,72,68,83,74,74,34
201505,11790,81,98,78,62,72,76,55,83,82,85,61,69,41
201506,11285,85,81,59,87,59,65,69,59,56,63,50,63,37
201507,9881,69,91,90,85,56,69,66,67,64,67,58,63,23
201508,9468,96,94,91,89,75,77,79,64,59,64,48,79,41
201509,15081,109,116,71,86,78,86,83,71,76,49,91,73,38
201510,15965,96,123,85,108,86,94,86,84,63,76,76,107,63
201511,16336,101,105,89,83,93,91,95,86,79,79,72,119,50
201512,11612,81,119,79,81,76,69,63,59,57,80,107,101,57
201601,9388,78,90,57,73,76,50,65,56,82,86,83,92,44
201602,11785,103,106,82,58,55,48,63,51,86,81,89,74,60
201603,11426,94,88,54,50,47,52,58,55,73,73,96,96,31
201604,10772,103,75,42,47,42,54,73,51,55,69,72,68,42
201605,9377,59,53,41,44,55,56,46,62,51,71,71,61,28
201606,10203,64,53,55,48,66,53,47,63,72,46,64,58,28
201607,11239,70,81,48,49,54,62,65,68,60,64,80,55,35
201608,11754,94,90,72,60,72,81,83,66,67,81,65,67,53
201609,15022,95,131,77,64,101,77,77,97,67,57,75,81,62
201610,15742,115,115,71,57,86,47,67,81,68,70,72,101,68
201611,16527,89,85,72,71,51,62,59,42,41,65,79,115,48
201612,12283,81,94,60,42,54,42,34,42,44,50,76,82,48
201701,11589,91,82,53,34,37,33,43,36,41,46,56,69,40
201702,11175,85,54,47,43,36,35,41,37,37,43,66,44,28
201703,11947,65,64,44,35,25,32,38,49,43,45,53,51,24
201704,9164,68,51,32,37,24,25,33,41,43,50,31,42,21
201705,10633,63,55,38,37,31,33,36,41,39,38,52,36,21
201706,11835,66,66,39,30,53,32,47,35,49,41,34,34,26
201707,9538,66,74,54,49,45,47,32,44,33,42,24,36,10
201708,11199,80,75,65,48,56,48,50,43,48,46,39,26,19
201709,14275,72,99,48,66,45,44,47,43,35,39,36,43,42
201710,15503,90,89,71,51,65,51,37,37,40,56,46,69,44
201711,16483,81,128,72,63,49,42,49,41,43,41,63,58,29
201712,12171,88,89,75,44,46,41,38,41,38,34,54,52,28
201801,13311,85,69,52,49,31,41,35,45,43,44,42,48,19
201802,13012,80,62,41,39,26,30,40,21,49,44,59,48,32
201803,11784,77,93,31,40,34,32,40,37,27,42,43,50,19
201804,11580,73,66,55,30,42,54,37,43,45,47,38,48,26
201805,12595,99,63,41,42,40,34,37,27,31,50,34,53,14
201806,12811,62,71,42,44,40,36,38,31,45,26,43,33,18
201807,13258,80,70,64,40,45,50,40,52,41,32,31,33,17
201808,12661,73,98,56,46,53,35,52,37,41,44,40,37,30
201809,15281,118,97,76,76,51,55,49,58,46,47,43,28,39
201810,19792,111,114,84,66,75,52,63,51,45,40,39,72,34
201811,20918,96,120,81,57,47,55,48,42,51,31,59,72,34
201812,13105,116,109,71,43,49,41,39,45,40,46,48,59,34
201901,15173,72,93,61,54,40,33,34,39,38,57,37,52,32
201902,13260,88,87,61,41,38,43,34,31,27,33,42,47,30
201903,12399,69,80,42,26,40,26,26,30,37,51,47,39,9
201904,12306,107,62,50,33,43,42,31,26,39,43,38,21,24
201905,11273,59,72,34,31,29,34,24,39,35,23,27,32,22
201906,11788,62,61,44,45,35,33,49,27,42,16,27,35,23
201907,12157,95,76,61,53,30,40,38,39,24,31,39,40,23
201908,11887,64,82,60,47,54,39,30,31,28,44,43,48,30
201909,17231,100,90,53,49,55,49,30,34,50,53,45,57,30
201910,19631,113,101,86,76,46,36,36,50,46,53,69,68,48
201911,19741,118,121,71,54,30,50,41,48,54,59,66,85,42
201912,14621,98,93,61,32,35,51,40,46,46,64,60,69,43
202001,14124,105,79,57,41,26,36,49,49,63,62,59,54,25
202002,15721,67,44,52,44,37,33,42,47,49,64,53,52,29
202003,14030,54,65,41,31,34,31,31,41,37,53,44,51,30
202004,6224,57,49,35,31,36,32,33,28,44,27,43,41,20
202005,9524,71,62,62,30,38,29,28,34,32,41,45,29,19
202006,14342,53,68,48,46,45,44,46,35,48,29,33,48,25
202007,16787,61,84,54,49,44,33,37,39,39,40,39,51,26
202008,13861,98,101,67,45,41,45,41,46,45,45,54,43,25
202009,15132,107,124,81,63,47,60,49,47,59,61,51,73,43
202010,18714,125,127,71,76,67,72,46,56,51,51,68,70,54
202011,21394,119,126,79,81,68,61,50,63,49,52,70,71,35
202012,14756,91,110,68,51,42,41,37,42,51,49,49,71,34
202101,13924,87,107,73,43,36,43,26,48,46,47,46,44,38
202102,18208,109,95,61,61,60,34,35,53,37,51,31,50,36
202103,23352,105,80,73,57,44,42,36,25,35,61,56,43,31
202104,19432,117,90,74,61,38,40,40,41,49,45,44,28,30
202105,18895,83,117,49,42,40,56,43,46,40,56,41,36,19
202106,17559,125,96,63,60,44,43,57,60,46,33,37,31,27
202107,18907,112,116,79,71,52,57,42,45,42,31,52,49,22
202108,16683,185,165,97,81,59,65,58,53,44,45,34,44,28
202109,20709,157,177,95,74,72,59,43,59,43,47,35,41,24
202110,21756,191,155,103,87,65,64,50,64,57,44,55,65,32
202111,16991,168,132,68,80,70,65,50,37,50,51,76,69,21
202112,17536,138,138,86,53,53,48,52,30,45,51,72,51,40
202201,15491,129,115,60,49,33,40,41,48,47,43,50,54,23
202202,14368,124,100,53,58,37,30,49,34,47,48,51,43,30
202203,12809,80,88,61,39,38,49,47,47,37,45,44,44,18
202204,11183,85,67,37,31,38,37,52,46,46,42,39,29,19
202205,11628,64,74,43,33,35,57,38,38,50,46,26,47,17
202206,9336,65,63,42,28,47,43,38,32,35,31,42,29,18
202207,9865,60,72,53,49,42,46,31,52,36,36,30,26,12
