period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,541,16,18,14,13,8,4,5,9,8,11,6,10,5
201502,507,13,10,10,7,7,6,1,5,5,11,5,5,5
201503,673,8,10,17,14,4,6,7,4,7,3,3,7,7
201504,1300,9,17,9,6,5,12,5,6,4,5,7,4,1
201505,1954,12,19,5,12,8,13,5,5,8,4,8,8,2
201506,1963,20,20,23,4,9,14,11,8,8,8,9,5,4
201507,2776,16,23,23,15,15,17,15,12,12,6,4,10,3
201508,3278,31,19,25,20,14,22,19,12,10,10,13,16,7
201509,5143,24,41,24,26,23,14,21,13,13,8,15,12,12
201510,5663,35,31,23,24,21,13,19,16,15,10,17,28,8
201511,4896,27,41,23,34,27,28,25,14,22,20,18,21,10
201512,6550,48,48,30,24,20,23,17,22,21,17,15,18,14
201601,4866,45,42,28,20,19,23,16,25,14,14,18,10,7
201602,4436,56,50,22,21,16,21,25,11,14,17,21,12,13
201603,4762,31,34,29,20,21,22,19,17,22,19,18,17,10
201604,4718,32,32,22,24,24,20,20,20,16,16,21,11,14
201605,4578,46,39,16,21,14,21,18,23,19,25,10,16,9
201606,5001,44,46,39,26,15,18,16,18,15,10,17,23,9
201607,6697,61,83,48,27,35,25,27,28,16,23,20,26,10
201608,11393,85,76,38,35,36,33,26,28,36,35,38,38,23
201609,14292,106,115,66,55,43,56,40,29,37,34,40,47,26
201610,15880,102,122,78,61,54,37,52,35,36,42,40,42,28
201611,18680,116,153,100,74,72,61,60,62,55,53,47,67,33
201612,17143,148,140,110,68,64,65,53,53,73,68,66,49,32
201701,15682,142,177,88,82,58,44,57,61,48,56,55,63,37
201702,15726,204,178,113,84,68,75,61,58,62,62,68,79,50
201703,22011,204,229,101,84,80,92,70,92,72,63,86,85,37
201704,20545,204,201,123,107,77,76,94,70,77,79,77,81,55
201705,22564,247,210,135,105,112,99,70,97,71,83,78,81,40
201706,24659,245,265,147,115,115,95,87,83,82,77,94,101,40
201707,25376,311,272,178,102,116,105,94,81,99,99,74,77,59
201708,29795,335,339,180,132,138,127,106,119,106,101,95,116,70
201709,33883,311,330,150,149,141,123,106,114,112,110,109,90,79
201710,37102,332,324,227,140,124,129,135,111,112,120,115,122,79
201711,38210,325,389,194,156,126,148,112,119,127,103,135,129,66
201712,27327,347,338,206,172,157,115,133,132,120,165,127,110,104
201801,29970,313,312,154,139,105,119,112,114,125,118,128,151,55
201802,27616,317,255,167,130,118,122,101,129,129,112,129,141,74
201803,30620,257,266,154,137,134,109,127,132,112,149,120,118,73
201804,26491,291,255,126,131,105,144,129,116,137,119,142,119,58
201805,29512,260,258,162,96,135,117,104,134,120,114,102,144,70
201806,30739,235,263,143,146,136,108,123,108,112,125,104,104,72
201807,29984,297,231,188,143,105,148,120,147,118,129,110,115,65
201808,39558,242,292,159,127,166,139,151,125,107,99,120,118,70
201809,41577,321,268,146,153,132,159,142,152,115,142,116,132,76
201810,44782,280,266,223,180,186,145,155,131,149,109,129,142,68
201811,39443,229,313,186,171,164,128,134,137,140,131,141,157,75
201812,23902,305,274,178,171,158,158,147,139,130,134,159,152,94
201901,31497,240,240,191,136,134,117,112,110,155,125,117,159,91
201902,28145,272,293,174,136,137,131,131,133,144,133,151,124,63
201903,33795,244,279,154,142,136,118,157,143,112,143,123,121,45
201904,29948,250,246,165,126,146,146,132,121,136,123,115,88,50
201905,31754,216,248,132,143,130,147,121,144,125,112,74,114,52
201906,33872,261,229,159,158,141,102,128,130,113,82,110,119,57
201907,36098,254,268,163,153,114,155,142,106,85,95,131,112,65
201908,33139,236,264,166,119,147,149,129,81,84,103,96,119,70
201909,40982,294,285,171,183,147,144,96,115,110,130,101,95,57
201910,46588,298,270,201,160,154,93,131,117,116,122,114,132,62
201911,40070,235,262,166,131,94,106,122,107,124,117,125,132,78
201912,27419,241,283,177,130,99,114,120,138,122,132,139,150,58
202001,29337,296,228,116,127,139,113,135,114,131,143,121,137,73
202002,28988,254,186,147,131,126,111,104,135,117,127,121,129,66
202003,24814,174,144,99,90,86,84,102,93,103,103,107,106,63
202004,18864,185,204,161,114,101,132,94,93,95,109,111,116,64
202005,27644,205,222,124,165,123,104,115,118,107,120,119,122,68
202006,33246,243,176,136,142,118,138,91,119,121,125,96,118,65
202007,39851,223,217,182,142,130,133,112,113,97,109,120,103,46
202008,25394,197,206,142,128,104,104,110,107,97,110,96,108,61
202009,46410,245,216,161,132,124,139,124,99,113,120,105,122,49
