period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,11426,117,139,113,82,99,77,65,77,62,88,89,75,47
201502,13465,114,129,85,103,62,64,84,71,69,90,82,82,49
201503,13418,117,102,67,65,57,68,67,72,56,58,49,70,27
201504,11051,102,101,80,65,63,62,73,68,41,63,73,80,25
201505,10110,95,107,69,90,88,65,56,62,69,79,65,56,34
201506,12148,99,105,90,84,86,79,68,79,76,58,52,66,32
201507,16835,87,134,89,108,97,85,73,72,82,84,71,74,30
201508,16990,128,172,118,134,83,87,88,96,76,79,58,78,40
201509,22633,152,167,147,85,97,102,113,85,90,78,91,95,46
201510,26879,165,217,124,132,112,104,107,97,75,80,89,99,48
201511,33231,155,166,131,136,108,96,87,80,89,70,75,104,54
201512,23721,153,173,157,124,105,97,90,78,82,72,81,107,39
201601,14125,163,173,122,103,77,66,83,88,75,74,78,70,34
201602,18204,167,151,114,85,74,77,81,66,62,91,68,82,49
201603,22594,170,180,97,94,83,78,59,79,78,66,79,74,51
201604,17775,169,148,80,72,89,68,76,77,65,69,61,76,40
201605,18947,158,160,126,82,82,82,100,67,61,73,70,74,23
201606,17029,155,167,113,91,119,94,86,70,68,77,62,67,50
201607,19469,128,188,85,106,90,87,72,86,70,88,77,70,41
201608,21027,169,170,113,101,81,87,88,69,81,86,66,82,50
201609,30379,142,150,140,87,94,104,82,100,95,70,67,80,47
201610,29563,153,202,127,98,104,77,72,81,55,84,79,93,50
201611,33275,151,152,107,99,79,88,64,65,45,76,76,97,45
201612,19383,158,141,133,90,66,68,67,62,53,80,68,75,51
201701,13648,150,127,73,82,64,49,69,55,57,59,58,71,34
201702,15296,132,132,82,59,50,71,61,56,66,56,59,69,43
201703,17387,117,112,90,52,70,81,55,67,56,66,50,73,33
201704,16259,94,116,77,47,57,55,50,52,64,58,59,62,29
201705,17523,92,111,68,54,60,50,54,69,56,52,47,49,17
201706,16496,92,126,73,67,70,68,67,63,46,56,64,49,22
201707,20875,105,130,74,65,69,80,65,55,55,52,45,49,39
