period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,238896,1719,1792,1114,862,891,796,675,787,793,871,903,959,556
201502,232390,1729,1632,962,917,783,723,848,858,845,827,874,984,545
201503,226838,1544,1346,981,791,657,766,780,795,742,728,847,895,392
201504,175361,1248,1326,915,743,762,808,767,755,700,777,817,787,390
201505,181132,1270,1293,807,876,861,773,723,732,798,791,750,751,364
201506,205213,1298,1287,1014,979,832,833,759,793,726,717,697,784,379
201507,216151,1211,1554,1063,991,838,817,848,779,747,733,803,771,417
201508,218045,1551,1699,1190,1112,917,988,924,852,775,832,733,873,461
201509,323196,1764,1922,1271,1143,1110,1085,1026,903,885,810,883,972,530
201510,366279,1815,1966,1319,1227,1158,975,953,868,818,873,928,978,580
201511,349277,1744,1910,1451,1311,1097,997,958,889,899,923,941,1154,572
201512,282909,1670,1954,1451,1231,1026,967,846,917,988,950,1073,1082,660
201601,255545,1730,1838,1236,1074,992,941,1019,950,911,969,936,995,516
201602,249765,1719,1625,1062,908,853,896,874,761,897,847,920,923,500
201603,247382,1566,1464,981,905,794,905,796,845,844,817,822,929,374
201604,216092,1374,1366,891,847,853,737,822,741,726,707,840,704,399
201605,188842,1377,1281,997,883,842,857,844,801,722,777,675,771,407
201606,213425,1228,1394,1120,968,965,917,838,797,795,656,722,795,481
201607,238581,1319,1625,1120,1061,894,886,848,891,718,764,855,832,481
201608,255472,1515,1595,1262,1015,970,882,973,713,822,888,868,945,540
201609,323759,1660,1911,1338,1127,1009,1128,839,990,998,929,1086,1180,669
201610,336251,1808,1991,1490,1211,1188,901,1001,1021,964,1100,1118,1251,721
201611,376373,1806,2038,1383,1367,961,1025,917,924,913,1055,1160,1256,552
201612,271351,1818,1812,1508,965,1017,889,890,914,891,968,1051,993,613
201701,243697,1844,1762,980,915,827,726,800,799,832,826,779,981,455
201702,230060,1827,1375,1016,787,741,787,773,733,815,688,857,838,465
201703,247096,1330,1406,884,754,682,734,722,771,663,745,722,733,392
201704,195573,1446,1286,860,770,685,726,709,625,735,666,634,706,320
201705,216663,1350,1210,879,757,739,762,571,706,619,642,631,635,285
201706,214004,1282,1436,963,838,836,691,811,704,667,640,689,720,346
201707,208499,1448,1476,993,907,709,855,736,679,629,650,650,661,333
201708,238510,1620,1745,1215,820,976,844,807,753,783,753,677,653,384
201709,320892,1707,1948,1098,1146,952,1000,799,803,783,695,706,784,551
201710,347615,1893,1885,1556,1182,1076,933,941,931,834,798,859,1076,611
201711,387573,1735,2321,1383,1205,982,1012,880,781,729,800,980,999,459
201712,274097,2015,1936,1355,1057,919,876,766,749,802,948,951,846,565
201801,285381,1865,1630,1051,845,772,700,669,708,753,788,736,861,391
201802,247426,1726,1543,1012,852,711,648,669,737,830,716,846,805,426
201803,254303,1507,1473,827,761,678,662,719,735,654,778,686,715,397
201804,219802,1409,1192,827,692,653,775,691,618,702,675,666,637,349
201805,223734,1338,1300,825,721,708,680,585,660,647,619,612,711,319
201806,224193,1263,1297,793,795,683,581,649,596,626,560,604,578,346
201807,226493,1290,1210,988,823,618,792,672,679,587,608,588,645,324
201808,266974,1278,1518,981,748,818,734,717,631,598,561,638,649,385
201809,315506,1748,1570,935,1051,824,831,780,802,625,732,711,757,496
201810,375628,1827,1736,1465,1095,1051,894,946,720,748,694,830,1070,556
201811,398658,1600,1938,1198,1056,961,865,769,774,728,731,891,965,500
201812,256878,1817,1695,1112,916,878,758,784,721,728,772,828,784,481
201901,283719,1613,1471,956,772,671,688,637,652,684,684,671,721,379
201902,234184,1576,1449,923,683,694,608,630,649,623,577,672,636,325
201903,225800,1487,1355,784,647,632,559,647,623,558,640,571,527,197
