period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,4501,58,73,45,41,52,50,35,33,54,62,45,58,21
201502,5085,70,93,38,56,33,45,56,61,43,39,36,52,32
201503,5893,68,55,55,34,34,35,44,50,58,45,50,61,30
201504,5820,48,54,32,25,39,43,49,45,41,47,49,50,13
201505,8019,38,52,35,24,49,34,35,40,51,40,36,50,11
201506,10296,41,43,40,38,51,37,30,40,49,28,28,25,14
201507,9265,46,48,42,40,31,29,42,28,30,22,23,37,11
201508,8598,54,80,52,54,37,44,46,22,31,33,23,43,25
201509,9905,69,84,62,53,35,45,34,43,36,27,29,38,26
201510,13455,65,73,45,43,38,29,29,40,37,36,37,48,22
201511,11295,78,66,52,53,42,33,42,35,32,47,41,55,24
201512,8106,40,60,69,34,30,48,35,34,32,38,42,67,29
201601,7671,44,55,49,27,45,28,33,40,39,37,39,51,31
201602,8861,59,61,47,45,39,38,34,45,42,62,58,61,27
201603,8597,60,51,51,52,29,31,36,48,45,49,56,64,22
201604,8292,56,74,42,36,41,36,40,44,47,43,63,34,36
201605,9205,62,60,46,39,54,47,39,37,38,42,31,54,19
201606,8409,47,51,40,34,52,39,36,39,39,32,57,34,19
201607,7994,42,63,42,34,41,33,37,35,37,34,31,33,14
201608,6103,52,51,39,32,30,42,39,28,36,38,32,35,17
201609,9548,62,76,58,34,37,37,25,38,30,34,35,41,34
201610,10255,63,62,52,33,42,27,34,22,23,37,39,46,31
201611,10550,65,72,54,41,30,30,30,29,38,46,61,83,24
201612,8580,52,38,39,32,34,34,25,41,34,47,46,34,43
201701,7616,56,58,34,50,31,35,32,38,49,59,32,38,26
201702,8383,57,62,49,29,33,33,39,61,63,64,63,78,36
201703,10644,34,55,34,36,48,38,54,56,45,73,73,76,35
201704,8991,54,48,52,38,58,63,70,67,56,97,76,83,33
201705,11248,39,58,45,48,65,54,53,67,75,56,65,61,29
201706,10965,57,60,60,63,70,45,67,80,76,74,43,55,30
201707,9942,39,76,55,73,50,51,66,63,55,62,61,55,24
201708,8362,48,81,51,51,53,81,59,76,60,61,54,56,33
201709,9721,56,64,51,67,79,77,83,73,69,59,77,102,44
201710,12668,58,78,87,84,89,95,77,69,77,70,94,117,58
201711,12039,66,87,96,91,86,89,73,59,71,92,101,117,45
201712,8219,68,98,72,61,52,42,68,61,55,59,63,80,46
201801,10683,57,84,54,52,34,36,36,48,42,65,48,71,29
201802,10724,60,73,47,46,35,35,40,43,52,50,68,61,35
201803,12183,73,86,34,31,41,36,37,45,42,67,68,65,24
201804,11870,83,69,38,34,46,50,58,47,63,61,46,41,23
201805,11847,66,71,48,53,51,55,51,62,52,43,55,62,21
201806,14568,65,61,61,52,47,43,52,38,50,44,40,38,22
201807,9368,67,57,52,49,45,60,46,44,51,46,29,37,28
201808,11528,84,69,58,37,51,37,40,52,35,42,37,39,27
201809,12280,89,76,59,52,32,42,46,43,32,46,45,45,40
201810,13089,87,75,78,44,62,56,58,41,37,37,61,86,35
201811,14650,88,80,65,61,47,51,42,38,38,51,78,70,27
201812,9545,68,70,66,37,42,40,28,28,43,58,66,40,36
201901,11645,75,71,48,31,29,28,31,26,60,56,61,60,30
201902,12645,75,88,50,43,35,36,34,56,46,70,60,47,31
201903,12565,69,77,40,42,46,41,42,44,39,56,50,57,22
201904,12654,70,64,48,28,38,43,58,46,50,70,63,37,39
201905,13578,66,55,45,38,46,38,40,63,53,60,33,54,30
201906,12419,77,63,45,47,46,32,46,51,49,36,68,63,37
201907,10597,59,54,45,43,39,40,50,46,25,59,57,59,24
201908,10662,52,59,42,39,48,48,42,29,57,53,63,58,33
201909,11873,70,84,59,69,49,43,47,57,51,42,50,75,35
201910,15381,75,77,66,36,58,37,49,60,54,58,50,69,43
201911,14394,71,96,58,48,38,57,69,39,50,55,62,83,63
201912,10210,77,75,44,33,44,43,39,42,53,69,89,89,34
202001,14743,60,75,33,43,47,47,39,45,52,70,81,62,36
