period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,102524,324,411,247,163,175,123,113,142,136,120,136,144,93
201502,114688,406,402,226,186,157,120,125,142,148,166,155,154,56
201503,119874,393,340,247,173,137,139,135,123,131,156,123,135,70
201504,112468,345,369,207,156,165,153,116,144,132,131,151,111,67
201505,111046,326,368,257,196,152,212,140,148,141,146,155,141,64
201506,109734,408,335,234,221,196,186,155,168,179,128,129,135,61
201507,99821,326,373,267,215,166,160,140,133,136,115,124,132,59
201508,94043,343,411,250,217,222,175,144,138,118,109,109,107,71
201509,116828,415,462,307,210,236,190,171,129,139,109,130,151,83
201510,130963,433,488,315,303,252,198,153,145,109,132,126,168,99
201511,126897,493,460,354,277,229,156,139,145,151,163,183,202,107
201512,94805,407,444,267,272,181,178,109,117,155,133,158,170,59
201601,106699,371,443,251,210,148,125,119,115,116,138,152,136,71
201602,111041,429,433,227,177,122,125,131,116,155,132,141,126,82
201603,117908,411,374,203,148,153,139,137,141,136,135,150,154,44
201604,107900,388,390,209,160,183,152,167,160,119,109,102,113,76
201605,106246,385,361,222,215,181,176,161,146,114,144,101,125,56
201606,111272,381,369,284,215,209,174,156,141,154,96,125,108,49
201607,100093,356,434,265,206,162,141,122,129,92,103,80,101,57
201608,98167,413,428,306,225,163,164,151,119,116,100,89,110,50
201609,115099,435,557,300,243,183,205,107,146,133,94,114,144,67
201610,125588,493,612,356,243,247,172,155,152,130,136,139,154,107
201611,139069,613,625,352,294,203,171,167,140,115,142,175,215,96
201612,104794,464,408,334,185,188,151,99,138,129,135,143,144,84
201701,108741,401,408,218,194,155,128,103,93,110,124,106,149,54
201702,111223,494,348,233,197,151,110,124,129,166,133,134,114,75
201703,127391,346,392,226,151,153,117,124,146,142,153,150,136,49
201704,104826,369,329,217,167,142,152,165,144,157,141,119,123,58
201705,121681,313,345,229,201,202,153,135,147,136,119,127,133,57
201706,118395,357,378,235,248,193,144,175,131,120,129,123,122,76
201707,98366,331,335,275,214,169,165,171,130,117,117,92,105,40
201708,101251,402,411,312,198,216,181,139,120,130,85,105,111,77
201709,121564,385,476,282,270,211,175,148,155,121,101,105,125,91
201710,137583,466,491,358,260,210,188,143,122,96,117,135,184,83
201711,147402,498,534,319,262,186,146,137,118,108,131,179,166,72
201712,108430,422,432,266,201,165,139,111,97,119,146,128,129,74
201801,122207,391,362,243,167,149,123,94,80,122,125,133,162,69
201802,121872,397,399,221,159,147,112,119,131,132,99,125,118,59
201803,133427,332,338,214,178,147,136,156,151,131,138,140,134,54
201804,116649,373,361,210,164,172,192,163,127,138,140,111,114,49
201805,133758,315,372,227,205,184,186,156,166,143,138,115,115,48
201806,121244,382,329,282,237,207,157,152,163,134,111,100,90,63
201807,100472,370,398,301,229,191,169,134,155,103,104,90,91,50
201808,104940,396,509,298,182,205,182,132,137,132,103,109,100,59
201809,125970,535,514,335,282,224,188,152,146,114,108,107,128,100
201810,144929,555,565,459,304,226,196,180,138,120,127,142,141,86
201811,150961,585,621,347,286,233,196,152,133,132,132,159,143,80
201812,102355,487,482,329,234,208,139,125,109,114,130,146,151,68
201901,130920,430,429,283,211,154,130,103,102,145,108,102,125,58
201902,125847,414,404,278,165,149,124,123,138,125,126,145,125,53
201903,131128,424,385,209,166,129,132,162,152,130,128,127,104,34
201904,128161,441,342,281,174,176,174,142,141,145,124,83,76,62
201905,129488,339,353,232,185,176,142,135,147,112,102,86,131,65
201906,119773,330,353,245,219,197,153,172,118,97,70,99,114,56
201907,109539,367,372,260,189,168,173,140,100,76,100,132,115,65
201908,105198,370,415,298,196,218,161,125,76,110,105,107,136,77
201909,130019,433,426,292,248,180,140,97,130,132,104,145,123,76
201910,147529,442,418,336,209,168,125,160,192,142,136,138,161,110
201911,156514,419,445,250,220,127,156,173,162,138,133,196,187,107
201912,108565,396,407,201,125,164,133,145,172,139,156,194,184,128
202001,135079,354,323,142,197,161,169,158,164,137,163,179,199,103
202002,130949,309,247,249,197,168,179,175,150,179,152,174,185,87
202003,111848,230,321,209,161,187,143,189,160,187,150,159,184,102
202004,62173,270,307,217,170,171,167,188,162,165,172,178,166,71
202005,97392,319,305,223,193,191,176,189,191,212,157,184,174,68
202006,137571,301,384,251,216,243,204,218,172,209,172,149,149,93
202007,145286,340,384,288,259,243,210,190,173,188,139,137,188,69
202008,117351,328,395,275,255,221,195,181,146,166,141,130,148,62
202009,152851,375,493,362,236,233,218,189,169,158,165,127,154,91
202010,161776,456,542,354,295,280,218,200,168,192,138,164,215,132
202011,158403,498,522,390,288,263,234,167,202,156,158,218,204,98
202012,112512,393,478,270,226,170,165,170,128,128,155,163,160,84
202101,102482,380,423,253,195,142,128,100,124,108,149,107,152,75
202102,133978,385,405,239,169,171,116,108,139,158,139,134,168,76
202103,155484,368,374,240,200,130,145,140,142,117,136,124,150,73
202104,143249,347,306,243,156,141,161,159,132,127,118,115,113,64
202105,145626,359,411,207,172,154,148,139,132,130,111,112,141,57
202106,146876,410,320,220,183,186,147,155,130,125,118,104,106,65
202107,143787,280,315,239,213,132,150,133,118,107,105,103,97,44
202108,123044,329,357,257,185,191,159,126,130,108,107,96,93,68
202109,144583,317,396,253,206,180,176,156,119,105,91,106,131,69
202110,161562,362,433,289,266,242,168,172,144,134,117,151,149,110
202111,181943,442,482,337,244,255,194,172,111,132,151,156,214,109
202112,143077,403,410,324,251,222,154,157,106,156,155,201,160,103
202201,136706,371,438,243,194,174,130,117,148,144,145,158,167,66
202202,139609,401,361,275,195,159,154,162,129,152,124,150,166,93
202203,134949,365,347,219,163,166,175,149,172,147,145,138,135,62
202204,115049,316,336,219,173,195,149,167,129,123,135,153,109,79
202205,121205,341,340,235,216,171,168,150,152,135,122,86,108,44
202206,111118,289,313,246,176,175,167,133,123,129,109,95,93,41
202207,94493,312,316,208,235,151,139,128,144,77,81,87,84,51
202208,93017,332,281,290,196,175,137,131,115,107,95,86,88,60
