period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,5882,47,53,19,25,21,29,21,10,20,20,21,12,11
201502,6014,63,38,34,27,21,14,26,20,23,16,20,17,13
201503,6496,56,59,27,15,19,20,21,19,14,16,22,33,5
201504,6601,46,51,26,19,26,20,17,28,18,24,23,20,7
201505,6545,38,49,26,39,26,24,20,17,23,28,31,26,13
201506,6999,53,40,37,30,21,27,22,33,22,28,29,18,8
201507,7416,55,60,40,40,32,26,30,22,17,21,24,19,11
201508,5821,62,54,58,48,35,32,31,49,25,25,18,16,8
201509,7865,77,84,78,53,62,44,44,51,21,23,30,33,15
201510,9043,100,146,95,108,86,68,49,49,30,36,42,35,27
201511,9775,118,115,125,88,80,68,71,55,50,38,46,46,24
201512,7083,86,130,87,78,75,58,35,41,31,36,47,37,21
201601,7452,74,93,79,53,44,33,37,42,29,37,40,41,17
201602,9374,89,91,62,42,36,29,33,29,31,36,28,29,10
201603,8955,75,76,56,35,23,30,31,34,26,37,28,29,13
201604,8751,97,78,52,29,36,23,31,18,25,25,35,22,10
201605,8164,92,59,38,29,27,37,44,25,28,26,26,27,9
201606,7885,54,53,40,35,42,38,29,27,26,18,24,14,5
201607,6863,56,56,35,35,32,30,18,23,16,30,18,11,9
201608,7589,70,68,41,31,20,23,28,19,28,21,15,19,7
201609,9686,66,80,44,38,34,25,25,22,16,13,17,14,9
201610,9609,75,99,53,44,46,33,34,21,28,22,29,31,18
201611,10543,110,76,50,51,31,39,30,23,27,31,32,37,12
201612,8064,80,54,37,28,29,24,22,20,30,22,25,23,16
201701,8445,73,70,39,22,28,21,16,19,19,28,25,33,7
201702,8793,73,67,53,35,25,28,24,30,42,23,29,24,16
201703,10740,76,67,40,26,21,31,29,36,19,21,31,22,7
201704,9681,72,58,20,29,24,35,36,23,26,32,21,23,8
201705,10280,54,51,41,28,34,28,35,28,21,27,14,19,12
201706,10510,59,49,31,27,35,28,28,22,23,18,19,22,9
