period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,122669,503,643,379,266,291,247,196,222,255,233,236,243,145
201502,134702,630,626,362,319,247,211,245,251,247,258,240,262,121
201503,144037,614,534,391,264,237,232,241,227,254,249,219,263,121
201504,135279,501,548,338,226,278,244,223,243,223,229,267,211,107
201505,136770,477,560,372,305,289,317,255,244,254,263,252,249,105
201506,138896,583,483,363,351,315,288,244,269,282,207,204,205,101
201507,127535,512,560,403,338,267,243,254,220,222,193,193,215,88
201508,120333,546,632,423,379,335,297,260,244,205,190,179,197,117
201509,145579,659,731,527,371,377,323,287,260,228,189,226,249,145
201510,166773,692,816,516,514,431,321,274,251,201,230,236,283,168
201511,162180,806,770,603,485,406,310,274,261,258,275,309,343,179
201512,120046,606,748,496,436,333,320,211,219,237,237,294,326,127
201601,131388,572,682,427,336,273,214,217,230,210,236,280,260,142
201602,138868,664,676,398,315,232,216,238,219,269,271,261,254,140
201603,146236,650,592,355,273,240,227,236,267,267,255,271,282,98
201604,135392,628,634,342,255,292,241,284,268,222,199,240,212,146
201605,134268,614,542,360,323,304,297,288,243,211,263,205,255,98
201606,138756,560,535,423,316,344,286,242,230,265,173,263,182,87
201607,122638,523,623,387,315,281,229,197,222,192,192,176,167,94
201608,121251,615,646,441,325,248,260,251,195,221,180,160,184,92
201609,146006,651,799,481,377,292,297,195,236,209,173,201,233,124
201610,156347,745,871,517,368,380,266,262,223,203,221,244,272,179
201611,172149,892,863,507,436,303,279,255,212,207,242,306,371,151
201612,131791,681,576,468,290,300,235,177,240,224,234,262,248,164
201701,132654,592,617,332,294,242,218,177,169,216,247,201,257,107
201702,137433,696,551,370,303,235,200,206,257,296,254,266,249,150
201703,160578,523,588,337,247,247,212,236,276,236,279,284,262,107
201704,132438,558,494,323,268,251,288,307,277,262,305,245,263,114
201705,155310,484,522,359,315,357,283,250,272,265,234,242,244,116
201706,152246,550,554,369,387,333,238,301,260,247,240,222,234,129
201707,127326,499,546,440,366,295,292,285,252,230,236,198,196,87
201708,128993,568,631,476,342,332,328,243,236,241,189,207,218,128
201709,152858,605,717,433,441,354,312,292,289,236,217,229,288,180
201710,175719,711,734,557,437,375,353,284,252,251,245,304,367,178
201711,183779,736,850,546,454,348,313,279,237,234,273,353,367,164
201712,134973,679,696,460,353,294,243,221,210,236,267,261,269,159
201801,152211,607,629,402,299,258,206,178,171,226,248,231,297,132
201802,155283,623,644,380,295,239,197,215,232,236,209,267,240,127
201803,168045,570,609,350,273,258,236,270,266,239,267,270,262,113
201804,149883,654,603,354,276,284,328,293,226,256,249,201,205,102
201805,169254,526,580,371,333,306,315,269,298,253,235,229,233,91
201806,158345,607,513,459,402,334,276,270,256,238,203,193,168,107
201807,127803,592,601,461,362,315,297,231,254,199,205,158,174,95
201808,134808,626,736,483,317,341,286,229,248,218,179,197,194,113
201809,160335,820,798,537,437,338,301,265,261,197,213,204,241,179
201810,184460,866,834,697,469,380,330,340,240,219,209,268,306,164
