period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,21117,97,77,52,46,33,33,27,26,37,32,36,29,26
201502,24365,84,64,54,51,47,30,31,33,34,27,30,48,18
201503,27849,81,77,58,39,23,46,53,37,38,31,38,35,17
201504,28849,84,81,80,44,55,37,49,33,29,39,35,40,21
201505,30459,71,90,54,62,73,64,47,38,52,36,44,43,27
201506,30575,122,83,88,92,70,56,48,43,54,51,55,46,23
201507,31275,80,104,78,54,51,39,49,35,38,35,24,31,20
201508,24334,78,130,69,49,70,55,46,35,32,28,29,26,16
201509,33322,98,134,79,56,64,63,47,37,32,29,42,30,19
201510,36695,118,131,88,63,57,53,47,34,31,29,34,43,27
201511,35230,110,98,99,78,60,57,49,53,37,36,44,58,31
201512,22316,92,95,74,57,54,42,36,38,26,26,34,32,24
201601,23410,95,101,55,59,46,43,32,33,34,35,24,29,24
201602,29025,95,89,56,45,51,49,31,46,35,37,39,36,21
201603,31044,105,103,49,40,42,41,55,46,48,32,33,42,20
201604,29807,98,78,61,53,46,45,45,33,37,36,32,35,14
201605,32020,101,94,72,69,60,76,56,42,35,42,26,44,16
201606,32460,96,88,75,69,79,65,40,47,42,35,48,35,19
201607,26860,98,99,60,69,56,36,33,36,25,40,26,26,17
201608,22815,102,110,78,72,58,45,46,31,30,36,33,43,11
201609,32512,105,118,69,68,58,52,34,32,38,38,33,28,20
201610,36140,146,111,65,62,44,34,37,41,44,32,32,45,32
201611,35961,140,134,97,76,55,58,40,31,33,43,53,68,39
201612,23466,123,118,96,55,43,35,28,29,24,33,38,28,19
201701,27582,144,143,56,62,39,37,36,40,32,23,40,34,14
201702,28795,162,95,92,49,44,38,32,41,49,29,40,26,17
201703,32154,124,125,72,52,33,37,49,30,30,40,35,25,19
201704,28606,130,127,75,69,40,53,50,45,45,36,34,30,15
201705,34681,136,117,68,56,72,55,45,50,37,36,35,30,16
201706,31196,121,131,79,66,57,39,44,39,49,37,40,36,9
201707,30222,94,73,79,69,35,51,33,23,30,23,24,29,19
201708,24322,105,123,86,46,56,44,42,47,40,18,41,33,13
201709,31318,112,120,67,78,56,39,39,49,33,31,22,21,21
201710,38453,113,107,79,49,57,47,52,44,33,32,35,45,24
201711,40180,115,131,93,73,35,53,38,44,24,32,48,48,23
201712,25965,108,108,77,46,43,43,32,34,38,49,33,33,23
201801,27703,122,113,59,47,39,36,28,29,49,33,26,34,17
201802,31476,104,91,76,50,56,37,63,63,56,39,28,40,18
201803,32996,92,117,73,76,87,100,112,61,54,44,25,37,22
201804,33197,124,96,118,114,152,151,111,58,64,39,35,31,22
201805,34359,75,149,193,242,235,148,107,80,46,53,56,48,27
201806,33333,134,256,333,301,211,119,80,60,55,47,51,61,37
201807,32645,190,386,310,186,110,73,61,44,34,51,37,53,33
201808,26810,291,431,252,143,86,51,43,36,45,34,47,61,32
201809,34637,414,375,176,95,71,58,50,60,52,58,56,46,37
201810,39873,328,254,152,84,73,55,47,64,63,48,58,53,30
201811,42299,231,204,123,92,69,59,35,52,45,57,66,59,31
201812,25510,199,126,101,56,67,59,41,36,40,53,45,32,13
201901,30570,137,104,70,60,47,47,39,40,45,25,33,37,21
201902,34814,153,124,89,71,39,32,30,46,36,44,29,29,11
201903,38081,139,127,80,61,58,47,42,42,30,29,37,23,8
201904,31414,161,113,89,52,52,65,37,32,34,43,17,13,10
201905,33130,109,112,81,59,58,51,41,46,39,16,12,20,9
201906,33330,157,143,77,71,50,48,47,44,19,15,28,20,10
201907,31617,147,119,75,63,45,43,37,15,18,21,17,23,28
201908,24145,129,124,62,44,43,33,18,8,21,16,22,45,9
201909,35015,135,117,69,37,45,14,13,15,17,19,22,32,20
201910,43093,124,106,72,54,23,19,32,18,24,30,30,46,30
201911,40811,125,109,78,39,19,31,33,18,43,25,37,33,25
201912,27441,102,89,30,26,29,29,41,47,30,39,44,44,18
202001,29366,90,52,29,30,20,18,62,38,35,31,40,25,25
202002,31365,51,44,39,36,23,47,25,36,20,25,33,33,28
202003,24215,38,53,26,39,51,22,27,33,29,24,26,28,16
202004,5762,44,39,23,37,24,27,25,16,15,8,18,22,13
202005,17699,32,49,36,31,23,29,23,22,18,17,27,16,9
202006,29044,44,107,58,52,42,30,20,30,23,31,22,28,31
202007,37608,113,91,60,52,59,28,33,34,25,29,27,37,9
202008,32597,79,116,79,59,45,41,33,42,31,37,34,29,16
202009,40556,98,132,87,74,49,52,43,44,23,54,31,26,21
202010,42798,103,126,92,83,77,76,43,33,39,24,26,31,25
202011,37404,80,117,96,80,68,37,58,67,18,26,41,21,15
202012,27484,92,99,75,80,44,29,57,35,17,32,27,25,15
202101,29474,75,90,81,60,41,46,26,23,24,20,27,24,16
202102,34216,87,74,52,55,69,24,32,31,31,20,32,20,15
202103,36854,84,91,51,67,34,40,33,34,30,24,28,21,15
202104,34023,85,90,97,41,52,44,36,24,26,32,21,19,17
202105,31834,89,135,53,53,51,52,34,35,34,13,33,37,26
202106,37095,113,87,51,56,44,29,40,35,37,31,40,32,23
202107,32453,47,66,76,59,36,43,40,30,33,30,37,30,20
202108,26816,55,90,72,40,43,44,42,34,29,37,32,34,17
202109,37607,70,102,67,50,54,48,46,36,36,43,39,39,15
202110,36986,70,108,85,55,61,56,52,48,34,44,43,36,22
202111,37087,98,115,87,62,56,46,55,48,42,44,34,49,29
202112,29270,56,105,84,53,46,45,38,33,46,38,36,42,19
202201,29439,61,89,56,41,34,31,33,33,32,35,32,28,16
