period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,43644,133,205,127,109,88,84,71,82,69,66,67,70,33
201502,42670,178,188,154,118,119,84,101,88,87,72,58,72,33
201503,47763,186,241,178,135,107,111,126,67,84,65,75,74,30
201504,47178,200,334,201,152,129,129,103,69,78,79,70,72,32
201505,42680,257,351,204,186,137,154,119,97,78,76,91,93,51
201506,48292,334,353,244,205,161,161,107,133,96,81,86,102,46
201507,50307,267,371,256,190,134,125,116,113,70,92,82,78,45
201508,44670,252,343,217,191,149,134,129,105,95,91,98,100,49
201509,50338,281,396,294,227,194,148,153,108,123,102,103,128,42
201510,60043,337,423,280,232,209,176,135,148,134,134,145,126,72
201511,57877,323,437,325,262,195,141,203,150,132,108,122,129,60
201512,50252,248,361,256,205,168,168,144,141,129,115,115,97,47
201601,54326,258,322,232,189,190,137,149,148,120,125,90,104,43
201602,56009,261,305,224,260,196,178,158,125,121,127,92,85,61
201603,56538,250,330,244,186,212,166,128,131,113,74,59,100,32
201604,47757,224,311,239,207,161,125,123,106,96,69,82,69,33
201605,48561,236,293,232,209,142,127,133,103,87,90,55,82,28
201606,56370,206,290,237,173,149,115,99,82,95,62,72,69,33
201607,45753,199,233,172,148,111,94,80,74,60,65,58,61,34
201608,49338,224,254,175,130,115,83,96,74,66,65,51,58,30
201609,61904,194,281,168,117,119,121,73,67,65,60,81,74,34
201610,61673,224,279,165,133,144,75,89,76,73,72,62,78,37
201611,67821,243,249,169,162,114,84,82,85,93,79,78,89,37
201612,55230,166,189,144,118,96,83,72,70,66,77,75,82,39
201701,54783,149,196,103,123,80,76,53,71,67,72,57,80,32
201702,53474,193,169,141,114,73,91,90,88,95,52,71,72,44
201703,66044,117,206,160,88,85,79,83,80,63,74,53,64,28
201704,55800,175,179,134,124,88,102,101,88,87,61,52,57,34
201705,66924,165,196,157,115,104,99,88,91,81,76,63,69,34
201706,61774,155,194,167,120,109,98,124,110,82,92,88,71,29
201707,56880,179,201,179,148,110,123,143,128,88,94,74,93,43
201708,59068,180,215,183,120,170,146,123,106,80,109,103,105,44
201709,63747,160,271,194,157,130,137,106,119,83,97,82,87,61
201710,72394,204,229,186,150,131,117,109,132,83,103,103,91,53
201711,90291,187,237,193,136,97,93,100,97,87,95,115,91,33
201712,65279,164,174,158,122,108,98,69,85,68,87,88,81,41
201801,80315,152,162,123,106,98,92,78,83,87,78,58,65,40
201802,72006,171,156,137,116,114,105,77,97,76,69,84,73,30
201803,73903,147,190,155,125,126,88,92,90,92,88,84,59,32
201804,75015,145,234,184,118,120,121,97,84,80,73,86,62,26
201805,76232,138,195,184,140,114,122,86,102,84,65,59,69,37
201806,78764,151,186,156,145,122,89,86,88,79,70,72,59,32
201807,74979,157,167,150,136,106,100,86,84,69,77,62,71,32
