period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,65746,103,108,66,52,34,40,28,33,38,37,22,26,23
201502,66172,146,120,54,52,43,32,46,53,34,32,32,40,15
201503,72134,97,104,74,58,40,41,34,36,48,40,40,32,12
201504,75242,97,112,72,38,57,34,49,42,19,37,22,29,13
201505,66129,132,119,69,65,65,42,45,37,32,28,19,21,22
201506,75005,138,110,75,68,51,47,38,31,41,32,25,33,13
201507,68037,103,144,76,64,57,49,37,37,25,32,31,29,9
201508,66973,125,148,100,65,44,42,36,33,33,21,32,28,13
201509,73956,127,186,100,77,53,42,41,27,25,29,35,30,12
201510,87468,141,161,106,65,57,31,43,31,27,27,25,30,16
201511,76758,118,134,75,59,59,34,45,29,25,36,39,34,15
201512,57472,100,121,67,55,42,46,35,30,25,31,41,34,18
201601,70517,109,114,59,43,40,36,31,27,20,31,29,35,8
201602,69228,90,103,64,59,38,29,37,21,44,28,27,19,23
201603,77407,97,92,67,38,39,36,41,33,27,24,22,22,9
201604,68603,85,103,62,54,36,37,27,34,27,20,23,22,8
201605,64981,104,97,75,47,45,45,47,40,19,28,23,29,10
201606,72172,83,106,71,53,32,32,38,31,32,21,22,16,11
201607,58756,101,100,67,54,36,40,27,22,18,28,24,22,17
201608,67701,114,108,65,57,37,29,35,26,29,25,20,25,17
201609,78199,78,128,64,53,33,39,30,23,23,23,30,26,17
201610,75699,120,136,61,62,44,33,35,25,29,37,33,42,13
201611,78469,134,123,83,60,49,35,34,30,27,37,43,31,21
201612,57634,97,91,61,34,51,43,29,30,33,27,27,32,23
201701,61063,99,103,65,50,47,32,40,43,26,35,19,31,16
201702,63316,120,116,68,45,33,43,37,27,30,35,27,42,22
201703,73814,81,110,67,52,42,30,48,43,28,31,32,27,12
201704,60119,101,99,58,58,50,41,44,30,46,37,36,35,17
201705,73140,75,91,70,41,56,52,40,43,33,25,33,28,16
201706,65939,73,87,60,53,65,54,44,46,36,40,37,46,33
201707,60124,77,79,72,77,47,70,63,58,50,42,63,48,31
201708,61261,70,102,86,67,64,93,54,59,56,72,66,51,29
201709,78225,91,123,65,71,60,74,77,67,44,54,47,44,39
201710,75047,118,132,95,69,82,58,48,62,69,64,59,75,34
201711,90019,132,145,98,93,67,51,52,47,44,40,57,66,21
201712,52030,114,153,107,70,50,53,38,35,40,53,52,41,30
201801,70078,106,127,71,63,44,45,41,40,49,34,40,58,29
201802,71384,138,119,66,70,44,47,47,49,67,28,51,41,12
201803,71193,106,104,75,58,41,39,43,48,40,55,38,49,21
201804,68016,66,75,50,48,42,53,53,31,50,39,28,52,19
201805,70797,83,95,56,51,53,47,34,38,38,41,39,45,15
201806,75084,75,82,66,41,41,45,49,38,35,23,36,37,21
201807,64062,84,80,65,46,36,44,36,36,38,43,22,42,9
201808,60505,85,105,77,51,59,49,44,31,34,31,40,34,26
201809,70672,97,115,52,55,44,41,34,41,31,31,23,31,28
201810,78261,128,182,73,57,41,54,35,29,34,32,41,47,22
201811,76447,103,120,78,55,42,49,30,31,26,45,46,53,22
201812,54610,110,86,73,55,57,31,38,30,41,28,46,35,22
201901,70944,93,91,57,33,44,40,25,45,40,34,33,35,21
201902,70573,84,98,61,53,48,28,37,42,42,36,47,30,20
201903,74188,74,90,43,55,42,34,37,50,29,41,38,31,18
201904,64951,94,73,55,46,36,37,37,27,40,33,28,23,11
201905,69910,79,71,44,56,43,32,39,32,29,28,19,22,19
201906,64550,83,88,59,44,43,36,36,20,24,14,16,23,19
201907,61972,101,76,56,52,34,37,30,27,18,28,22,21,12
201908,63885,72,111,66,38,47,42,31,25,21,21,28,23,15
201909,74479,98,116,71,62,49,38,29,33,29,24,28,27,14
201910,86884,90,104,72,47,30,28,28,35,30,21,32,40,15
201911,84158,104,83,56,57,13,30,26,35,28,21,32,29,21
201912,62124,77,89,50,15,27,24,36,25,31,31,39,29,18
