period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,139670,454,522,337,269,215,207,167,197,185,185,173,172,113
201502,142638,537,474,329,293,257,200,236,215,197,164,166,202,84
201503,156188,482,515,379,286,219,258,269,185,203,178,193,182,76
201504,158482,456,634,432,296,307,251,244,190,174,194,164,177,91
201505,145492,576,669,400,395,336,309,276,199,202,185,190,201,114
201506,161211,703,684,525,450,360,333,237,259,233,208,207,209,105
201507,156548,556,747,504,382,315,258,248,226,157,190,174,181,92
201508,141461,541,754,468,388,315,274,259,211,213,160,187,193,106
201509,164786,606,839,564,421,371,305,286,214,211,189,220,241,94
201510,192480,672,836,562,434,381,313,282,257,241,225,238,241,133
201511,177768,647,778,587,482,366,297,332,262,224,227,253,262,135
201512,136339,527,687,495,388,333,298,270,259,227,221,228,217,104
201601,154954,579,669,424,356,331,265,260,256,220,235,196,214,99
201602,162234,548,607,422,425,340,298,274,244,247,231,190,179,136
201603,173471,530,631,428,323,349,295,282,251,236,162,156,209,82
201604,152157,476,581,444,385,300,264,254,216,184,152,172,155,71
201605,151924,514,600,461,393,317,310,272,222,167,188,125,185,73
201606,167625,461,582,466,353,305,247,210,195,199,146,165,155,72
201607,136716,478,526,380,321,250,195,165,156,126,157,135,137,74
201608,145026,510,558,390,311,249,198,216,156,149,152,122,162,76
201609,180076,462,609,378,286,243,246,155,153,144,143,162,163,102
201610,180834,569,621,343,305,279,162,189,174,172,174,155,204,104
201611,189618,606,596,386,357,255,213,188,173,176,192,211,232,134
201612,142426,453,466,366,256,242,181,158,149,154,167,171,180,103
201701,149361,460,538,267,266,204,170,152,175,144,156,154,192,80
201702,151816,556,446,354,251,180,201,200,186,206,155,169,183,101
201703,179603,385,526,359,222,187,176,218,180,147,170,145,145,78
201704,150305,473,479,318,284,226,236,227,195,211,169,162,157,88
201705,180517,439,458,357,265,275,244,192,213,183,167,161,154,75
201706,164238,404,480,363,288,277,217,247,228,196,196,200,181,81
201707,152626,413,421,386,346,233,281,284,250,209,188,199,200,125
201708,149609,417,529,417,291,337,328,256,256,210,238,244,245,108
201709,179187,411,626,397,357,288,300,279,274,228,208,198,204,162
201710,192325,501,551,423,319,320,269,257,280,207,241,243,269,146
201711,227614,498,616,432,357,247,250,232,219,198,203,293,272,112
201712,148011,460,512,411,296,240,232,167,191,181,236,222,206,121
201801,184384,441,477,319,263,230,202,184,186,222,173,167,202,113
201802,181296,467,454,333,272,247,237,221,242,221,168,192,189,84
201803,184362,409,474,373,306,288,279,295,234,220,224,185,192,102
201804,181449,394,475,390,341,360,363,296,191,220,182,177,190,87
201805,186643,338,497,496,509,459,362,263,251,202,190,198,194,101
201806,191986,396,592,621,545,420,307,250,218,190,180,195,198,116
201807,176004,496,710,604,417,289,259,213,197,175,202,151,200,91
201808,156871,565,826,540,345,304,221,216,178,194,169,200,199,126
201809,189803,750,786,438,371,267,233,188,239,202,214,194,234,147
201810,219348,732,739,507,369,268,262,209,209,233,206,266,280,138
201811,231169,557,677,408,330,283,254,212,223,206,263,296,296,126
201812,155402,560,479,388,286,263,223,221,182,215,225,245,195,105
201901,188957,432,459,296,256,218,207,198,197,200,182,162,195,92
201902,189334,460,464,348,257,226,174,199,201,205,201,172,169,75
201903,200040,421,475,289,288,246,233,207,228,188,186,167,160,70
201904,181816,469,422,342,286,279,243,212,155,212,160,132,104,62
201905,190662,343,436,317,317,293,236,219,216,186,137,107,136,89
201906,185689,413,500,373,296,248,216,221,201,143,99,130,140,88
201907,176017,479,422,347,315,198,198,193,145,102,118,131,141,88
201908,168428,404,490,312,244,217,208,146,118,125,141,165,182,77
201909,211421,489,522,338,292,248,186,125,152,167,143,169,164,99
201910,239614,480,479,401,265,196,149,168,154,173,154,202,234,138
201911,247004,458,530,350,259,136,181,181,171,192,170,188,177,108
201912,172144,385,424,247,161,166,172,209,182,159,180,215,164,84
202001,192004,394,394,203,196,189,164,205,178,184,207,182,156,104
202002,191034,321,238,229,209,190,192,160,189,185,158,179,168,101
202003,176529,231,286,198,196,189,159,174,156,149,148,122,134,67
202004,91275,236,279,233,172,173,176,180,134,132,122,141,121,58
202005,129100,232,339,255,245,222,206,163,152,150,156,135,123,65
202006,201074,312,424,311,299,238,191,161,175,164,152,140,136,95
202007,209627,353,490,338,269,264,214,179,163,138,137,138,156,79
202008,190111,355,530,368,293,237,229,191,194,141,177,170,142,91
202009,221196,426,592,408,296,251,229,211,180,141,217,167,154,83
202010,242137,466,591,426,370,316,276,201,189,218,163,174,170,107
202011,244836,442,530,438,381,273,241,237,251,194,177,198,190,91
202012,171928,406,490,383,282,216,198,229,182,153,175,151,151,77
202101,183954,378,460,372,248,221,221,166,152,135,145,161,143,79
202102,201382,420,467,292,272,276,178,195,168,167,166,163,162,93
202103,205589,387,439,292,291,213,216,196,188,181,136,160,157,89
202104,202371,359,420,388,248,232,221,204,190,142,148,154,120,77
202105,199519,387,564,316,280,258,239,166,168,198,163,149,132,78
202106,205549,480,432,344,274,246,206,198,150,161,127,149,130,68
202107,180042,263,424,334,275,222,189,173,137,139,121,124,112,71
202108,153987,343,436,349,228,216,199,199,157,132,131,117,121,77
202109,202700,344,461,310,277,254,209,167,147,132,131,129,158,64
202110,216033,317,445,359,289,244,211,193,173,142,150,159,144,114
202111,251072,425,514,334,303,219,212,186,167,163,155,165,180,98
202112,179104,323,443,362,247,202,163,169,159,162,163,194,183,83
202201,185171,285,410,309,236,160,168,163,153,153,144,155,153,77
202202,193578,357,357,284,208,203,174,204,158,195,152,155,152,87
202203,220847,337,390,275,226,209,212,190,199,164,175,138,177,50
202204,179415,343,378,272,238,227,219,224,179,158,145,156,109,78
202205,200601,335,372,266,237,231,229,180,185,147,173,130,116,59
202206,166059,282,336,288,257,231,159,189,173,157,118,106,77,57
202207,147205,277,365,285,244,216,201,144,166,104,103,111,129,62
