period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,12696,98,79,48,32,30,14,17,20,27,25,28,19,11
201502,12507,120,62,31,22,21,16,29,17,16,21,25,25,7
201503,14615,117,61,34,23,16,25,29,24,21,22,23,21,8
201504,12359,88,49,33,19,26,18,21,25,19,29,20,19,9
201505,13051,95,52,20,26,30,21,25,18,18,27,28,13,8
201506,14542,86,58,24,32,26,15,12,21,16,13,16,12,6
201507,12507,91,70,30,28,24,20,28,18,11,13,8,22,10
201508,14686,100,89,32,21,22,24,20,22,17,16,10,15,9
201509,15825,127,71,39,37,34,24,32,19,20,14,20,27,12
201510,18128,133,92,40,40,31,23,33,17,23,22,24,20,11
201511,17871,175,98,61,45,35,31,26,17,20,29,19,28,12
201512,14884,84,91,43,40,22,20,21,13,19,21,22,31,11
201601,16391,110,67,43,29,25,23,14,22,24,23,15,23,7
201602,19235,114,65,36,24,9,19,25,22,26,27,18,13,8
201603,18150,102,78,30,22,26,20,21,16,26,21,24,23,7
201604,17132,109,54,34,25,27,22,21,28,19,17,17,16,8
201605,16350,83,68,33,32,17,34,28,18,15,18,20,22,8
201606,17195,83,68,39,19,32,15,18,15,17,18,12,15,6
201607,14665,83,74,42,19,29,19,14,19,22,17,19,13,13
201608,18725,93,67,52,33,23,24,18,17,13,14,8,12,6
201609,18822,108,82,52,28,30,19,16,15,17,12,10,22,8
201610,22202,115,94,47,19,41,16,21,16,13,14,15,18,11
201611,26775,163,104,45,34,25,35,16,19,18,20,18,30,20
201612,20999,115,70,42,30,16,22,7,10,30,19,17,21,13
201701,19896,106,96,33,27,12,19,17,20,17,26,23,24,4
201702,20621,118,67,40,19,16,31,22,21,23,14,25,14,10
201703,19995,84,61,30,20,24,17,16,21,17,12,15,16,5
201704,17103,99,57,36,16,19,18,26,16,24,15,16,16,7
201705,21954,82,57,35,24,25,22,20,18,22,18,24,14,8
201706,24124,86,78,48,35,31,22,23,21,20,22,13,6,10
201707,17788,77,69,45,28,21,29,25,21,12,12,14,16,9
201708,20557,123,94,59,36,30,24,22,15,18,18,10,13,6
201709,22755,120,86,57,23,35,30,26,17,16,17,14,24,12
201710,23846,136,113,56,44,37,27,23,24,25,23,26,37,19
201711,30524,146,145,60,44,35,31,22,24,23,23,34,34,17
201712,23006,128,117,61,34,26,28,26,23,29,31,23,23,17
201801,28904,124,74,49,34,20,18,17,24,22,28,24,42,9
201802,22658,139,115,55,29,33,17,30,27,30,22,20,26,19
201803,22390,120,91,60,33,22,28,27,23,16,38,24,17,11
201804,22238,114,75,50,35,35,34,26,26,20,27,17,14,13
