period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,45846,527,435,238,194,168,116,108,132,147,122,151,166,94
201502,41880,498,364,194,137,114,115,107,103,103,108,100,137,59
201503,48066,449,306,198,147,91,131,139,112,122,98,126,129,58
201504,40426,390,339,188,149,146,123,103,130,101,124,117,127,66
201505,37398,385,301,149,164,140,118,118,104,112,99,105,83,46
201506,42655,336,282,161,139,108,105,97,106,93,93,72,80,43
201507,41868,354,319,184,147,139,103,116,102,72,80,79,89,63
201508,47088,419,408,207,121,137,126,123,96,102,92,75,98,76
201509,54249,531,440,238,175,157,123,146,104,114,93,106,133,72
201510,60750,547,520,272,217,171,143,147,122,107,138,139,158,99
201511,66859,725,514,327,237,205,171,150,126,114,145,158,186,126
201512,56541,481,464,279,199,165,152,129,125,118,136,138,174,93
201601,50767,527,413,227,176,151,121,102,91,119,106,114,141,74
201602,59971,481,364,196,163,115,110,103,110,131,131,105,98,75
201603,59512,468,378,185,148,136,125,122,100,146,99,106,139,51
201604,54282,425,331,160,147,125,94,107,102,101,83,112,102,50
201605,45558,357,278,154,122,96,121,98,93,86,79,85,97,47
201606,48450,325,273,191,126,143,93,87,86,83,81,93,100,33
201607,43110,344,341,177,123,120,98,76,82,74,82,82,85,53
201608,56280,421,297,188,151,120,119,96,66,86,75,62,94,46
201609,59264,423,363,200,155,126,124,79,85,86,74,86,118,69
201610,70975,435,435,218,151,175,106,130,99,101,105,99,138,66
201611,83449,569,457,224,191,126,143,117,90,111,107,124,152,94
201612,65050,476,375,261,145,130,118,84,94,111,119,133,134,102
201701,61193,417,376,159,140,98,74,92,82,79,113,106,120,46
201702,57140,509,283,152,122,106,106,103,101,125,70,104,107,52
201703,57415,337,337,159,110,117,93,91,109,88,73,84,94,50
201704,50171,389,274,160,137,99,97,137,79,106,88,91,93,62
201705,53603,324,288,150,129,119,97,85,93,98,65,85,78,40
201706,54727,317,267,154,134,129,104,119,102,81,70,62,74,46
201707,44762,302,296,162,128,107,129,93,88,69,68,79,83,42
201708,55593,371,370,213,139,116,100,100,78,94,86,80,82,40
201709,63191,414,379,195,152,138,110,118,90,93,87,99,99,59
201710,70159,463,437,281,191,145,115,119,107,100,107,130,161,76
201711,90006,517,519,251,205,143,114,120,116,101,107,142,146,70
201712,64336,488,386,213,171,115,107,118,109,101,124,118,119,88
201801,66635,393,282,170,126,106,75,79,91,99,111,87,129,54
201802,54756,419,352,179,100,99,87,92,98,91,101,96,109,68
201803,59163,378,276,168,116,104,96,113,94,89,121,83,101,55
201804,49920,345,267,147,115,107,105,109,77,84,87,77,80,50
201805,49651,312,267,134,112,122,99,82,105,89,75,79,96,32
201806,48734,309,253,154,130,116,108,98,74,82,93,80,78,36
201807,47614,346,301,180,143,107,123,87,94,76,79,67,72,55
201808,53201,338,354,174,91,104,76,90,82,83,66,82,99,38
201809,57608,495,334,164,155,107,88,89,85,81,73,94,96,44
201810,71139,460,356,293,166,153,94,129,95,99,101,123,147,52
201811,75909,435,434,239,166,140,124,106,97,77,106,126,140,85
201812,56902,442,298,199,114,128,95,75,92,95,100,76,114,78
201901,64292,362,288,141,133,94,95,78,72,100,85,99,102,36
201902,48637,378,242,152,98,75,87,74,90,72,86,95,87,46
201903,47139,290,210,108,89,93,68,89,55,69,62,68,78,16
201904,35696,334,180,114,83,77,70,87,73,66,70,59,52,34
201905,41300,243,202,120,82,87,74,69,79,63,66,41,58,19
201906,43404,239,196,115,100,87,77,78,58,62,39,43,50,25
201907,42350,287,223,119,91,78,81,75,61,40,55,51,54,23
201908,42499,311,214,138,82,97,64,64,44,47,46,70,60,38
201909,50359,332,249,150,121,91,75,33,57,60,63,64,71,39
201910,56189,351,310,185,116,105,55,66,63,63,60,79,63,62
201911,62361,364,363,179,118,87,81,72,70,75,80,91,109,62
201912,52152,377,278,146,80,72,69,88,73,77,87,101,114,56
202001,50654,316,253,90,86,68,70,68,70,74,80,76,75,56
202002,45599,293,152,103,88,71,63,67,56,80,74,66,77,52
202003,39629,179,173,73,70,70,71,46,49,49,68,79,77,39
202004,24945,227,149,85,54,52,64,67,59,53,60,60,72,21
202005,38078,229,174,91,83,76,72,49,77,57,61,50,70,29
202006,45637,237,179,121,98,87,69,53,66,61,73,57,63,30
202007,44417,269,244,118,101,74,74,77,75,82,64,57,80,36
202008,45169,310,266,156,109,87,78,92,72,73,52,62,67,33
202009,56341,380,299,155,117,96,115,93,90,88,86,69,92,34
202010,66214,381,346,183,141,121,115,91,90,81,59,82,83,57
202011,63688,400,321,192,169,115,86,78,78,74,94,75,83,44
202012,45553,350,271,176,113,85,80,83,60,63,70,74,61,43
202101,44717,325,269,161,93,81,68,53,54,56,56,65,58,44
202102,55985,449,279,134,106,69,59,60,59,73,54,71,58,38
202103,55883,345,215,117,112,70,77,80,67,60,66,67,66,41
202104,50469,310,225,124,89,55,76,70,61,66,59,65,60,32
202105,54878,285,254,103,92,74,79,52,68,61,58,49,56,32
202106,47264,312,198,115,105,83,58,74,62,55,58,45,48,21
202107,40977,252,219,97,88,55,65,52,56,55,48,35,46,28
202108,39005,289,215,124,76,70,87,62,52,48,41,31,52,27
202109,52431,266,228,112,104,88,71,63,56,55,39,43,46,37
202110,56880,301,286,175,104,97,74,65,67,52,52,65,59,43
202111,68597,402,290,169,143,100,87,74,53,70,65,59,93,38
202112,51843,347,250,151,96,88,78,39,46,73,60,63,62,33
202201,40475,306,254,99,94,63,55,67,64,61,56,55,61,32
202202,45676,300,191,110,70,48,65,51,40,60,62,50,57,30
202203,47844,210,209,77,49,55,47,60,71,51,56,45,79,18
202204,32696,242,153,74,73,64,64,66,42,54,46,46,28,27
202205,30610,178,128,83,72,64,65,44,66,45,53,35,39,15
202206,30215,168,138,78,75,58,38,56,38,38,27,31,31,12
202207,27598,160,148,79,97,52,53,44,36,35,28,25,35,27
