period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201901,160,2,2,1,2,1,1,1,1,1,1,1,1,1
201902,139,1,1,1,1,1,1,1,1,1,1,1,1,1
201903,151,2,1,1,1,1,1,1,1,1,1,1,1,1
201904,118,2,1,1,1,1,1,1,1,1,1,1,1,1
201905,170,2,1,1,1,1,1,1,1,1,1,1,2,1
201906,357,3,3,3,2,1,1,1,1,1,1,1,1,1
201907,743,1,7,1,2,1,2,1,2,1,1,1,1,1
201908,627,5,8,3,1,2,2,1,1,1,1,1,1,1
201909,782,4,5,5,2,1,3,2,1,1,1,1,1,1
201910,1975,6,4,1,2,1,2,1,2,1,2,2,2,1
201911,1739,12,7,6,4,1,7,1,1,2,1,1,1,1
201912,869,3,4,4,1,1,1,2,2,1,1,1,1,1
202001,1582,8,8,2,3,3,2,3,2,5,5,2,1,3
202002,1252,9,7,6,4,2,1,1,1,1,2,1,1,1
202003,1423,3,3,4,3,1,1,2,1,1,3,5,1,1
202004,878,8,8,1,4,3,2,3,2,2,1,3,2,1
202005,1120,7,10,3,8,5,2,3,4,1,1,4,1,5
202006,3718,18,11,17,7,13,4,8,6,3,7,3,3,1
202007,4403,20,11,7,13,7,9,4,4,6,4,7,6,1
202008,2838,23,16,14,13,12,12,7,11,1,1,4,4,2
202009,4954,19,21,21,8,10,9,3,5,3,5,8,5,9
202010,5056,19,33,20,14,14,8,12,9,7,10,15,9,4
202011,5868,26,33,23,30,9,7,12,13,14,6,9,11,6
202012,5189,21,38,22,17,13,17,13,10,11,3,9,7,7
202101,5722,20,35,24,9,15,14,6,12,5,6,10,8,4
202102,6098,43,35,36,19,13,9,11,12,19,9,14,5,8
202103,7645,57,44,26,25,15,12,10,11,11,14,11,12,1
202104,6108,32,45,31,16,15,18,20,12,6,8,19,11,4
202105,6507,37,43,15,19,20,10,14,13,10,11,9,13,6
202106,8135,46,32,30,24,19,12,12,9,11,11,8,4,1
202107,8119,31,30,24,19,17,19,13,12,7,3,7,7,3
202108,6766,32,38,37,16,18,11,16,7,3,4,6,3,6
202109,7167,48,43,34,22,22,19,10,11,9,13,10,7,5
202110,8964,44,46,39,25,21,24,10,15,8,7,9,11,4
202111,9957,38,44,37,31,22,18,18,11,15,14,12,17,6
202112,7265,32,32,33,19,26,17,12,7,7,10,12,9,8
202201,8113,31,49,30,22,10,10,10,11,12,12,4,12,6
202202,7713,38,49,26,19,13,10,17,14,8,8,9,7,5
202203,10307,45,34,18,12,14,16,13,10,11,5,9,12,4
202204,7536,39,37,15,13,15,14,19,10,15,10,11,4,6
202205,7857,33,34,26,22,15,13,8,6,11,13,6,8,3
202206,6588,45,46,29,17,16,10,18,10,15,6,7,17,4
202207,8045,39,32,24,21,15,10,14,9,5,5,3,4,1
202208,7616,44,33,19,10,19,14,14,7,11,7,7,7,3
