period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201806,6136,5,5,5,1,1,1,2,3,2,2,2,1,1
201807,5060,3,1,4,1,3,1,2,2,1,1,3,3,1
201808,4997,7,7,1,5,1,2,3,1,1,1,2,1,1
201809,7868,4,8,5,3,3,3,2,1,1,1,1,1,1
201810,8852,9,5,5,6,2,6,5,1,1,2,1,1,1
201811,8973,12,12,4,8,1,6,1,1,2,1,5,2,2
201812,3999,6,13,7,9,7,4,3,4,4,1,5,4,1
201901,8458,12,9,6,6,2,2,5,2,3,2,1,1,1
201902,8475,10,14,7,6,4,2,4,4,5,1,1,2,1
201903,10777,10,3,3,4,3,4,2,5,2,2,5,9,1
201904,5886,10,9,2,3,2,3,3,2,1,3,6,5,2
201905,9083,12,16,2,9,2,5,3,6,3,4,2,2,1
201906,7554,11,11,2,5,6,4,2,2,2,1,4,2,4
201907,8709,16,10,7,5,6,4,3,4,1,2,1,3,1
201908,6650,13,5,6,3,3,3,1,1,1,6,3,2,4
201909,9753,8,8,5,2,2,5,1,1,2,3,5,2,1
201910,11809,8,8,11,7,3,1,3,3,1,3,2,2,4
201911,10362,14,9,5,12,4,2,7,1,3,3,2,10,2
201912,6380,6,10,7,7,3,1,2,7,1,1,5,4,8
202001,7950,11,11,11,4,1,2,3,2,3,5,3,5,1
202002,9937,5,8,7,4,6,3,4,5,5,4,1,4,3
202003,9698,7,7,3,7,7,1,1,3,1,5,3,1,7
202004,2778,7,5,4,3,3,7,3,5,10,9,6,7,3
202005,3899,6,5,2,5,6,4,2,4,3,1,2,1,3
202006,8169,8,10,8,5,3,7,3,3,4,3,2,4,1
202007,10112,8,12,9,6,7,5,3,5,4,5,2,4,3
202008,8619,17,12,11,8,7,10,4,7,7,3,6,2,2
202009,10613,14,19,9,10,6,5,7,2,4,7,3,5,3
202010,11646,10,18,21,2,11,5,6,1,8,1,3,5,5
202011,11702,8,14,15,11,12,7,9,12,4,4,6,6,2
202012,8277,11,20,20,10,6,3,13,7,7,6,4,1,4
202101,10089,7,18,12,10,10,10,4,3,5,3,6,2,2
202102,11353,13,21,10,7,8,4,6,4,6,1,4,12,2
202103,11119,7,20,13,16,6,6,4,4,4,2,5,7,2
202104,8813,11,17,11,7,2,5,4,3,4,4,5,7,2
202105,9065,9,23,4,5,1,12,3,7,8,2,3,7,1
202106,9927,14,14,10,5,3,4,5,5,5,3,1,1,2
202107,9308,11,7,9,5,6,2,2,3,4,3,8,4,1
202108,10063,10,19,8,5,5,8,11,6,6,4,5,8,1
202109,12443,4,17,11,5,9,5,9,4,4,3,2,3,4
202110,12541,15,10,11,6,10,8,1,5,4,8,2,1,3
202111,13089,8,7,9,10,11,7,7,1,5,3,5,2,2
202112,9078,9,21,13,11,1,2,4,6,1,4,7,9,4
202201,9789,7,14,11,5,6,1,2,8,4,6,2,8,3
202202,10416,16,11,13,10,9,3,1,9,8,6,3,7,4
202203,13502,9,17,9,8,12,6,2,9,7,6,5,5,1
202204,6924,4,10,14,8,11,4,5,3,3,6,6,2,1
202205,11039,12,17,6,3,8,5,1,7,10,6,4,3,6
202206,10537,14,15,8,7,4,5,4,5,11,3,1,1,1
202207,8528,7,5,2,7,3,1,9,7,5,7,5,5,1
202208,9617,10,4,11,6,9,8,1,3,3,4,5,5,4
