period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201806,263,2,2,1,1,1,1,1,1,1,1,1,1,1
201807,378,1,1,1,1,1,1,1,1,1,2,2,1,1
201808,331,1,3,1,2,3,1,2,2,1,1,1,1,1
201809,396,1,2,1,1,2,1,1,1,1,1,1,1,1
201810,519,4,4,1,1,1,2,1,1,1,3,1,1,1
201811,642,2,1,2,2,2,5,1,1,2,1,1,1,1
201812,338,1,4,1,2,1,1,3,1,1,1,1,1,1
201901,1146,5,2,1,1,1,1,1,1,1,1,1,1,1
201902,1186,2,7,2,2,2,1,2,3,2,2,1,3,1
201903,2604,4,10,1,3,2,1,2,3,5,2,3,1,1
201904,2077,8,3,4,3,3,2,1,2,5,3,1,1,1
201905,2444,4,9,4,2,2,3,3,2,2,2,1,1,3
201906,2938,8,6,6,3,4,4,6,1,3,1,1,3,1
201907,3183,4,8,7,6,2,8,6,4,1,1,3,3,1
201908,3520,9,7,5,10,5,8,8,3,3,4,4,3,3
201909,3466,13,11,15,10,6,5,6,3,1,5,4,4,2
201910,5040,10,21,15,8,5,3,3,5,8,5,6,6,2
201911,4296,9,13,13,13,3,10,5,4,3,2,4,5,5
201912,2997,15,22,10,9,5,11,5,5,2,7,8,11,4
202001,4289,12,19,10,4,5,11,8,5,2,5,5,12,1
202002,4483,19,13,10,3,5,8,6,3,6,11,9,8,9
202003,3815,9,7,4,10,9,6,5,2,4,3,7,4,3
202004,1731,4,9,7,3,2,7,6,2,4,4,3,4,2
202005,3142,6,12,3,3,5,7,9,1,3,4,4,4,2
202006,5339,13,10,11,10,7,11,6,7,6,4,7,8,8
202007,6904,7,10,14,12,12,12,12,15,8,6,8,8,2
202008,7388,6,13,11,14,16,12,7,7,10,7,11,8,1
202009,6600,8,21,14,12,8,11,18,6,8,8,8,2,8
202010,6776,10,17,17,21,22,14,14,14,10,9,8,8,2
202011,7697,11,28,21,19,9,9,10,8,8,11,11,19,7
202012,5406,14,26,27,15,12,10,19,6,7,10,12,13,11
202101,8039,19,19,12,16,12,19,7,7,15,7,9,12,4
202102,6424,19,30,17,12,12,5,4,12,7,11,13,11,2
202103,7403,9,19,19,10,15,11,19,7,8,9,8,4,5
202104,6476,19,24,27,12,8,6,7,5,8,11,6,5,3
202105,7559,9,29,19,11,15,10,15,12,17,4,4,9,4
202106,9050,28,18,19,14,15,11,2,6,5,4,8,4,2
202107,7165,19,24,14,8,12,13,13,10,7,6,5,5,5
202108,7155,22,22,25,19,14,14,10,7,4,4,2,2,3
202109,8647,28,20,15,16,20,9,7,7,6,9,5,3,6
202110,8762,29,28,19,16,17,14,7,9,3,6,11,13,8
202111,9531,12,18,20,19,18,20,11,13,12,10,14,9,3
202112,6338,14,27,22,16,11,13,11,8,11,7,9,8,9
202201,8362,8,16,26,15,6,7,15,7,11,13,10,11,5
202202,7812,17,20,21,7,15,14,10,20,12,13,11,16,11
202203,10024,13,20,19,12,13,7,11,12,11,10,14,8,5
202204,7833,21,28,11,11,15,15,18,11,15,6,9,8,6
202205,8259,14,21,18,20,23,14,15,10,9,7,5,9,11
202206,12197,17,22,23,22,16,16,10,12,12,9,5,4,4
202207,9010,22,21,12,17,15,14,13,12,8,6,3,11,4
202208,8930,18,22,32,13,14,23,14,11,12,6,3,8,3
