period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201805,1533,5,4,3,1,1,2,1,5,2,1,2,1,1
201806,3500,4,7,7,4,7,6,1,4,25,1,3,4,1
201807,3887,6,13,12,9,7,6,6,17,7,7,3,1,4
201808,5274,14,21,16,11,7,11,8,4,6,4,5,1,3
201809,5334,19,16,19,14,16,10,11,9,10,6,4,1,5
201810,7036,18,22,24,20,15,12,13,2,3,9,5,13,2
201811,7193,13,23,21,16,18,9,9,6,5,7,5,4,1
201812,5328,13,19,27,12,8,5,6,5,6,5,3,2,2
201901,6328,21,36,15,13,15,15,6,9,7,8,5,7,1
201902,7570,10,20,16,9,13,6,6,6,3,4,8,3,6
201903,7736,15,26,21,15,4,14,8,8,4,11,6,8,1
201904,8353,29,18,20,10,10,12,6,8,8,13,9,5,2
201905,7676,19,27,14,14,10,6,9,11,7,11,4,4,4
201906,7778,22,22,22,8,16,14,6,14,3,3,6,2,4
201907,7613,29,13,13,8,13,9,7,8,3,5,10,3,2
201908,7827,22,30,12,10,11,11,3,3,4,5,3,4,4
201909,9600,26,26,14,10,7,6,3,8,5,8,7,5,5
201910,10864,16,20,20,18,16,6,3,7,9,2,11,8,5
201911,11165,22,24,17,12,9,7,10,11,7,7,4,6,2
201912,6868,21,25,20,8,8,9,10,11,9,8,8,1,3
202001,9052,28,22,12,14,16,10,9,6,6,9,5,10,3
202002,9961,22,14,10,14,10,11,13,12,10,7,13,11,4
202003,10364,8,10,7,16,12,9,12,10,8,4,9,10,2
202004,7923,7,17,22,14,11,8,5,14,5,9,9,8,2
202005,8432,15,20,17,17,7,15,12,13,8,7,5,8,6
202006,10401,21,12,19,19,20,7,5,14,8,9,8,7,3
202007,12315,18,21,24,15,14,9,11,3,11,7,8,4,3
202008,10292,21,21,17,13,17,9,15,11,7,8,10,5,2
202009,13668,19,25,27,24,15,16,10,8,8,13,3,11,4
202010,15135,19,24,14,19,16,16,13,18,13,3,9,5,3
202011,12005,25,21,20,13,9,11,9,10,7,10,7,9,2
202012,9567,28,22,20,19,12,12,11,3,3,4,2,2,1
202101,10124,13,28,14,16,9,11,6,7,6,5,6,4,3
202102,11909,21,32,19,13,6,10,6,11,5,11,5,14,7
202103,12775,14,33,18,13,8,9,7,4,5,7,9,5,6
202104,13104,16,14,18,12,12,5,8,9,7,9,8,6,2
202105,10955,17,16,9,13,14,13,8,6,5,9,5,5,3
202106,11785,17,14,8,16,11,8,13,11,6,11,3,1,1
202107,10208,13,12,11,7,6,6,9,8,13,8,7,2,1
202108,11167,8,12,19,10,13,13,8,6,8,8,12,7,1
202109,12225,20,17,12,11,10,8,11,13,8,5,3,3,2
202110,12708,18,24,13,16,12,17,13,12,5,6,9,3,3
202111,13248,32,23,21,17,13,7,13,7,8,4,7,5,2
202112,14148,15,17,23,10,11,12,9,3,4,11,4,10,3
202201,13959,11,22,13,22,11,7,8,6,10,15,10,17,3
202202,12994,20,28,20,15,12,15,10,4,14,13,14,17,7
202203,16535,19,36,15,11,17,10,9,20,11,14,10,9,3
202204,9175,21,24,22,24,10,9,15,9,12,10,13,7,3
202205,12272,26,23,20,10,11,17,14,13,18,10,18,15,3
202206,16561,29,26,27,11,18,19,19,13,22,12,16,12,4
202207,14155,32,22,23,19,13,14,23,21,15,11,21,10,5
202208,14445,21,36,37,34,27,24,24,13,23,19,14,20,7
