period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201805,4393,7,7,5,3,3,2,3,9,5,5,3,2,1
201806,9991,11,15,13,4,7,7,4,7,28,3,6,5,1
201807,9405,10,15,17,9,11,8,9,21,8,10,9,4,6
201808,10721,23,32,17,18,15,15,13,6,8,4,8,1,3
201809,13769,24,27,25,18,21,13,15,11,11,6,8,4,8
201810,16675,33,32,33,29,19,22,19,5,4,14,6,16,3
201811,17394,30,41,27,28,24,25,10,10,10,10,12,7,4
201812,10052,21,38,38,25,19,11,12,10,11,8,9,7,3
201901,16522,41,53,21,23,17,18,13,13,10,14,9,10,2
201902,17784,24,45,25,17,19,9,13,13,11,13,14,27,7
201903,22075,33,43,28,24,10,20,13,19,11,17,14,18,1
201904,17318,52,37,28,17,19,17,11,16,16,24,21,11,5
201905,20131,40,56,23,27,17,16,15,20,14,17,8,11,8
201906,19402,47,47,36,27,32,30,23,21,9,5,12,11,11
201907,20947,56,44,37,27,25,25,21,20,6,9,15,10,6
201908,19089,53,63,31,27,26,28,15,8,9,17,12,11,13
201909,24351,56,61,50,27,20,24,12,12,9,17,18,12,10
201910,30629,48,70,55,42,27,14,10,18,21,16,24,21,14
201911,28503,65,65,49,44,18,29,23,19,17,14,13,22,12
201912,17762,57,72,48,27,22,24,21,27,12,20,23,18,20
202001,23778,76,67,39,27,31,28,25,19,18,25,15,30,8
202002,26392,59,47,34,31,28,27,27,27,29,27,31,27,21
202003,26160,32,29,19,38,34,17,22,19,17,18,29,18,15
202004,13660,31,44,40,26,21,29,20,26,24,24,22,23,8
202005,17048,40,56,30,43,27,31,30,24,19,14,17,16,17
202006,28985,69,59,70,46,47,32,26,36,27,27,24,24,16
202007,35138,64,61,59,53,52,41,35,32,34,27,28,27,13
202008,30208,78,80,62,54,58,57,38,40,30,24,39,24,10
202009,36919,70,107,84,61,49,48,42,28,30,36,24,28,30
202010,40226,69,110,88,68,73,49,51,49,44,29,39,32,17
202011,38768,84,113,93,85,52,41,49,52,37,42,40,55,18
202012,29755,85,129,108,74,51,50,65,33,32,28,36,29,26
202101,35488,69,120,76,61,58,59,29,31,43,24,37,38,20
202102,37150,120,136,100,64,47,31,30,46,43,42,38,50,21
202103,40156,103,142,90,85,58,46,45,32,31,40,36,35,19
202104,35967,87,112,101,60,41,44,45,35,32,37,46,37,16
202105,36070,90,133,58,57,62,56,52,45,47,36,30,46,17
202106,40709,124,102,77,72,62,45,46,42,36,35,29,17,12
202107,36225,90,79,68,51,51,50,44,42,35,23,31,25,13
202108,36216,88,111,100,56,61,56,53,33,27,29,28,29,12
202109,41604,118,116,82,66,74,51,45,41,31,34,21,18,19
202110,44113,122,121,95,81,75,67,35,47,24,30,38,31,22
202111,47332,102,114,110,99,77,63,60,45,45,43,45,40,25
202112,37856,78,116,111,68,60,54,43,29,27,36,44,42,26
202201,41117,64,121,94,77,53,32,43,41,45,53,29,57,21
202202,40213,107,131,95,66,60,50,47,57,55,43,47,56,35
202203,52010,99,129,75,55,64,55,49,61,51,46,47,41,18
202204,32929,101,114,78,64,64,51,65,41,51,41,54,26,18
202205,41080,97,108,79,65,64,55,49,47,63,40,37,52,27
202206,47274,117,128,98,73,65,54,59,45,71,39,37,43,16
202207,41521,112,94,76,76,54,47,65,60,43,38,44,34,12
