period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,6412,42,45,23,20,16,8,9,13,9,17,10,9,4
201502,5519,50,36,15,12,15,6,8,4,5,5,13,12,2
201503,5806,33,40,27,13,12,10,9,8,13,7,10,10,5
201504,5433,44,32,22,8,9,11,9,14,10,10,15,18,3
201505,3530,31,32,14,15,15,11,10,10,9,17,11,6,4
201506,3840,54,16,15,8,12,16,10,18,8,9,8,5,1
201507,2832,25,22,14,15,10,9,7,9,4,7,11,6,7
201508,3010,28,36,21,7,13,8,13,6,7,5,7,8,2
201509,4050,44,40,28,10,15,14,9,13,10,7,7,17,11
201510,4488,37,40,19,15,14,11,6,5,8,6,8,9,8
201511,3579,33,28,19,18,10,10,8,5,5,7,3,7,15
201512,2500,30,26,9,6,5,9,10,5,5,3,2,8,3
201601,2799,28,14,16,6,7,6,4,3,7,11,5,6,6
201602,2802,30,12,10,3,7,3,4,8,6,5,5,3,2
201603,3201,23,11,13,7,8,3,9,12,4,7,1,7,2
201604,2832,14,16,5,5,4,3,6,8,5,2,4,4,1
201605,2173,24,14,10,5,6,5,2,6,4,3,7,4,1
201606,2389,19,12,9,8,10,7,3,4,4,2,3,6,1
201607,1750,20,10,7,5,5,5,4,5,3,5,4,2,2
201608,2359,14,10,6,7,8,4,8,2,2,5,4,5,1
201609,2374,20,14,6,4,9,9,2,2,3,4,1,3,1
201610,2502,26,21,16,3,5,3,6,3,3,2,3,1,2
201611,2838,24,18,13,9,4,10,5,3,4,4,3,7,1
201612,2066,18,10,7,3,4,5,6,5,1,3,2,2,1
201701,1894,13,17,5,5,1,2,2,2,3,2,4,3,3
201702,1608,15,12,4,3,3,4,5,3,1,6,5,2,1
