period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,314597,1526,1645,977,749,690,578,480,564,596,557,570,590,356
201502,324739,1715,1500,900,761,633,532,596,573,552,535,519,613,266
201503,354097,1578,1395,995,710,559,631,659,532,592,532,548,584,260
201504,339620,1391,1553,980,679,740,629,579,577,508,557,563,533,267
201505,323189,1469,1562,935,879,780,755,659,557,577,564,558,539,269
201506,346602,1676,1465,1064,948,795,742,588,652,616,517,491,499,250
201507,328783,1447,1648,1105,882,731,613,625,557,455,470,457,491,250
201508,311892,1534,1830,1119,896,800,705,655,557,527,447,448,496,301
201509,368664,1840,2050,1357,977,920,765,728,591,563,478,559,640,322
201510,424491,1948,2213,1369,1180,997,788,709,635,557,599,622,691,408
201511,410386,2211,2090,1536,1222,987,788,764,654,601,654,723,798,455
201512,315425,1644,1925,1279,1029,836,779,620,608,587,597,662,725,327
201601,339908,1706,1778,1094,874,762,606,583,580,556,588,595,621,321
201602,363876,1723,1659,1026,906,694,627,619,581,653,638,561,534,353
201603,382421,1671,1612,981,751,733,650,649,630,653,523,533,637,233
201604,344664,1543,1562,951,792,722,602,651,594,512,436,528,473,268
201605,333922,1509,1434,985,843,723,733,660,564,468,533,422,541,219
201606,357220,1365,1402,1089,803,802,633,542,515,551,402,524,443,192
201607,304215,1365,1500,951,764,656,527,442,465,395,436,397,391,223
201608,324916,1560,1511,1025,794,625,581,571,419,458,412,348,445,214
201609,387720,1556,1785,1065,822,670,676,431,476,442,394,449,517,296
201610,410658,1775,1948,1094,827,839,537,587,499,479,502,501,615,351
201611,448054,2091,1934,1130,993,688,645,565,478,498,545,644,762,380
201612,341333,1628,1427,1102,694,676,539,425,488,490,523,568,564,369
201701,345102,1482,1548,763,705,545,464,423,428,442,518,465,572,236
201702,347997,1776,1292,880,679,524,511,514,547,628,485,544,541,304
201703,398946,1261,1462,863,581,555,484,549,568,477,528,517,501,235
201704,334053,1430,1252,804,693,580,625,672,555,580,564,499,518,266
201705,390576,1257,1276,872,712,754,630,528,578,550,467,489,477,233
201706,371991,1278,1308,889,813,742,563,669,593,526,510,484,490,257
201707,325947,1217,1270,991,841,638,703,668,591,509,494,476,480,254
201708,335404,1365,1543,1112,775,787,757,599,571,546,515,533,546,277
201709,396051,1440,1732,1031,954,782,723,689,654,558,513,526,591,401
201710,439038,1690,1725,1264,950,842,738,662,639,559,595,679,798,402
201711,502503,1760,1993,1231,1018,742,680,631,572,535,586,791,786,346
201712,348115,1635,1599,1085,823,650,584,506,512,520,629,602,595,369
201801,403908,1447,1390,894,689,595,487,442,449,548,535,486,630,301
201802,392162,1520,1453,900,667,586,523,530,572,549,480,558,541,280
201803,412325,1362,1363,892,695,654,611,679,595,550,617,540,556,272
201804,382927,1397,1350,895,734,752,797,699,498,565,518,458,479,241
201805,410592,1191,1356,1010,960,895,779,619,665,550,507,510,527,224
201806,409633,1335,1376,1250,1083,879,699,622,557,539,480,474,450,260
201807,361157,1446,1634,1269,931,724,688,541,568,458,496,385,451,250
