period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,27106,148,146,105,71,89,77,68,67,55,47,43,36,22
201502,29654,152,171,114,95,98,68,71,72,61,48,63,58,30
201503,34600,153,157,128,108,88,93,107,59,52,55,58,46,28
201504,35538,149,180,151,102,101,96,65,70,52,53,48,53,23
201505,36862,223,223,140,123,116,84,59,54,51,58,52,51,38
201506,40949,262,236,182,111,91,79,64,62,54,55,49,60,41
201507,38174,197,206,127,89,65,67,69,42,44,50,58,73,46
201508,31566,194,207,152,98,64,58,61,42,49,75,78,61,47
201509,41326,239,235,135,94,84,70,53,48,75,75,77,108,47
201510,45500,192,190,117,98,72,77,46,85,72,95,94,74,39
201511,41788,178,174,142,96,84,62,84,91,80,106,65,64,23
201512,27283,155,168,117,106,74,76,73,77,87,68,48,47,34
201601,30832,159,157,105,94,72,94,74,76,64,66,61,59,25
201602,35697,195,208,132,111,98,91,87,67,65,48,58,48,21
201603,39075,197,194,163,123,113,91,98,86,51,49,55,54,31
201604,39652,233,225,167,126,122,100,87,64,52,57,70,48,40
201605,43288,225,255,181,172,132,115,90,69,70,63,56,54,40
201606,45496,285,282,210,125,131,87,66,76,60,58,73,73,41
201607,40437,240,265,165,131,72,70,71,65,33,51,88,106,41
201608,37198,299,271,176,105,88,59,94,49,64,88,102,105,44
201609,47575,245,289,165,107,95,79,77,87,77,87,97,90,52
201610,44905,256,293,147,114,110,77,83,98,102,99,89,90,50
201611,46119,248,234,139,136,91,98,93,92,85,100,92,97,30
201612,32090,154,195,154,88,75,107,107,68,60,79,82,57,27
201701,35308,193,243,132,115,103,67,88,67,69,70,48,72,30
201702,36522,253,193,184,147,123,89,92,89,79,65,62,65,33
201703,46757,200,284,176,146,124,112,105,90,62,59,54,56,31
201704,37590,272,353,234,176,161,128,108,82,65,56,59,68,48
201705,47410,310,348,219,171,153,125,79,86,69,59,83,76,54
201706,46564,343,333,229,181,129,98,89,83,63,73,83,111,46
201707,41145,315,266,196,144,102,78,65,49,80,56,82,107,45
201708,36191,273,303,173,112,108,83,58,68,75,79,111,75,46
201709,47646,270,271,157,133,86,94,67,71,94,86,82,76,48
201710,46525,260,249,166,120,87,90,76,90,112,87,107,84,46
201711,51053,210,241,166,81,75,95,106,84,71,62,87,77,28
201712,30561,205,186,138,98,67,80,85,72,67,85,60,58,26
201801,34339,174,164,115,79,104,90,85,76,72,61,44,59,20
201802,36131,217,211,142,126,109,87,80,89,64,45,54,41,25
201803,44871,217,190,135,117,83,91,91,81,41,43,46,49,14
201804,38590,198,231,162,120,102,76,83,58,55,39,48,38,35
201805,44363,211,251,160,152,119,85,51,73,60,40,56,56,41
201806,50677,269,256,179,138,89,85,77,58,74,68,63,68,59
201807,41873,230,216,155,114,65,71,71,57,34,50,57,79,43
201808,39851,254,242,120,73,66,71,62,50,49,59,64,66,32
201809,42168,258,211,106,96,69,69,41,74,59,57,74,73,40
201810,47704,225,181,152,97,78,88,75,79,73,72,75,65,41
201811,48448,186,215,123,88,73,66,83,79,76,74,72,58,33
201812,30670,192,185,102,68,75,66,77,59,73,60,67,46,27
201901,38782,168,189,109,79,69,86,70,59,57,52,46,46,18
201902,41107,187,187,135,79,82,70,80,66,47,56,45,53,21
201903,45043,182,200,130,114,92,86,68,60,61,45,51,28,11
201904,44255,216,210,140,119,105,104,74,62,52,51,40,33,13
201905,47606,190,210,172,130,96,83,74,71,51,41,21,38,19
201906,44660,267,264,158,139,105,64,67,69,39,38,42,62,42
201907,47078,273,230,176,90,74,60,55,27,40,41,45,79,47
201908,37286,247,267,142,77,64,64,32,34,45,52,52,109,38
201909,48015,232,198,121,97,72,52,33,45,58,66,87,93,43
201910,51034,216,202,141,99,67,44,53,57,59,101,87,94,57
201911,47140,213,209,111,81,44,49,52,74,84,93,68,82,47
