period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,2577,18,9,11,5,8,6,5,8,7,5,4,5,1
201502,3083,12,11,8,8,3,5,4,6,4,2,2,4,5
201503,2851,23,14,14,7,10,6,4,4,5,1,3,5,1
201504,3733,19,12,11,8,5,6,2,1,3,2,1,1,2
201505,3200,13,19,10,13,8,9,4,7,1,3,3,2,2
201506,4280,19,14,9,7,7,11,2,3,7,4,5,4,2
201507,3936,25,19,11,3,3,6,3,1,3,2,1,3,1
201508,3115,26,21,14,7,4,6,2,4,6,1,1,3,2
201509,4426,20,14,10,6,2,6,3,6,5,1,5,4,2
201510,4321,18,15,7,2,6,7,1,2,6,3,4,5,1
201511,4657,20,17,7,7,4,4,4,3,3,7,5,6,2
201512,3286,10,14,2,5,6,6,4,4,6,6,7,4,1
201601,2846,13,13,13,6,4,6,3,10,5,5,2,6,4
201602,3511,13,16,2,10,7,8,13,3,4,5,4,5,1
201603,3207,16,12,15,12,19,13,10,7,4,3,2,6,4
201604,3219,23,26,12,17,12,8,15,5,4,4,8,1,2
201605,2938,17,31,22,11,18,8,9,10,1,8,3,6,4
201606,3376,20,32,29,17,11,8,10,2,4,2,3,11,3
201607,5630,22,32,15,11,7,8,3,1,3,6,7,4,4
201608,3376,31,30,23,10,6,3,7,4,4,4,5,6,4
201609,4031,25,31,7,5,5,5,4,7,5,7,9,10,3
201610,4243,22,21,14,6,2,6,12,8,7,7,7,8,3
201611,4018,15,15,15,14,7,5,10,4,12,12,6,9,5
201612,2818,13,17,12,5,7,10,10,11,11,11,8,7,1
201701,2515,14,22,9,12,9,8,7,10,12,12,6,2,1
201702,2669,16,14,9,7,8,8,7,10,9,6,6,8,1
201703,4348,13,17,23,15,12,13,9,9,6,7,6,2,2
201704,3391,14,13,11,16,15,6,13,5,4,6,4,3,1
201705,3811,23,34,23,15,18,12,9,8,4,1,8,8,2
201706,3796,24,25,27,17,23,18,8,12,4,3,9,5,3
201707,3757,15,23,16,22,11,8,13,9,6,6,3,10,2
201708,3372,31,32,25,20,12,15,8,7,2,6,9,8,5
201709,5103,30,26,16,10,14,7,9,9,11,11,11,11,9
201710,4000,22,25,23,18,13,10,15,17,17,15,13,16,4
201711,4069,18,33,16,12,8,13,10,12,15,16,15,13,4
201712,3393,16,23,20,16,11,18,26,13,16,15,11,6,4
201801,3389,14,14,9,18,21,15,18,11,19,14,9,7,4
201802,3513,19,22,24,15,22,22,18,15,11,11,5,10,5
201803,3634,9,22,27,27,23,15,20,19,9,5,6,2,3
201804,3309,14,14,18,24,23,14,15,12,6,2,4,5,3
201805,4079,14,30,19,25,21,13,13,8,8,4,4,6,2
201806,4424,11,19,18,26,14,7,7,5,7,8,5,6,4
201807,4003,19,20,22,12,10,5,7,4,5,3,2,9,7
201808,3464,16,27,15,11,8,5,7,7,5,4,7,4,5
201809,3681,26,22,6,9,4,5,7,7,8,5,11,9,4
201810,4242,25,16,11,13,4,3,7,7,10,5,5,6,4
201811,4462,18,12,9,10,1,7,2,9,10,9,9,3,5
201812,2795,19,16,7,9,5,5,1,9,5,8,11,5,2
201901,3416,11,16,7,8,4,7,7,8,7,7,4,2,5
201902,3621,10,11,10,7,11,6,11,8,5,5,1,5,1
201903,3361,11,8,13,5,7,14,7,9,2,2,3,1,1
201904,3491,13,16,16,6,5,9,7,5,2,4,1,3,1
