period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,13795,22,28,7,10,17,9,9,20,6,5,6,5,4
201502,14156,35,29,16,15,14,13,13,9,5,4,4,8,5
201503,16929,36,36,20,17,11,16,10,10,5,6,6,5,4
201504,16062,33,37,22,20,12,6,8,9,5,5,5,5,3
201505,14504,29,49,8,21,15,12,9,8,13,2,7,7,5
201506,17945,56,41,26,19,22,6,14,10,11,7,7,15,8
201507,19290,43,40,30,15,9,13,16,11,8,9,9,8,7
201508,17055,60,39,21,18,8,15,5,5,7,11,15,7,7
201509,19038,43,53,23,14,15,22,15,6,7,15,14,11,7
201510,18578,38,35,27,19,19,15,9,13,14,9,7,7,2
201511,17277,35,42,31,28,19,14,15,11,16,8,16,8,3
201512,12211,25,40,31,19,16,17,14,15,9,10,5,8,3
201601,14842,34,52,27,23,19,19,15,8,5,13,12,15,2
201602,16021,44,38,22,29,20,22,14,10,10,12,6,9,3
201603,16751,49,46,20,25,29,20,14,8,9,19,12,10,2
201604,15964,31,42,25,23,21,16,17,12,9,8,12,12,5
201605,15914,61,51,31,27,20,10,15,18,18,13,13,11,4
201606,19190,52,69,41,28,18,19,19,9,18,11,13,15,8
201607,16931,55,60,31,29,17,15,14,15,7,8,12,22,8
201608,18007,61,57,30,22,8,18,8,7,13,9,14,14,6
201609,18797,41,48,26,15,12,12,7,13,18,16,10,13,1
201610,16910,46,46,22,11,19,15,15,21,16,15,21,13,9
201611,19148,40,43,26,29,12,13,11,11,14,17,16,11,7
201612,12804,27,41,30,20,10,21,15,22,7,11,9,9,11
201701,13880,32,48,23,12,19,15,17,8,12,14,13,12,11
201702,15521,37,30,22,22,13,10,8,15,21,8,15,12,6
201703,17003,41,39,31,21,21,25,19,14,5,12,18,16,8
201704,13509,35,40,21,21,22,23,10,10,16,9,15,13,3
201705,17180,38,24,21,22,20,9,11,12,9,12,12,17,8
201706,17672,30,45,28,30,11,17,11,11,6,12,7,16,10
201707,15430,42,37,18,21,16,13,19,8,16,17,17,18,7
201708,16417,35,23,37,14,13,16,17,10,12,14,13,19,4
201709,18791,36,42,13,18,13,11,18,16,14,9,13,10,5
201710,17246,33,37,26,17,16,18,19,14,21,16,15,19,10
201711,17996,32,40,22,7,18,15,14,13,15,10,14,17,5
201712,11660,36,30,22,17,16,17,13,20,12,11,17,5,5
201801,15138,38,37,15,15,28,11,20,15,10,9,6,13,2
201802,15343,39,36,26,21,14,18,15,24,11,8,7,7,9
201803,16629,28,24,18,20,16,18,17,17,7,8,8,8,4
201804,15045,19,31,23,18,15,19,16,9,13,10,15,12,2
201805,16567,20,32,27,17,23,14,13,10,10,13,11,17,7
201806,18804,38,34,20,19,19,4,7,19,9,7,10,14,4
201807,16410,36,36,27,17,12,12,16,13,6,12,10,15,6
201808,17219,44,27,23,9,9,7,4,8,16,6,12,8,10
201809,15426,34,24,19,7,16,14,12,10,13,11,12,9,8
201810,18425,28,21,30,11,15,12,12,11,16,7,16,11,5
201811,17166,28,30,19,11,10,12,9,14,13,6,15,3,2
201812,10573,26,26,11,16,12,10,12,24,16,10,7,4,9
201901,16042,23,26,24,13,16,10,11,10,10,4,13,11,4
201902,15326,34,33,26,13,19,12,17,9,5,11,15,4,4
201903,15989,25,27,20,20,14,10,16,14,4,6,3,4,1
201904,15440,25,27,25,18,13,14,9,5,7,4,5,3,2
201905,16775,32,35,26,16,13,10,5,5,10,15,1,3,5
201906,15421,36,43,37,19,13,15,9,13,7,4,7,5,3
201907,16770,41,24,33,11,14,10,15,6,6,7,9,11,6
201908,14198,35,34,16,15,14,12,9,3,6,5,11,4,2
201909,18538,37,29,18,11,10,8,7,8,5,5,12,18,3
201910,17213,29,31,16,13,10,6,8,6,10,9,9,7,5
201911,17464,30,28,24,16,8,4,8,14,14,8,9,10,7
201912,11244,22,22,15,8,11,11,14,8,10,14,7,8,1
202001,15557,33,33,12,13,11,9,11,9,4,10,7,6,3
202002,16805,30,21,14,12,10,13,16,12,10,10,7,4,1
202003,16346,20,27,14,11,9,9,7,6,5,6,7,3,5
202004,10738,21,32,24,13,9,5,5,5,2,1,7,6,3
202005,11595,16,22,22,21,12,11,4,4,4,6,2,7,6
202006,16801,33,24,26,9,11,6,9,6,4,6,6,4,1
202007,16342,27,35,20,15,17,6,9,8,6,5,7,14,5
202008,19390,35,37,23,13,14,8,4,10,5,13,11,7,4
202009,21222,38,41,28,14,12,18,10,3,14,16,15,12,2
202010,21533,24,31,20,16,16,10,8,9,16,6,15,12,10
202011,20204,38,25,17,13,12,10,9,17,9,12,13,6,1
202012,11343,21,27,14,12,19,11,15,11,10,6,9,7,5
202101,15127,24,33,20,6,8,10,10,18,8,11,4,6,3
202102,19460,20,17,14,18,20,21,8,7,4,9,3,7,3
202103,16245,28,24,22,24,17,18,17,4,7,7,9,10,5
202104,16827,22,26,25,20,17,16,14,8,4,7,10,8,4
202105,14927,19,35,19,20,15,8,6,10,6,2,4,7,4
202106,16752,27,33,32,18,17,12,7,8,14,5,7,12,9
202107,15803,31,47,24,20,23,12,11,14,5,7,9,9,5
202108,15806,36,40,17,11,12,16,13,7,9,8,10,7,8
202109,16146,29,27,18,12,20,18,8,13,11,9,18,8,4
202110,15134,37,20,14,16,13,12,12,11,8,7,9,7,8
202111,16172,24,14,19,15,9,14,9,9,12,8,14,10,4
202112,14128,19,16,26,13,14,11,8,12,12,9,9,14,5
202201,13757,19,27,17,13,14,16,22,12,9,7,11,7,1
202202,14794,22,38,17,19,20,17,16,13,11,5,12,8,2
202203,15435,19,24,20,22,11,19,19,12,11,9,11,7,3
202204,13064,13,18,21,18,16,11,19,8,10,12,10,3,5
202205,15862,22,23,20,18,13,12,16,14,13,9,6,9,12
202206,14563,15,37,25,14,10,9,11,8,8,8,12,4,5
202207,11533,29,38,19,24,11,9,6,7,8,5,13,16,3
202208,14301,40,37,16,14,13,17,10,4,14,3,11,17,6
