period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,1764,15,16,10,8,6,1,3,5,2,1,2,1,5
201502,1958,15,19,5,9,4,9,3,11,11,9,7,10,3
201503,2410,16,15,10,7,10,6,8,6,12,3,8,9,1
201504,2502,29,29,16,7,15,7,9,10,15,9,7,4,1
201505,1873,27,34,17,8,9,11,9,10,12,13,9,12,6
201506,3324,23,32,20,11,13,18,12,8,3,5,9,5,4
201507,2382,22,33,23,15,8,5,12,8,4,3,3,4,7
201508,1989,26,30,24,13,8,19,7,9,4,6,6,8,2
201509,2496,30,33,21,12,9,17,4,11,7,9,10,8,5
201510,3054,24,37,15,9,8,6,10,9,5,10,13,9,5
201511,3156,34,25,8,12,19,13,8,5,14,12,8,3,2
201512,2702,16,26,16,17,14,9,5,5,7,9,7,8,4
201601,2051,16,21,19,13,12,8,6,5,7,4,7,3,1
201602,2395,25,27,10,10,10,11,12,12,6,3,7,1,2
201603,2525,31,28,15,16,7,11,7,2,3,6,4,5,1
201604,2537,27,30,17,12,18,6,10,8,9,5,4,5,3
201605,2952,24,29,14,20,10,11,7,9,10,5,6,7,2
201606,2466,31,26,17,18,10,10,8,5,5,4,10,7,4
201607,2497,34,29,24,16,9,11,7,4,3,3,9,1,2
201608,2489,29,23,16,16,11,13,3,4,4,4,3,3,1
201609,3133,34,27,17,9,8,8,3,7,4,4,11,12,5
201610,3009,27,27,19,17,8,6,5,5,4,6,6,8,2
201611,2970,27,33,20,16,5,6,13,7,7,8,4,10,5
201612,2186,23,21,12,9,9,9,8,6,8,8,8,4,5
201701,2200,17,29,11,11,8,8,11,9,1,9,6,4,4
201702,2260,32,24,18,17,8,7,7,13,6,3,4,5,4
201703,3052,21,31,20,10,13,13,7,7,5,6,2,5,1
201704,2086,27,35,20,12,11,11,6,5,5,3,5,3,3
201705,2995,27,29,25,14,16,13,9,4,3,6,2,4,4
201706,3881,38,25,29,16,5,9,11,12,9,7,3,7,6
201707,2701,37,37,18,15,15,12,16,7,8,6,5,7,4
201708,1750,24,26,18,12,7,10,7,4,6,8,10,10,5
201709,3074,36,33,21,19,7,15,7,7,9,6,9,8,1
201710,2768,25,34,23,17,14,9,10,6,11,8,8,3,1
201711,2851,30,35,24,27,12,18,8,10,6,7,9,5,5
201712,1609,34,27,12,6,13,14,7,8,4,5,5,8,2
201801,1617,23,20,17,5,7,5,10,6,7,4,3,4,3
201802,1846,19,14,9,8,11,8,3,7,6,1,2,5,1
201803,1950,22,22,14,10,7,6,10,7,5,2,5,6,1
201804,1758,17,17,11,9,7,11,11,1,2,6,1,2,4
201805,2081,22,32,15,11,11,6,9,4,4,5,3,6,3
201806,1976,25,26,15,12,5,4,7,6,6,3,4,8,4
201807,1947,27,28,15,7,6,4,6,3,5,3,3,3,1
201808,1792,14,23,9,7,10,2,6,2,6,8,1,3,1
201809,1782,19,30,14,11,8,10,6,4,6,10,2,4,4
201810,2139,15,26,16,13,9,8,4,9,7,9,6,12,3
201811,2273,16,26,25,20,11,13,10,8,5,9,6,10,2
201812,1524,16,23,19,8,4,8,7,6,6,6,3,2,5
201901,1783,18,24,11,11,9,6,3,5,7,6,11,2,1
201902,1690,21,21,15,6,10,13,12,12,5,8,8,4,1
201903,1964,20,16,21,13,11,12,5,5,5,5,3,2,1
201904,2003,18,26,11,9,9,14,7,5,6,3,3,1,1
201905,2237,24,26,9,12,10,5,2,9,4,5,4,5,3
201906,2030,18,23,19,12,8,4,4,3,4,3,5,3,1
201907,1917,22,20,27,19,4,5,2,7,3,6,3,6,2
201908,1984,24,27,16,11,12,13,5,7,5,9,1,9,2
201909,1908,26,23,17,13,5,8,2,9,6,4,12,7,1
201910,2338,17,24,11,6,11,2,3,7,8,3,8,7,2
201911,2500,16,32,16,12,5,6,8,8,7,7,7,4,3
201912,1554,19,20,12,5,5,4,3,7,4,5,8,5,2
202001,1886,20,20,7,12,6,6,6,3,5,3,4,7,3
202002,2175,15,18,11,10,10,8,6,9,4,2,3,5,3
202003,2199,19,17,17,9,9,6,11,9,3,6,5,3,1
202004,1125,7,16,1,15,6,3,9,1,9,5,6,2,1
