period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,12434,60,79,46,51,35,49,38,44,35,35,32,24,12
201502,13590,94,96,51,68,50,42,39,33,24,31,32,25,15
201503,14752,90,90,73,77,50,33,54,28,23,24,26,26,14
201504,14569,75,82,71,63,54,49,37,27,19,21,35,25,8
201505,12456,106,118,60,59,60,48,32,29,31,38,29,21,18
201506,17980,117,101,92,75,62,42,34,36,31,23,18,43,15
201507,14445,102,126,74,65,48,40,38,33,28,16,27,46,12
201508,14656,109,135,71,40,40,40,40,19,45,48,44,53,27
201509,16493,108,123,78,59,71,58,53,49,60,60,61,65,22
201510,16186,83,128,105,79,67,54,58,58,70,70,67,47,19
201511,15993,107,117,109,86,63,58,73,67,81,88,44,44,19
201512,11229,75,87,83,50,55,72,64,91,69,50,65,45,26
201601,13058,70,91,54,61,81,67,65,71,46,48,38,42,10
201602,13866,94,94,73,83,79,87,86,57,41,48,43,32,25
201603,14589,91,105,94,74,80,78,51,62,54,48,49,44,11
201604,15284,97,121,97,87,81,58,58,34,32,19,25,24,17
201605,16434,124,119,108,80,65,62,39,28,28,37,31,32,16
201606,17734,118,111,84,78,55,52,43,33,39,11,26,36,12
201607,17553,136,144,89,67,63,34,35,29,29,34,37,37,16
201608,15729,138,145,78,68,46,30,29,21,22,34,32,39,27
201609,20972,123,124,77,49,43,40,31,27,39,45,39,43,8
201610,17960,131,96,67,46,59,37,52,40,44,42,39,45,23
201611,18909,108,100,55,54,39,47,53,44,44,34,37,38,13
201612,12114,76,83,56,38,45,47,38,37,33,32,29,14,10
201701,13799,68,79,41,52,42,56,39,37,28,27,16,24,10
201702,15732,122,91,66,70,56,64,41,45,36,28,29,29,10
201703,19075,98,115,62,78,59,53,44,49,23,29,28,25,11
201704,14838,99,124,98,76,91,70,67,38,50,36,33,35,13
201705,20528,153,165,112,96,83,66,50,52,59,32,40,44,22
201706,19268,144,151,110,106,81,59,52,44,38,39,47,62,28
201707,17513,141,167,121,89,56,54,33,34,35,48,65,66,27
201708,17388,128,131,96,68,53,48,31,36,45,64,66,72,33
201709,18194,147,144,73,67,54,52,53,58,82,77,85,76,37
201710,19606,126,101,90,64,72,42,60,95,55,79,79,65,29
201711,19919,101,124,87,74,67,53,86,54,66,70,59,47,16
201712,12478,80,79,59,53,34,78,62,62,49,46,40,32,20
201801,14822,82,102,61,56,81,60,51,56,62,32,42,42,15
201802,14455,78,89,75,76,81,78,58,59,52,35,34,28,16
201803,16902,84,115,101,62,55,62,62,46,35,28,35,29,15
201804,14760,103,109,83,87,60,54,43,30,37,23,26,31,6
201805,16471,112,116,80,75,64,56,45,36,27,25,20,45,15
201806,17952,83,137,102,82,57,45,49,35,38,20,22,33,21
201807,16685,149,135,76,64,41,39,41,29,30,33,32,56,24
201808,16811,131,115,91,46,43,32,37,26,36,41,68,56,25
201809,17478,132,123,65,57,49,47,35,44,32,50,65,56,31
201810,18190,141,100,77,46,51,44,44,53,70,62,66,60,21
201811,17511,93,81,62,43,32,43,44,53,57,51,43,37,19
201812,11281,82,85,60,28,43,38,41,33,45,32,34,18,11
201901,15698,66,70,45,51,37,36,40,37,27,32,26,21,13
201902,14857,90,81,52,36,57,43,41,38,42,26,27,20,12
201903,15885,74,80,48,66,48,49,41,38,19,34,26,12,5
201904,15583,88,76,81,63,35,44,38,33,30,25,19,9,7
201905,17172,99,108,62,69,51,31,48,31,32,21,13,20,10
201906,16432,133,114,72,53,38,25,34,20,23,23,23,33,22
201907,17286,116,118,82,44,32,27,22,18,11,15,21,27,18
201908,16027,118,105,66,39,29,28,28,10,12,21,36,39,10
201909,17656,113,95,63,52,31,22,13,26,27,30,58,36,15
201910,18707,120,94,54,48,39,17,29,26,31,39,52,33,18
201911,17121,92,82,53,30,18,21,28,32,48,38,29,29,15
201912,12253,64,72,42,20,27,18,33,44,33,29,19,17,14
202001,15975,60,59,33,27,38,37,32,31,41,21,19,15,10
202002,15554,75,59,40,36,31,40,44,41,30,18,34,23,13
