period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,63087,304,311,200,162,178,157,130,158,118,104,92,78,50
201502,67544,347,354,220,218,186,149,145,142,114,101,113,109,62
201503,77547,363,337,265,225,182,163,195,117,106,97,109,100,49
201504,78906,355,366,291,212,209,182,129,121,98,98,108,95,38
201505,74743,444,493,262,251,226,174,131,116,115,121,110,102,74
201506,91956,561,481,370,249,215,168,144,127,120,98,92,133,79
201507,86920,452,469,292,205,144,146,148,102,93,89,109,155,78
201508,74153,483,477,322,196,140,152,135,91,117,156,156,143,96
201509,91862,492,492,291,199,201,187,144,129,165,170,192,224,93
201510,94085,385,438,284,220,184,168,139,187,186,205,199,157,72
201511,88066,400,412,310,243,210,166,199,193,208,241,151,133,54
201512,60822,318,374,278,210,181,193,175,207,198,149,143,120,71
201601,68095,320,353,231,209,203,209,185,181,141,144,133,135,48
201602,76511,402,407,258,261,232,233,222,167,135,125,127,99,56
201603,81098,408,414,325,272,263,227,188,173,125,133,128,131,51
201604,82174,449,488,343,287,271,208,196,129,113,98,121,97,73
201605,86738,487,528,380,331,261,226,175,142,134,133,115,117,68
201606,95051,552,566,409,281,239,192,157,131,134,92,135,154,73
201607,89783,544,572,335,270,180,146,136,119,76,122,162,177,73
201608,81391,603,558,341,230,168,136,145,95,114,152,176,176,85
201609,101147,502,551,308,194,174,150,130,146,155,166,177,177,74
201610,92990,518,513,281,204,216,154,174,191,181,176,172,170,93
201611,96400,490,455,266,256,161,179,196,171,169,182,163,176,64
201612,65791,311,377,288,171,160,210,187,154,128,152,141,90,58
201701,72138,354,452,228,218,201,165,176,141,130,142,95,121,54
201702,77267,489,367,308,280,221,189,165,183,161,113,119,121,54
201703,95225,391,513,329,288,242,235,192,176,105,119,113,106,59
201704,75677,482,600,395,318,314,254,215,148,146,111,122,131,75
201705,97526,596,637,416,333,301,242,169,166,146,118,149,162,96
201706,98252,617,610,448,364,257,208,181,172,126,139,156,211,101
201707,85953,585,578,391,303,212,168,152,130,152,144,180,218,90
201708,78589,536,555,369,242,203,179,132,131,151,175,214,194,97
201709,98486,548,549,294,261,183,189,161,175,216,200,211,195,105
201710,96419,497,483,340,247,215,180,192,234,221,216,233,195,94
201711,101121,419,493,327,207,183,206,231,180,187,169,195,164,60
201712,63068,417,365,265,208,151,221,195,186,154,171,143,114,65
201801,73898,360,364,239,185,248,191,190,175,176,128,108,128,46
201802,75783,408,395,292,257,242,228,180,208,150,103,112,93,58
201803,88871,382,396,314,243,193,199,206,180,98,93,103,97,38
201804,77467,378,420,311,272,219,188,172,112,116,84,97,92,52
201805,89597,416,489,321,290,256,179,138,137,113,95,102,138,71
201806,100802,468,504,349,286,188,154,150,132,138,108,108,134,96
201807,87089,505,452,315,227,134,147,147,112,82,105,113,167,82
201808,83939,498,465,279,158,141,122,124,97,120,119,158,143,75
201809,86803,510,439,221,195,161,151,104,146,124,142,169,158,94
201810,97107,461,371,301,188,166,161,152,163,184,159,170,159,81
201811,94744,370,389,253,179,134,146,156,172,168,154,150,116,66
201812,59972,362,356,210,135,143,133,147,143,151,123,124,76,55
201901,79979,308,350,205,168,146,151,134,128,110,104,102,86,41
201902,80741,372,345,254,154,191,155,164,142,107,111,96,90,38
201903,86709,330,347,245,224,179,176,140,136,93,97,89,49,18
201904,85460,390,381,284,222,179,193,138,116,100,88,71,50,27
201905,92457,399,416,298,242,197,142,147,123,107,83,41,72,39
